Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status,Used_Truck
large,Li_21.vrp,561,None,1200,16212.825563177095,19191.824236723456,1.1837433371461372,1.1712719709999817,Finished86400,10
large,Li_22.vrp,601,None,900,14499.044646698783,14691.72652678193,1.0132892811063257,1.4224145279999902,Finished86400,14
large,Li_23.vrp,641,None,1400,18801.128566260857,23899.220523359734,1.2711588264040459,1.7398349400000086,Finished86400,10
large,Li_24.vrp,721,None,1500,21389.430579026408,27536.16391467585,1.2873724624383724,2.4112454289999903,Finished86400,10
large,Li_25.vrp,761,None,900,16665.74877986879,15559.612741872974,0.933628182411344,2.766764345000013,Finished86400,18
large,Li_26.vrp,801,None,1700,23977.732637558882,28478.220973785435,1.1876944915624323,3.213384860000019,Finished86400,10
large,Li_27.vrp,841,None,900,17319.981961476158,16304.55389749196,0.9413724525670548,3.6911019870000246,Finished86400,19
large,Li_28.vrp,881,None,1800,26566.03412258745,32459.43272232178,1.221839608145483,4.339109261999994,Finished86400,11
large,Li_29.vrp,961,None,2000,29154.336084928324,35605.28210611479,1.2212688363883326,5.483525356000001,Finished86400,10
large,Li_30.vrp,1041,None,2100,31742.638701073323,37300.10927340182,1.175079035636082,6.8622600380000165,Finished86400,11
large,Li_31.vrp,1121,None,2300,34330.940210281784,41071.274141361435,1.1963340907587783,8.69163425299999,Finished86400,10
large,Li_32.vrp,1201,None,2500,37159.41317307494,44147.04483972037,1.1880447259513922,10.341424566,Finished86400,10
large,Loggi-n1001-k31.vrp,1001,31,180,284356.0,307224.0,1.0804203181926881,10.108609567999991,Finished86400,31
large,Loggi-n501-k24.vrp,501,24,120,177078.0,189837.0,1.0720529935960423,1.3592654419999803,Finished86400,24
large,Loggi-n601-k19.vrp,601,19,180,113155.0,121609.0,1.0747116786708497,1.5080419409999877,Finished86400,19
large,Loggi-n601-k42.vrp,601,42,80,347059.0,364603.0,1.0505504827709409,2.506223331000001,Finished86400,43
large,Loggi-n901-k42.vrp,901,42,120,246301.0,259473.0,1.0534792794182728,6.4871737109999685,Finished86400,43
large,ORTEC-n510-k23.vrp,510,23,145,184529.0,197486.0,1.0702166055199995,1.1351616779999745,Finished86400,24
large,ORTEC-n701-k64.vrp,701,64,80,445543.0,471032.0,1.0572088440397447,2.9672484700000155,Finished86400,68
