Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status
mid_large,Golden_10.vrp,324,None,1000,735.4274460162404,813.5437215290533,1.106218874391979,0.4139646769999956,Finished
mid_large,Golden_11.vrp,400,None,1000,911.9802546729934,1019.7040353438787,1.1181207379424147,0.7501745460000109,Finished
mid_large,Golden_12.vrp,484,None,1000,1100.6653917149429,1238.71002085995,1.1254192511040255,1.2722596199999998,Finished
mid_large,Golden_13.vrp,253,None,1000,857.1887449794051,947.9273923894507,1.105856088220367,0.15034295100002737,Finished
mid_large,Golden_14.vrp,321,None,1000,1080.5525732535093,1181.3493644330738,1.0932826348986135,0.2800390749999906,Finished
mid_large,Golden_15.vrp,397,None,1000,1337.2677786614804,1446.8891259035786,1.08197411841615,0.4897217140000123,Finished
mid_large,Golden_16.vrp,481,None,1000,1611.2770526552179,1769.432405807954,1.0981552817947182,0.8461891610000123,Finished
mid_large,Golden_18.vrp,301,None,200,995.1332487054715,1076.6373602416782,1.081902711664224,0.22705349500000693,Finished
mid_large,Golden_19.vrp,361,None,200,1365.6035342978782,1459.8411293825488,1.0690080193246736,0.3889507419999916,Finished
mid_large,Golden_2.vrp,321,None,700,8404.611623286655,8898.461856654338,1.0587594353556293,0.2507911219999812,Finished
mid_large,Golden_20.vrp,421,None,200,None,1958.1072808888907,None,0.6312531780000086,Finished
mid_large,Golden_3.vrp,401,None,900,10997.760007936988,12985.659319409691,1.1807549273704876,0.46544006000002014,Finished
mid_large,Golden_4.vrp,481,None,1000,13588.647622235947,16999.22800923392,1.2509874773275473,0.7666583150000008,Finished
mid_large,Golden_6.vrp,281,None,900,8400.332070493927,10560.394959936955,1.2571401786639156,0.17399997100000064,Finished
mid_large,Golden_7.vrp,361,None,900,10102.681504546768,11990.558779205836,1.1868689291857233,0.3482365759999766,Finished
mid_large,Golden_8.vrp,441,None,900,11635.343785727806,13002.549221109099,1.1175045155999894,0.5957298879999939,Finished
mid_large,Golden_9.vrp,256,None,1000,579.702137615176,645.2476166408602,1.1130675130771992,0.2059866829999919,Finished
