Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status
mid_small,A-n53-k7.vrp,53,7,100,None,1092.8756938022677,None,0.007305907000016987,Finished
mid_small,A-n54-k7.vrp,54,7,100,None,1201.6170636217407,None,0.007862278000004608,Finished
mid_small,A-n55-k9.vrp,55,9,100,None,1110.5677124418648,None,0.006777147000008199,Finished
mid_small,A-n60-k9.vrp,60,9,100,None,1377.276339666369,None,0.00905755600001612,Finished
mid_small,A-n61-k9.vrp,61,9,100,None,1103.094759683803,None,0.008532161999994514,Finished
mid_small,A-n62-k8.vrp,62,8,100,None,1352.8113271760085,None,0.005917356999987078,Finished
mid_small,A-n63-k10.vrp,63,10,100,None,1358.9040706050255,None,0.005964225000013812,Finished
mid_small,A-n63-k9.vrp,63,9,100,None,1690.8191881045007,None,0.006377299000007497,Finished
mid_small,A-n64-k9.vrp,64,9,100,None,1482.0475142038013,None,0.006570047999986173,Finished
mid_small,A-n65-k9.vrp,65,9,100,None,1243.3887989130656,None,0.0059097729999848525,Finished
mid_small,A-n69-k9.vrp,69,9,100,None,1209.4125706878392,None,0.006761106999988442,Finished
mid_small,A-n80-k10.vrp,80,10,100,None,1836.8389976301612,None,0.011574386999996022,Finished
mid_small,B-n51-k7.vrp,51,7,100,None,1126.6181932870304,None,0.0034546969999951216,Finished
mid_small,B-n52-k7.vrp,52,7,100,None,769.6274514599652,None,0.0036079239999935453,Finished
mid_small,B-n56-k7.vrp,56,7,100,None,736.6567207725216,None,0.004227364000001899,Finished
mid_small,B-n57-k7.vrp,57,7,100,None,1239.7800906399214,None,0.004524370000012823,Finished
mid_small,B-n57-k9.vrp,57,9,100,None,1656.3649674643361,None,0.004983809000009387,Finished
mid_small,B-n63-k10.vrp,63,10,100,None,1598.1796223145311,None,0.006603932999979634,Finished
mid_small,B-n64-k9.vrp,64,9,100,None,921.9672770105242,None,0.005427048999990802,Finished
mid_small,B-n66-k9.vrp,66,9,100,None,1420.8839412837829,None,0.006969196000000011,Finished
mid_small,B-n67-k10.vrp,67,10,100,None,1104.855803630291,None,0.006893194000014091,Finished
mid_small,B-n68-k9.vrp,68,9,100,None,1319.935834248649,None,0.007443473999984462,Finished
mid_small,B-n78-k10.vrp,78,10,100,None,1273.9989273116958,None,0.009885526999994454,Finished
mid_small,CMT1.vrp,51,None,160,None,584.6372084179404,None,0.003267186000016409,Finished
mid_small,CMT2.vrp,76,None,140,None,914.2712599839158,None,0.008423468999978923,Finished
mid_small,CMT6.vrp,51,None,160,None,584.6372084179404,None,0.003256647000000612,Finished
mid_small,CMT7.vrp,76,None,140,None,914.2712599839158,None,0.008531580999999733,Finished
mid_small,E-n51-k5.vrp,51,5,160,None,584.6372084179404,None,0.0034139409999909276,Finished
mid_small,E-n76-k10.vrp,76,10,140,None,914.2712599839158,None,0.00867292600000269,Finished
mid_small,E-n76-k14.vrp,76,14,100,None,1054.599368161235,None,0.00955180199997585,Finished
mid_small,E-n76-k7.vrp,76,7,220,None,751.690159734703,None,0.007686209000013378,Finished
mid_small,E-n76-k8.vrp,76,8,180,None,794.7405140283134,None,0.010600804999995717,Finished
mid_small,F-n72-k4.vrp,72,4,30000,None,258.225727146243,None,0.007301538000007213,Finished
mid_small,P-n51-k10.vrp,51,10,80,None,790.9721568818051,None,0.0036610029999906146,Finished
mid_small,P-n55-k10.vrp,55,10,115,None,736.4467980894067,None,0.004179695000004813,Finished
mid_small,P-n55-k15.vrp,55,15,70,None,978.0679667816745,None,0.005329536999994389,Finished
mid_small,P-n55-k7.vrp,55,7,170,None,617.1981667070585,None,0.003920338999989781,Finished
mid_small,P-n60-k10.vrp,60,10,120,None,788.7290964144938,None,0.004929227999980412,Finished
mid_small,P-n60-k15.vrp,60,15,80,None,1018.5913789529759,None,0.00582467299997802,Finished
mid_small,P-n65-k10.vrp,65,10,130,None,861.7631877637434,None,0.006109527000006665,Finished
mid_small,P-n70-k10.vrp,70,10,135,None,887.098809144408,None,0.006820216999983586,Finished
mid_small,P-n76-k4.vrp,76,4,350,None,678.7174035381013,None,0.007056710000000521,Finished
mid_small,P-n76-k5.vrp,76,5,280,None,705.0151296368242,None,0.007169190000013259,Finished
mid_small,tai75a.vrp,76,None,1445,None,1652.6806112964864,None,0.008918595000011464,Finished
mid_small,tai75b.vrp,76,None,1679,None,1377.691802654949,None,0.00907988699998441,Finished
mid_small,tai75c.vrp,76,None,1122,None,1389.3539492310151,None,0.013641147000015508,Finished
mid_small,tai75d.vrp,76,None,1699,None,1429.2591962828997,None,0.00815538700001639,Finished
