Size,Instance_Name,Optimal_Cost,Sw_cost,Apx,Execution_time
small,A-n32-k5.vrp,784.0,1559.125152837149,1.9886800418841186,0.00020179999410174787
small,A-n33-k5.vrp,661.0,942.076965984789,1.4252299031539926,0.00018230000569019467
small,A-n33-k6.vrp,742.0,1050.3116319385529,1.4155143287581575,0.00016310000501107424
small,A-n34-k5.vrp,778.0,1036.4696846075794,1.3322232449968887,0.00016710000636521727
small,A-n36-k5.vrp,799.0,1188.281185043952,1.4872104944229687,0.00017680000746622682
small,A-n37-k5.vrp,669.0,1055.8665619951767,1.5782758774217887,0.0001914999884320423
small,A-n37-k6.vrp,949.0,1476.5709559086126,1.555923030462184,0.00017860000662039965
small,A-n38-k5.vrp,730.0,1154.7859502581546,1.581898561997472,0.00023200000578071922
small,A-n39-k5.vrp,822.0,1488.8953664088112,1.8113082316408895,0.00018519999866839498
small,A-n39-k6.vrp,831.0,1257.1133277776046,1.5127717542450114,0.00018209998961538076
small,A-n44-k6.vrp,937.0,1684.6679726010532,1.7979380710790323,0.00020849998691119254
small,A-n45-k6.vrp,944.0,1422.216410970969,1.5065851811133146,0.0002179000002797693
small,A-n45-k7.vrp,1146.0,1798.9901916166073,1.5697994691244392,0.00020229999790899456
small,A-n46-k7.vrp,914.0,1356.5128459805178,1.4841497220793411,0.00020710000535473228
small,A-n48-k7.vrp,1073.0,1684.073641040533,1.5695001314450447,0.00021440000273287296
small,B-n31-k5.vrp,672.0,943.1394631292221,1.4034813439422948,0.00015999999595806003
small,B-n34-k5.vrp,788.0,1040.7775438645122,1.320783685107249,0.00016660000255797058
small,B-n35-k5.vrp,955.0,1039.3843015302375,1.0883605251625523,0.00017210000078193843
small,B-n38-k6.vrp,805.0,991.3337419395262,1.231470486881399,0.00018069999350700527
small,B-n39-k5.vrp,549.0,813.8933747494733,1.482501593350589,0.0001863999932538718
small,B-n41-k6.vrp,829.0,909.9497881920046,1.0976475128974723,0.00019940000493079424
small,B-n43-k6.vrp,742.0,871.0981675171854,1.173986748675452,0.0002072000061161816
small,B-n44-k7.vrp,909.0,1298.1066425072465,1.428060112769248,0.00021019999985583127
small,B-n45-k5.vrp,751.0,1140.2537531715966,1.5183139190034576,0.00020870000298600644
small,B-n45-k6.vrp,678.0,986.5391832036198,1.4550725415982593,0.0002086000022245571
small,B-n50-k7.vrp,741.0,1004.5415535415909,1.355656617465035,0.00022570000146515667
small,B-n50-k8.vrp,1312.0,1794.9668848566243,1.3681150037016954,0.00022729999909643084
small,E-n22-k4.vrp,375.0,454.32309771181497,1.2115282605648399,0.0001340000017080456
small,E-n23-k3.vrp,569.0,780.3755224117283,1.371485979633969,0.00013970000145491213
small,E-n30-k3.vrp,534.0,900.6176579964331,1.686549921341635,0.00015530000382568687
small,E-n33-k4.vrp,835.0,1267.4348531608118,1.517886051689595,0.00016880000475794077
small,F-n45-k4.vrp,724.0,1184.177183628191,1.635603844790319,0.00017640000442042947
small,P-n16-k8.vrp,450.0,596.6741051276423,1.325942455839205,0.00011020000965800136
small,P-n19-k2.vrp,212.0,315.6879532463978,1.4890941190867821,0.00010869999823626131
small,P-n20-k2.vrp,216.0,329.96907227061996,1.5276345938454627,0.00011100000119768083
small,P-n21-k2.vrp,211.0,387.2677675829533,1.835392263426319,0.00011480000102892518
small,P-n22-k2.vrp,216.0,388.06289931284954,1.7965874968187479,0.00011950000771321356
small,P-n22-k8.vrp,603.0,708.7198844123649,1.1753231913969566,0.00013460000627674162
small,P-n23-k8.vrp,529.0,747.3384397239523,1.4127380713118192,0.00012519999290816486
small,P-n40-k5.vrp,458.0,674.6825660864424,1.473106039490049,0.0001866999955382198
small,P-n45-k5.vrp,510.0,812.0799218091433,1.592313572174791,0.00020680000307038426
small,P-n50-k10.vrp,696.0,1015.5530949551203,1.4591280099929889,0.00022119999630376697
small,P-n50-k7.vrp,554.0,798.2818333237883,1.44094193740756,0.00021880000713281333
small,P-n50-k8.vrp,631.0,915.8510836797528,1.4514280248490536,0.00022529999841935933
small,VRPExemple.vrp,None,115.57908950145404,None,8.040000102482736e-05
