Size;Instance_Name;#Node;#Truck;Capacity;Optimal_Cost;Cost_NoOpt;Apx_NoOpt;Execution_time_NoOpt;Cost_2Opt;Apx_2Opt;Execution_time_2Opt;Cost_3Opt;Apx_3Opt;Execution_time_3Opt;Cost_3Opt_Timeout;Apx_3Opt_Timeout;Execution_time_3Opt_Timeout
small;A-n32-k5.vrp;32;5;100;787.8082774366646;1559.125152837149;1.9790667317055373;0.0031991459999858307;914.6650305494419;1.1610249051019597;0.0010358339999925192;885.0418306160853;1.1234228631054688;0.004116418999984717;;;
small;A-n33-k5.vrp;33;5;100;662.7628798187153;942.076965984789;1.421438940941403;0.00034040500000287466;806.5812797180439;1.2169982723514434;0.0006922130000077686;798.7116975969584;1.205124369390496;0.0030763960000115276;;;
small;A-n33-k6.vrp;33;6;100;742.830104787331;1050.3116319385529;1.4139325064635775;0.0003137260000016795;893.1537890108273;1.2023661712882965;0.0005204720000051566;875.319778439195;1.178357975529001;0.0020915819999913765;;;
small;A-n34-k5.vrp;34;5;100;781.3034826995502;1036.4696846075794;1.3265903807652082;0.0003344840000067961;913.617661425618;1.1693505553935297;0.0006288840000081564;868.7496584419196;1.1119234429113594;0.002988855000012336;;;
small;A-n36-k5.vrp;36;5;100;802.1318035237848;1188.281185043952;1.481403903727297;0.0003371100000038041;961.299804318496;1.1984312304978835;0.0007768410000039694;943.4352846905521;1.1761599285130169;0.004967501999999513;;;
small;A-n37-k5.vrp;37;5;100;672.593526946931;1055.8665619951767;1.5698434785538558;0.00043264799998610215;854.8534635897364;1.2709808068925796;0.001224226999994471;839.6461123034506;1.2483707895834395;0.007041103000005933;;;
small;A-n37-k6.vrp;37;6;100;952.2175276972253;1476.5709559086126;1.550665591589609;0.0003327109999986533;1146.9924327193967;1.204548750003795;0.00061519900000917;1137.0932136375932;1.1941527860629262;0.0035470649999922443;;;
small;A-n38-k5.vrp;38;5;100;734.1846511333271;1154.7859502581546;1.5728821740900802;0.00033372400000075686;891.5621031669514;1.2143567722243824;0.0008104239999795482;878.7654334461328;1.1969270020690612;0.004772745000025225;;;
small;A-n39-k5.vrp;39;5;100;828.989115424054;1488.8953664088112;1.7960372925369406;0.00033951500000739543;1037.7018387521975;1.251767748749488;0.0008850730000062867;1014.9654208067323;1.224341070253432;0.005305649999996831;;;
small;A-n39-k6.vrp;39;6;100;833.2046053523984;1257.1133277776046;1.5087690582866098;0.0003354670000135229;1027.6627512764096;1.2333858270523679;0.0008172570000226642;989.1805362297355;1.1872000345117728;0.005184152999987646;;;
