Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
large,Li_21.vrp,561,None,1200,16212.825563177095,54208.44425174579,3.3435531666278533,0.03385869900000671,19416.747582401727,1.1976165108752816,0.749919718000001,17270.78759879478,1.0652546363059965,144.703388423,10
large,Li_22.vrp,601,None,900,14499.044646698783,53612.347255026616,3.697646883736809,0.014075268999988566,15707.169997967896,1.0833244796955768,0.4239318850000018,14605.6142458046,1.007350111797199,58.54692381699999,14
large,Li_23.vrp,641,None,1400,18801.128566260857,78331.82326208282,4.166336238062402,0.015976810000040587,22528.252553985534,1.1982393756092442,1.1478035510000382,20119.23547300357,1.0701078609242687,283.881228629,10
large,Li_24.vrp,721,None,1500,21389.430579026408,98011.35794274499,4.582233153922801,0.017226110000024164,27221.701777234444,1.2726707088652898,1.4727136819999487,23088.894838347293,1.0794534596440968,435.41718742800003,10
large,Li_25.vrp,761,None,900,16665.74877986879,72288.29121465921,4.337536354920882,0.02177360099994985,18053.239484669954,1.0832540273544244,0.5922535989998323,16996.84367938878,1.0198667880989503,73.65425363300005,18
large,Li_26.vrp,801,None,1700,23977.732637558882,117270.5597948608,4.890811052383135,0.023433836999856794,31008.119645476592,1.2932048294218306,2.383703586000138,26061.948708606127,1.0869229840265429,745.2558328089999,10
large,Li_27.vrp,841,None,900,17319.981961476158,76598.58395617093,4.422555642756716,0.015976399000010133,18811.54070031137,1.0861177997848266,0.6748480410001321,17632.615185845294,1.018050435910644,98.00379568899984,19
large,Li_28.vrp,881,None,1800,26566.03412258745,140967.0624788325,5.306289295133327,0.018040544999848862,32802.37303409285,1.2347485847051227,2.6950570669998797,28633.935435952408,1.077840045820266,654.4255016870002,10
large,Li_29.vrp,961,None,2000,29154.336084928324,164851.3161245142,5.654435609313567,0.0204336419997162,36980.15234486784,1.2684271813682344,3.7972966209999868,32038.288606377446,1.0989201919415348,1689.8191481459994,10
large,Li_30.vrp,1041,None,2100,31742.638701073323,195091.75242295963,6.146047096467847,0.026144917999772588,42654.78033883266,1.343769203956896,4.697449379999853,35843.498342777246,1.1291908867540132,2469.6605747510002,10
large,Li_31.vrp,1121,None,2300,34330.940210281784,222931.363431516,6.493599128542078,0.027703331999873626,44151.57244528919,1.2860577710617498,6.296572348000154,37350.40909620744,1.0879518261786887,2615.616802363,10
large,Li_32.vrp,1201,None,2500,37159.41317307494,244651.2970653664,6.583831018156025,0.039949472000444075,48535.78532771167,1.3061504793321075,7.395322083999417,41866.83073181309,1.1266816980347003,5285.181775847999,10
large,X-n1001-k43.vrp,1001,43,131,72404.78563198904,313525.382062435,4.330174854131697,0.022943239000596805,91491.54143039518,1.2636117990241442,0.22066735599946696,90572.20843444765,1.2509146687457644,5.522791548999521,44
large,X-n502-k39.vrp,502,39,13,69254.03636320303,105845.85986030192,1.5283709862800334,0.008008750999579206,73907.21336914832,1.0671899754917054,0.037154257001020596,73569.35759019108,1.0623114760323331,0.39847910100070294,39
large,X-n513-k21.vrp,513,21,142,24224.86420176902,86623.86627550737,3.5758246384382897,0.011223845998756588,28841.805861528515,1.1905868954023833,0.11590286299906438,27297.971622468656,1.126857570597866,3.5925366890005535,21
large,X-n524-k153.vrp,524,153,125,154639.25890297085,240515.31102227414,1.5553315033227535,0.00794600100016396,212498.5012900285,1.3741562317196678,0.015687486000388162,212377.93059193686,1.3733765416270807,0.03947715499998594,191
large,X-n536-k96.vrp,536,96,371,94872.74640638653,140774.74634582584,1.4838270386188517,0.007442422998792608,118746.39925016896,1.2516386817929763,0.019580379001126857,118519.17912512747,1.2492436828744438,0.09669721600039338,107
large,X-n548-k50.vrp,548,50,11,86722.27757710981,226874.52286914727,2.616104295316967,0.008046931998251239,109650.56383345314,1.264387501077292,0.033886810999320005,109404.66420715686,1.2615520171259205,0.24882659400100238,50
large,X-n561-k42.vrp,561,42,74,42739.652695945704,105120.58696089518,2.459556414946417,0.00810917399940081,50118.7245877778,1.172651657801891,0.045908920001238585,49038.946634910906,1.1473875790189272,0.4942367520015978,43
large,X-n573-k30.vrp,573,30,210,50717.884979878174,114470.7349760395,2.257009238880025,0.011910094999620924,66963.3755342802,1.3203108836428663,0.08379191099993477,66399.81126558581,1.3091991373837708,1.8885607939992042,35
large,X-n586-k159.vrp,586,159,28,190355.10222372148,289789.9438372207,1.5223649928575855,0.009199691001413157,266101.8592794845,1.397923439775935,0.016773196000940516,266095.7630156635,1.3978914140316825,0.025316642999314354,182
large,X-n599-k92.vrp,599,92,487,108482.05871611243,205920.36408479436,1.8981974210470047,0.01244681599928299,144985.84889923705,1.3364961046568233,0.021862888999748975,144801.68222942195,1.3347984352726439,0.06232179300059215,100
large,X-n613-k62.vrp,613,62,523,59548.304940199545,129305.14070146265,2.1714327692671573,0.009663378999903216,72814.75032512913,1.2227846014802977,0.03531828900122491,72081.14248213288,1.2104650594927806,0.21415407600034086,65
large,X-n627-k43.vrp,627,43,110,62199.04938685801,188580.20065097502,3.0318823600995417,0.013522807001209003,88550.59173389101,1.4236647120301615,0.05669244000091567,88193.60898684204,1.417925351853953,0.6632436609997967,45
large,X-n641-k35.vrp,641,35,1381,63697.83808523143,214744.11180103055,3.3712935675099427,0.010403990001577768,78940.32353277871,1.239293607220263,0.08089169500090065,78275.17885985576,1.2288514212227895,1.5549919000004593,36
large,X-n655-k131.vrp,655,131,5,106810.59956566418,150964.92905503773,1.4133890238321216,0.014667793000626261,125165.266894566,1.1718431260899147,0.023119056999348686,125136.40577162128,1.1715729176736895,0.04845260999900347,131
large,X-n670-k130.vrp,670,130,129,146378.31843753328,270495.86697543843,1.8479230384851848,0.011267613999734749,220128.4176365524,1.5038321247725759,0.026748115000373218,219979.3689709887,1.5028138819948567,0.07252749300096184,174
