Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt
large,Li_21.vrp,561,None,1200,16212.825563177095,54208.44425174579,3.3435531666278533,0.011575456999992184,19416.747582401727,1.1976165108752816,0.7443126200000165,54208.44425174579,3.3435531666278533,0.008247420000003558
large,Li_22.vrp,601,None,900,14499.044646698783,53612.347255026616,3.697646883736809,0.009398490000023685,15707.169997967896,1.0833244796955768,0.4157630640000036,53612.347255026616,3.697646883736809,0.00855893299998911
large,Li_23.vrp,641,None,1400,18801.128566260857,78331.82326208282,4.166336238062402,0.00987514899998132,22528.252553985534,1.1982393756092442,1.1172815650000132,78331.82326208282,4.166336238062402,0.009771176999976205
large,Li_24.vrp,721,None,1500,21389.430579026408,98011.35794274499,4.582233153922801,0.01214733099999421,27221.701777234444,1.2726707088652898,1.4424723410000126,98011.35794274499,4.582233153922801,0.011948326999998926
large,Li_25.vrp,761,None,900,16665.74877986879,72288.29121465921,4.337536354920882,0.013378068000008625,18053.239484669954,1.0832540273544244,0.571250047999996,72288.29121465921,4.337536354920882,0.013258794999984502
large,Li_26.vrp,801,None,1700,23977.732637558882,117270.5597948608,4.890811052383135,0.014730246999988594,31008.119645476592,1.2932048294218306,2.352056263999998,117270.5597948608,4.890811052383135,0.014477565000021286
large,Li_27.vrp,841,None,900,17319.981961476158,76598.58395617093,4.422555642756716,0.016117463000000498,18811.54070031137,1.0861177997848266,0.6569618510000055,76598.58395617093,4.422555642756716,0.01570551199998249
large,Li_28.vrp,881,None,1800,26566.03412258745,140967.0624788325,5.306289295133327,0.017695234000001392,32802.37303409285,1.2347485847051227,2.651103254999981,140967.0624788325,5.306289295133327,0.01916037800000936
large,Li_29.vrp,961,None,2000,29154.336084928324,164851.3161245142,5.654435609313567,0.020702190000008613,36980.15234486784,1.2684271813682344,3.7063326560000007,164851.3161245142,5.654435609313567,0.020460359999987077
large,Li_30.vrp,1041,None,2100,31742.638701073323,195091.75242295963,6.146047096467847,0.02549965599999382,42654.78033883266,1.343769203956896,4.610144730000002,195091.75242295963,6.146047096467847,0.02371793500000763
large,Li_31.vrp,1121,None,2300,34330.940210281784,222931.363431516,6.493599128542078,0.02779598700001884,44151.57244528919,1.2860577710617498,6.183574976000017,222931.363431516,6.493599128542078,0.027246247999983098
large,Li_32.vrp,1201,None,2500,37159.41317307494,244651.2970653664,6.583831018156025,0.031014859000009665,48535.78532771167,1.3061504793321075,7.268951549000008,244651.2970653664,6.583831018156025,0.03138780499998006
large,X-n1001-k43.vrp,1001,None,131,72404.78563198904,313525.382062435,4.330174854131697,0.023005882999996174,91491.54143039518,1.2636117990241442,0.19617009400002416,313525.382062435,4.330174854131697,0.022547972000040772
large,X-n502-k39.vrp,502,None,13,69254.03636320303,105845.85986030192,1.5283709862800334,0.007806928999968932,73907.21336914832,1.0671899754917054,0.03122885700003053,105845.85986030192,1.5283709862800334,0.006373253999981898
large,X-n513-k21.vrp,513,None,142,24224.86420176902,86623.86627550737,3.5758246384382897,0.0067640620000020135,28841.805861528515,1.1905868954023833,0.10986861700001782,86623.86627550737,3.5758246384382897,0.006649792000018806
large,X-n524-k153.vrp,524,None,125,154639.25890297085,240515.31102227414,1.5553315033227535,0.007151212999986001,212498.5012900285,1.3741562317196678,0.009571705000041675,240515.31102227414,1.5553315033227535,0.006967836000001171
large,X-n536-k96.vrp,536,None,371,94872.74640638653,140774.74634582584,1.4838270386188517,0.007407929999999396,118746.39925016896,1.2516386817929763,0.013710333999995328,140774.74634582584,1.4838270386188517,0.007313398999997389
large,X-n548-k50.vrp,548,None,11,86722.27757710981,226874.52286914727,2.616104295316967,0.0076144160000239935,109650.56383345314,1.264387501077292,0.02736785700000155,226874.52286914727,2.616104295316967,0.007402870000021267
large,X-n561-k42.vrp,561,None,74,42739.652695945704,105120.58696089518,2.459556414946417,0.007936088000008112,50118.7245877778,1.172651657801891,0.03852387599999929,105120.58696089518,2.459556414946417,0.0078346879999458
large,X-n573-k30.vrp,573,None,210,50717.884979878174,114470.7349760395,2.257009238880025,0.008457038000017292,66963.3755342802,1.3203108836428663,0.07534716900005378,114470.7349760395,2.257009238880025,0.008033383999986654
large,X-n586-k159.vrp,586,None,28,190355.10222372148,289789.9438372207,1.5223649928575855,0.009183595000024525,266101.8592794845,1.397923439775935,0.009604668000008587,289789.9438372207,1.5223649928575855,0.008533790999990742
large,X-n599-k92.vrp,599,None,487,108482.05871611243,205920.36408479436,1.8981974210470047,0.009213834000036059,144985.84889923705,1.3364961046568233,0.014245271999982378,205920.36408479436,1.8981974210470047,0.00883553800002801
large,X-n613-k62.vrp,613,None,523,59548.304940199545,129305.14070146265,2.1714327692671573,0.009346978999985822,72814.75032512913,1.2227846014802977,0.02671420099994748,129305.14070146265,2.1714327692671573,0.00920925600001965
large,X-n627-k43.vrp,627,None,110,62199.04938685801,188580.20065097502,3.0318823600995417,0.009806173999947987,88550.59173389101,1.4236647120301615,0.04770849799996313,188580.20065097502,3.0318823600995417,0.00951330399999506
large,X-n641-k35.vrp,641,None,1381,63697.83808523143,214744.11180103055,3.3712935675099427,0.010155064999992192,78940.32353277871,1.239293607220263,0.07101762100000997,214744.11180103055,3.3712935675099427,0.00995475100000931
large,X-n655-k131.vrp,655,None,5,106810.59956566418,150964.92905503773,1.4133890238321216,0.010642497999981515,125165.266894566,1.1718431260899147,0.014124226000035378,150964.92905503773,1.4133890238321216,0.01029158300002564
large,X-n670-k130.vrp,670,None,129,146378.31843753328,270495.86697543843,1.8479230384851848,0.011235419000001912,220128.4176365524,1.5038321247725759,0.016304617000002963,270495.86697543843,1.8479230384851848,0.010860358999991604
large,X-n685-k75.vrp,685,None,408,68237.21553731913,144535.29791795881,2.118130067000053,0.011550908000003801,86609.75126312868,1.2692450971385483,0.04379101699998955,144535.29791795881,2.118130067000053,0.01120205300003363
large,X-n701-k44.vrp,701,None,87,81956.01995940873,238919.57959284767,2.9152169628439744,0.01200281499995981,104626.27620285757,1.276614899731307,0.06306448099996942,238919.57959284767,2.9152169628439744,0.011559052999984942
large,X-n716-k35.vrp,716,None,1007,43420.6564451652,128315.36433641434,2.9551686879368213,0.0125947070000052,53852.704468851705,1.2402554193730548,0.11250019199997041,128315.36433641434,2.9551686879368213,0.012149164999982531
large,X-n733-k159.vrp,733,None,25,136218.39404680504,228524.27674030472,1.6776315587877442,0.013017034999961652,185303.69048323057,1.3603426452051672,0.016337877000012213,228524.27674030472,1.6776315587877442,0.012754024999992453
large,X-n749-k98.vrp,749,None,396,77303.49914276505,158153.24713182397,2.045874363846643,0.013527798999973584,103662.55246015849,1.340981373543172,0.025475236999966455,158153.24713182397,2.045874363846643,0.013119678000009571
large,X-n766-k71.vrp,766,None,166,114461.16180212778,305808.075452987,2.6717191284642556,0.014185155999996368,172363.47837221823,1.5058686777108536,0.05862916699999232,305808.075452987,2.6717191284642556,0.013713011000049846
large,X-n783-k48.vrp,783,None,832,72408.31876571494,264272.6914936642,3.6497559396282564,0.014962561999993795,95781.31247607946,1.3227943157469297,0.09594406799999433,264272.6914936642,3.6497559396282564,0.014389704999985042
large,X-n801-k40.vrp,801,None,20,73333.97393618312,296185.9341575892,4.03886382068067,0.01528106600000001,90528.2442718608,1.2344652745893812,0.11338499999999385,296185.9341575892,4.03886382068067,0.01476571400002058
large,X-n819-k171.vrp,819,None,358,158148.89835677537,223737.0868308937,1.4147242829738524,0.016165915999977187,195790.4006718087,1.2380130541922343,0.01929509799998641,223737.0868308937,1.4147242829738524,0.015970319999951244
large,X-n837-k142.vrp,837,None,44,193784.91639895606,355167.814017762,1.8327939068619654,0.01685239700003649,264819.3247782902,1.3665631448481341,0.02290370600002234,355167.814017762,1.8327939068619654,0.016305175000013605
large,X-n856-k95.vrp,856,None,9,89013.59855624012,164699.30007470574,1.8502712253639118,0.017317575999982182,102723.37205863954,1.1540188659347075,0.036932711000019935,164699.30007470574,1.8502712253639118,0.01691323700003977
large,X-n876-k59.vrp,876,None,764,99356.19354150473,254719.3592439975,2.5636988512205012,0.018019886999979917,125954.23203472538,1.2677038798000013,0.07670812100002422,254719.3592439975,2.5636988512205012,0.017647893000003023
large,X-n895-k37.vrp,895,None,1816,53898.675359403234,229979.5673518697,4.266887188197792,0.01928020100001504,64670.78895311976,1.1998585961878785,0.1783012359999816,229979.5673518697,4.266887188197792,0.018187308999983998
large,X-n916-k207.vrp,916,None,33,329222.3593754837,526574.445998195,1.5994492202688695,0.019551375999981246,454548.78824240714,1.380674110666908,0.02214325700003883,526574.445998195,1.5994492202688695,0.019155768000018725
large,X-n936-k151.vrp,936,None,138,132768.74131236685,265545.14886609395,2.0000577413123337,0.020565579999981765,200684.11212072102,1.5115313298675381,0.03675185400004466,265545.14886609395,2.0000577413123337,0.02007826300001625
large,X-n957-k87.vrp,957,None,11,85517.72782106075,220344.53366836358,2.576594810019012,0.02122235400003092,112495.33887931856,1.3154622058563854,0.055738367000003564,220344.53366836358,2.576594810019012,0.020893196999963948
large,X-n979-k58.vrp,979,None,998,119032.52000804225,328983.9232274222,2.7638154951705203,0.022170906999974704,146930.7507143874,1.234374864150236,0.1680157580000241,328983.9232274222,2.7638154951705203,0.021507439999993494
