Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt
large,Li_21.vrp,561,None,1200,16212.825563177095,54208.44425174579,3.3435531666278533,0.01114921699999627,21078.073175429956,1.3000863478913207,0.5004579700000136,18413.782376707502,1.1357540550198273,116.72855064699999
large,Li_22.vrp,601,None,900,14499.044646698783,53612.347255026616,3.697646883736809,0.008970027000032132,15916.872844433225,1.0977876978989274,0.28679885700000796,15197.428458249633,1.0481675743863483,31.613150650000023
large,Li_23.vrp,641,None,1400,18801.128566260857,78331.82326208282,4.166336238062402,0.009911153000018658,23403.149001534177,1.2447736272348977,0.7740566180000314,21454.436086576337,1.1411249069950469,157.68198471700003
large,Li_24.vrp,721,None,1500,21389.430579026408,98011.35794274499,4.582233153922801,0.012111044999983278,29211.098557721794,1.3656791119238578,1.055877238999983,24486.013066425163,1.144771618672034,288.161955355
large,Li_25.vrp,761,None,900,16665.74877986879,72288.29121465921,4.337536354920882,0.013596644000017477,18479.589972226277,1.1088364655147385,0.41070653799999945,18058.24264701256,1.0835542336283035,45.0239249120001
large,Li_26.vrp,801,None,1700,23977.732637558882,117270.5597948608,4.890811052383135,0.014559808000058183,33142.99376501428,1.3822405256574959,1.4167618129999937,27708.612512854488,1.155597692729776,733.661695675
large,Li_27.vrp,841,None,900,17319.981961476158,76598.58395617093,4.422555642756716,0.016115485000000263,18771.836835874314,1.0838254264714267,0.41086658099993656,17180.782305538996,0.991963059993551,54.47123385100008
large,Li_28.vrp,881,None,1800,26566.03412258745,140967.0624788325,5.306289295133327,0.017438636999941082,32715.724794107202,1.2314869672734121,1.8035015660000226,29525.013240151922,1.1113820415915463,460.54552188599996
large,Li_29.vrp,961,None,2000,29154.336084928324,164851.3161245142,5.654435609313567,0.022086245000082272,38615.92183349436,1.3245344267488675,2.393194362000031,33241.45911897554,1.1401891993747064,1016.0132146369997
large,Li_30.vrp,1041,None,2100,31742.638701073323,195091.75242295963,6.146047096467847,0.02424613000039244,40347.711780313184,1.2710887762128262,3.0205337439997493,35314.95256074862,1.1125399149489896,1045.7671336600001
large,Li_31.vrp,1121,None,2300,34330.940210281784,222931.363431516,6.493599128542078,0.027501861999553512,44694.176975567185,1.3018628881647032,3.573615673999484,38385.663877825675,1.1181069799635006,2172.225003886
large,Li_32.vrp,1201,None,2500,37159.41317307494,244651.2970653664,6.583831018156025,0.030946301999392745,48858.84556889457,1.314844379843351,4.985760005999509,43252.50212018454,1.163971613833895,2192.205961275
large,X-n1001-k43.vrp,1001,None,131,72404.78563198904,313525.382062435,4.330174854131697,0.02305122600046161,90923.30896065202,1.255763803000355,0.1524572390007961,88634.66387191188,1.2241547723435608,4.330305630999646
large,X-n502-k39.vrp,502,None,13,69254.03636320303,105845.85986030192,1.5283709862800334,0.007858230999772786,73038.90272278318,1.0546519243980295,0.027712821000022814,72046.48251225213,1.040321781887255,0.3333075809987349
large,X-n513-k21.vrp,513,None,142,24224.86420176902,86623.86627550737,3.5758246384382897,0.00704306199986604,27878.264920324167,1.150812020580423,0.07909236699924804,27624.06921184091,1.1403188468575052,2.809915235000517
