Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
large,Li_21.vrp,561,None,1200,16212.825563177095,54208.44425174579,3.3435531666278533,0.010625070999992658,19416.747582401727,1.1976165108752816,0.7485313810000207,17270.78759879478,1.0652546363059965,147.85880333199992,10
large,Li_22.vrp,601,None,900,14499.044646698783,53612.347255026616,3.697646883736809,0.014044131999980891,15707.169997967896,1.0833244796955768,0.43380375600008847,14605.6142458046,1.007350111797199,59.44350424900006,14
large,Li_23.vrp,641,None,1400,18801.128566260857,78331.82326208282,4.166336238062402,0.015060433999906309,22528.252553985534,1.1982393756092442,1.176703712999938,20119.23547300357,1.0701078609242687,289.920709568,10
large,Li_24.vrp,721,None,1500,21389.430579026408,98011.35794274499,4.582233153922801,0.013776494000012462,27221.701777234444,1.2726707088652898,1.4964515369999845,27221.701777234444,1.2726707088652898,300.0221289660001,10
large,Li_25.vrp,761,None,900,16665.74877986879,72288.29121465921,4.337536354920882,0.018816953999930774,18053.239484669954,1.0832540273544244,0.5921386249999614,16996.84367938878,1.0198667880989503,74.4638497410001,18
large,Li_26.vrp,801,None,1700,23977.732637558882,117270.5597948608,4.890811052383135,0.014524320999953488,31008.119645476592,1.2932048294218306,2.396880597000063,31008.119645476592,1.2932048294218306,300.02466105999997,10
large,Li_27.vrp,841,None,900,17319.981961476158,76598.58395617093,4.422555642756716,0.016027729999905205,18811.54070031137,1.0861177997848266,0.6873859999998331,17632.615185845294,1.018050435910644,102.29485879200001,19
large,Li_28.vrp,881,None,1800,26566.03412258745,140967.0624788325,5.306289295133327,0.01742405699997107,32802.37303409285,1.2347485847051227,2.7502999790001468,32802.37303409285,1.2347485847051227,300.02763211900015,10
large,Li_29.vrp,961,None,2000,29154.336084928324,164851.3161245142,5.654435609313567,0.02050484200003666,36980.15234486784,1.2684271813682344,3.8360972670000137,36980.15234486784,1.2684271813682344,300.0310424329998,10
large,Li_30.vrp,1041,None,2100,31742.638701073323,195091.75242295963,6.146047096467847,0.02389384499974767,42654.78033883266,1.343769203956896,4.738292674000149,42654.78033883266,1.343769203956896,300.03430338299995,10
large,Li_31.vrp,1121,None,2300,34330.940210281784,222931.363431516,6.493599128542078,0.027762516999700892,44151.57244528919,1.2860577710617498,6.38246084299999,44151.57244528919,1.2860577710617498,300.03871022400017,10
large,Li_32.vrp,1201,None,2500,37159.41317307494,244651.2970653664,6.583831018156025,0.0326852940002027,48535.78532771167,1.3061504793321075,7.395747804999701,48535.78532771167,1.3061504793321075,300.0422492110001,10
large,X-n1001-k43.vrp,1001,43,131,72404.78563198904,313525.382062435,4.330174854131697,0.023369718000139983,91491.54143039518,1.2636117990241442,0.22327460699989388,90572.20843444765,1.2509146687457644,5.653200536999975,44
large,X-n502-k39.vrp,502,39,13,69254.03636320303,105845.85986030192,1.5283709862800334,0.006967956000153208,73907.21336914832,1.0671899754917054,0.0370457730000453,73569.35759019108,1.0623114760323331,0.4025397079999493,39
