Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
mid,CMT10.vrp,200,None,200,1395.853467656216,2773.175068804432,1.9867236304258233,0.0015063919999960262,1508.7429726214405,1.0808748966714807,0.01031453499999202,1418.194863773097,1.0160055454491184,0.11530523500000811,17
mid,CMT11.vrp,121,None,200,1042.1150274399192,3343.234592266588,3.2081243473473804,0.0009282609999985425,1564.9213753650477,1.5016781585133314,0.010753934999996773,1529.4703576968136,1.4676598239391494,0.2191497469999888,8
mid,CMT12.vrp,101,None,200,819.5575441874688,1247.1085588683377,1.5216851674579537,0.0008914750000030836,1094.073763416582,1.3349566130847785,0.003284315000001925,1041.5504501968494,1.2708692117885025,0.04300304400000243,10
mid,CMT13.vrp,121,None,200,1541.1416027574185,3343.234592266588,2.1693234328921207,0.0007846599999936643,1564.9213753650477,1.0154299725379434,0.010845497999994791,1529.4703576968136,0.9924268833962288,0.21687935399999958,8
mid,CMT14.vrp,101,None,200,866.3652093737874,1247.1085588683377,1.4394721133478494,0.0007594519999969407,1094.073763416582,1.262832061559101,0.0033689950000024282,1041.5504501968494,1.202207151127048,0.04144841800000165,10
mid,CMT3.vrp,101,None,200,826.1369729550208,1387.100616744927,1.6790201409136642,0.0007450749999975415,921.1532165871756,1.1150126997612635,0.006012837000000104,858.7818068435147,1.0395150380108593,0.07599747000000434,8
mid,CMT4.vrp,151,None,200,1028.4242880993547,2252.4271415763624,2.1901730323183095,0.001251158000002306,1210.832097350671,1.1773662984840882,0.008136934999996015,1129.911282639642,1.0986820281421463,0.10546451899999454,12
mid,CMT5.vrp,200,None,200,1291.2891464211025,2773.175068804432,2.1476019344625326,0.0013028779999899598,1508.7429726214405,1.1684005683800769,0.009897906999995598,1418.194863773097,1.098278311796953,0.11330591899999831,17
mid,CMT8.vrp,101,None,200,865.9445056375685,1387.100616744927,1.6018354614117534,0.0010493399999944586,921.1532165871756,1.0637554838562764,0.006097737000004599,858.7818068435147,0.9917284551753347,0.07730085800000097,8
mid,CMT9.vrp,151,None,200,1162.5470444474113,2252.4271415763624,1.937493327547015,0.0010915699999998196,1210.832097350671,1.0415338485731653,0.008454874999998196,1129.911282639642,0.9719273624550119,0.11347968300000844,12
