Size,Instance_Name,Optimal_Cost,CW_cost,APX,Execution_time
large,Li_21.vrp,16212.74,19191.824236723456,1.1837495843838521,1.9377580000436865
large,Li_22.vrp,14597.18,14691.72652678193,1.0064770405504302,2.379231200029608
large,Li_23.vrp,18801.12,23899.220523359734,1.271159405575824,2.8832179000019096
large,Li_24.vrp,21389.33,27536.16391467585,1.2873785160486957,4.067815600021277
large,Li_25.vrp,16902.16,15559.612741872974,0.9205694859043444,4.673045100003947
large,Li_26.vrp,23971.74,28478.220973785435,1.187991400448421,5.494085700018331
large,Li_27.vrp,17488.74,16304.55389749196,0.9322886553000364,6.209455800009891
large,Li_28.vrp,26565.92,32459.43272232178,1.2218448569566491,7.274518400023226
large,Li_29.vrp,29154.34,35605.28210611479,1.2212686723868484,9.368529200030025
large,Loggi-n501-k24.vrp,177078.0,189837.0,1.0720529935960423,2.216775599983521
large,Loggi-n601-k19.vrp,113155.0,121609.0,1.0747116786708497,2.330418199999258
large,Loggi-n601-k42.vrp,347059.0,364603.0,1.0505504827709409,4.031649300013669
large,Loggi-n901-k42.vrp,246301.0,259473.0,1.0534792794182728,10.443650700035505
large,ORTEC-n510-k23.vrp,184529.0,197486.0,1.0702166055199995,1.7975698999944143
large,ORTEC-n701-k64.vrp,445543.0,471032.0,1.0572088440397447,4.582933400000911
large,X-n502-k39.vrp,69226.0,71372.84489567137,1.0310121182167302,2.477400400035549
large,X-n513-k21.vrp,24201.0,26943.09813497384,1.1133051582568423,1.646039400016889
large,X-n524-k153.vrp,154593.0,164485.06343911865,1.063987783658501,4.488043099991046
large,X-n536-k96.vrp,94846.0,99901.41714273141,1.0533013215394578,3.4458647000137717
large,X-n548-k50.vrp,86700.0,89551.60345548148,1.03289046661455,3.6384710000129417
large,X-n561-k42.vrp,42717.0,45468.61395529803,1.064414962551163,2.3064875999698415
large,X-n573-k30.vrp,50673.0,52335.91047196124,1.032816499357868,3.906773799972143
large,X-n586-k159.vrp,190316.0,199702.41069134895,1.0493201343625809,6.303649699955713
large,X-n599-k92.vrp,108451.0,112914.7920395764,1.041159528631146,5.327688799996395
large,X-n613-k62.vrp,59535.0,62797.902357669846,1.0548064559951262,3.28577449999284
large,X-n627-k43.vrp,62164.0,65710.36542767359,1.057048539792703,15.354838099970948
large,X-n641-k35.vrp,63682.0,67276.55888362633,1.0564454458658072,12.489683000021614
large,X-n655-k131.vrp,106780.0,108219.59781834653,1.013481905022912,7.501374499988742
large,X-n670-k130.vrp,146332.0,158927.74821666046,1.086076512428317,17.722823599993717
large,X-n685-k75.vrp,68205.0,71550.88826330958,1.0490563487033147,6.479292000003625
large,X-n701-k44.vrp,81923.0,85316.98277621147,1.0414289366382026,7.279624599963427
large,X-n716-k35.vrp,43373.0,45398.56878396467,1.0467011455044537,7.658680699998513
large,X-n733-k159.vrp,136187.0,139405.6122084172,1.02363376980488,8.590382299968041
large,X-n749-k98.vrp,77269.0,79546.01294117613,1.0294686477264638,8.85196519998135
large,X-n766-k71.vrp,114417.0,119343.8250556225,1.0430602537701783,17.31911109999055
large,X-n783-k48.vrp,72386.0,77079.83728137266,1.0648445456493336,13.212681700009853
large,X-n801-k40.vrp,73305.0,76721.75932292378,1.046610181064372,10.213489799993113
large,X-n819-k171.vrp,158121.0,167051.92400689068,1.0564815806053003,12.38573640002869
large,X-n837-k142.vrp,193737.0,201121.21181281694,1.0381146183373178,14.765347499982454
large,X-n856-k95.vrp,88965.0,92476.76470367849,1.0394735536860393,8.89010740001686
large,X-n876-k59.vrp,99299.0,102713.2450507352,1.03438347869299,11.961654899991117
large,X-n895-k37.vrp,53860.0,58532.10810413034,1.0867454159697427,12.425303799973335
large,X-n916-k207.vrp,329179.0,344532.41506674956,1.0466415386970298,21.31166490004398
large,X-n936-k151.vrp,132715.0,146265.82773282885,1.1021047186288577,15.707287000026554
large,X-n957-k87.vrp,85465.0,89140.27913789227,1.0430033246111539,16.117362999997567
large,X-n979-k58.vrp,118976.0,124059.41652165855,1.0427264029859682,25.88983930001268
