Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time
small,A-n32-k5.vrp,32,5,100,784.0,843.688169346626,1.076132869064574,0.003851999994367361
small,A-n33-k5.vrp,33,5,100,661.0,693.739847134346,1.0495307823515068,0.002438099996652454
small,A-n33-k6.vrp,33,6,100,742.0,776.2559893244659,1.0461671015154526,0.0026153000071644783
small,A-n34-k5.vrp,34,5,100,778.0,807.3126474885153,1.037676924792436,0.0026113999920198694
small,A-n36-k5.vrp,36,5,100,799.0,830.891740485609,1.0399145688180338,0.003559300006600097
small,A-n37-k5.vrp,37,5,100,669.0,705.1682010333623,1.0540630807673577,0.003453600002103485
small,A-n37-k6.vrp,37,6,100,949.0,979.6543504538735,1.0323017391505516,0.00385590000951197
small,A-n38-k5.vrp,38,5,100,730.0,794.6656102779442,1.0885830277780058,0.0033626999938860536
small,A-n39-k5.vrp,39,5,100,822.0,901.9900540917963,1.0973115013282193,0.003920999995898455
small,A-n39-k6.vrp,39,6,100,831.0,882.5837337942723,1.0620742885610979,0.0036955999967176467
small,A-n44-k6.vrp,44,6,100,937.0,1020.8778047700205,1.0895174010352406,0.005106399999931455
small,A-n45-k6.vrp,45,6,100,944.0,1012.9172723402031,1.0730055851061473,0.0062390999955823645
small,A-n45-k7.vrp,45,7,100,1146.0,1199.9759634376967,1.047099444535512,0.006205900004715659
small,A-n46-k7.vrp,46,7,100,914.0,939.7435418657789,1.0281658007284233,0.005839300007210113
small,A-n48-k7.vrp,48,7,100,1073.0,1114.857814702284,1.039010078939687,0.006583099995623343
small,B-n31-k5.vrp,31,5,100,672.0,684.6089982427923,1.0187633902422504,0.0022354999964591116
small,B-n34-k5.vrp,34,5,100,788.0,808.7426240970285,1.026323127026686,0.0027791000029537827
small,B-n35-k5.vrp,35,5,100,955.0,980.4257165555686,1.0266237869691817,0.002824499999405816
small,B-n38-k6.vrp,38,6,100,805.0,833.73607338778,1.035696985574882,0.004162900004303083
small,B-n39-k5.vrp,39,5,100,549.0,568.8242504457515,1.036109745802826,0.0036982000019634143
small,B-n41-k6.vrp,41,6,100,829.0,899.9012987802317,1.0855262952716909,0.0051118999981554225
small,B-n43-k6.vrp,43,6,100,742.0,762.6233702524737,1.0277942995316358,0.005540699989069253
small,B-n44-k7.vrp,44,7,100,909.0,938.4465019702028,1.0323943916063838,0.0064362999983131886
small,B-n45-k5.vrp,45,5,100,751.0,757.1641652674421,1.008207943099124,0.004670599999371916
small,B-n45-k6.vrp,45,6,100,678.0,729.8734591118883,1.0765095267136997,0.005159400010597892
small,B-n50-k7.vrp,50,7,100,741.0,749.5607584512968,1.0115529803661225,0.010005800009821542
small,B-n50-k8.vrp,50,8,100,1312.0,1354.02636518271,1.032032290535602,0.007908899991889484
small,E-n13-k4.vrp,13,4,6000,247.0,290.0,1.174089068825911,0.0003905000048689544
small,E-n22-k4.vrp,22,4,6000,375.0,388.77228583912927,1.0367260955710114,0.0010087999980896711
small,E-n23-k3.vrp,23,3,4500,569.0,576.4198114175737,1.0130400903648042,0.0010196000075666234
small,E-n30-k3.vrp,30,3,4500,534.0,534.4482364968426,1.0008393941888438,0.0017975999944610521
small,E-n31-k7.vrp,31,7,140,379.0,1263.0,3.33245382585752,0.0026178000116487965
small,E-n33-k4.vrp,33,4,8000,835.0,843.0977933340906,1.0096979560887314,0.0025703999999677762
small,F-n45-k4.vrp,45,4,2010,724.0,730.2488116634198,1.0086309553362152,0.005909200001042336
small,P-n16-k8.vrp,16,8,35,450.0,478.7711300654122,1.0639358445898048,0.000674300012178719
small,P-n19-k2.vrp,19,2,160,212.0,237.89277234358858,1.1221357186018328,0.0008501999982399866
small,P-n20-k2.vrp,20,2,160,216.0,233.99511295328986,1.0833107081170827,0.000766999990446493
small,P-n21-k2.vrp,21,2,160,211.0,236.18543149413827,1.1193622345693757,0.00082970000221394
small,P-n22-k2.vrp,22,2,160,216.0,239.4991399931231,1.1087923147829772,0.0009438999986741692
small,P-n22-k8.vrp,22,8,3000,603.0,590.6210234857078,0.9794710173892336,0.0014844999968772754
small,P-n23-k8.vrp,23,8,40,529.0,539.4753861721704,1.0198022422914375,0.0014848999999230728
small,P-n40-k5.vrp,40,5,140,458.0,518.3720297625708,1.131816658870242,0.0038957000069785863
small,P-n45-k5.vrp,45,5,150,510.0,573.3307371215328,1.1241779159245742,0.005208999995375052
small,P-n50-k10.vrp,50,10,100,696.0,739.837582073187,1.0629850317143492,0.00758129998575896
small,P-n50-k7.vrp,50,7,150,554.0,594.6712381517392,1.0734137872775076,0.006816200009780005
small,P-n50-k8.vrp,50,8,120,631.0,666.841499245342,1.0568011081542663,0.006710300003760494
