Instance_Name,#Node,#Truck,Capacity,Opt_cost,Incumbent,Execution_time,Status,Routes
A-n32-k5.vrp,32,5,100,787.8082774366646,831.0185746147714,300.0510047999851,Timeout,[[0 30 16 1 12 0] [0 20 5 25 10 15 29 27 0] [0 21 31 19 17 13 7 26 0] [0 14 23 2 3 6 0] [0 24 18 8 28 4 11 9 22 0]]
A-n33-k5.vrp,33,5,100,662.7628798187153,inf,300.02076139999554,Timeout,[]
A-n33-k6.vrp,33,6,100,742.830104787331,inf,300.0195276000013,Timeout,[]
A-n34-k5.vrp,34,5,100,781.3034826995502,inf,300.01319830000284,Timeout,[]
A-n36-k5.vrp,36,5,100,802.1318035237848,inf,300.0168199999898,Timeout,[]
A-n37-k5.vrp,37,5,100,672.593526946931,inf,300.02386939999997,Timeout,[]
A-n37-k6.vrp,37,6,100,952.2175276972253,inf,300.0253204999899,Timeout,[]
A-n38-k5.vrp,38,5,100,734.1846511333271,inf,300.02743990000454,Timeout,[]
B-n31-k5.vrp,31,5,100,676.7582609500149,684.9983148155193,300.0294409999915,Timeout,[[0 24 11 14 15 19 1 3 0] [0 22 13 17 30 7 8 0] [0 6 9 23 12 28 26 0] [0 29 4 5 25 18 16 21 0] [0 20 27 10 2 0]]
E-n13-k4.vrp,13,4,6000,290.0,290.0,126.42902459998732,Optimal,[[0 6 9 8 0] [0 5 0] [0 1 2 3 4 0] [0 12 11 10 7 0]]
E-n22-k4.vrp,22,4,6000,375.2797871480125,375.2797871480125,300.01397209998686,Timeout,[[0 13 11 4 3 8 10 0] [0 6 1 2 5 7 9 0] [0 14 21 19 16 0] [0 17 20 18 15 12 0]]
E-n23-k3.vrp,23,3,4500,568.5625010705219,568.5625010705219,154.1195216999913,Optimal,[[0 12 11 6 1 2 3 16 15 14 17 22 20 19 18 0] [0 21 4 5 8 9 7 0] [0 10 13 0]]
