Size,Instance_Name,#Node,#Truck,Capacity,Opt_cost,Incumbent,APX,Execution_time,Status,Routes
mid_small,A-n53-k7.vrp,53,7,100,1013.3082739074634,1145.5037952765203,1.130459,300.06983510009013,Timeout, [0 1 21 34 52 13 14 0 0 33 3 5 39 25 47 0 0 7 12 16 32 15 19 23 42 48 0 0 27 8 46 30 22 28 4 0 0 20 6 38 37 2 45 0 0 44 29 49 36 50 43 11 24 41 17 9 0 0 31 35 18 40 26 10 51 0]
mid_small,A-n54-k7.vrp,54,7,100,1171.784337211776,1320.041855376046,1.126523,300.07163030002266,Timeout, [0 45 36 1 17 26 38 34 30 0 0 35 15 10 53 3 22 13 0 0 12 37 48 40 31 8 19 0 0 43 41 46 42 24 51 47 25 0 0 18 5 49 21 33 9 44 11 0 0 52 6 27 2 14 32 16 0 0 29 20 39 50 7 23 28 4 0]
mid_small,A-n55-k9.vrp,55,9,100,1074.4636399998485,1253.5912013231896,1.166713,300.1009182999842,Timeout, [0 43 6 1 45 0 0 44 24 52 27 19 25 0 0 48 50 23 54 13 28 22 0 0 41 29 18 26 46 20 0 0 33 17 2 51 34 37 36 0 0 32 38 16 40 53 5 10 12 0 0 21 15 11 14 0 0 4 30 7 42 31 3 0 0 35 9 49 39 47 8 0]
mid_small,A-n60-k9.vrp,60,9,100,1355.799248189919,1593.2079003572644,1.175106,300.11563649994787,Timeout, [0 34 1 10 54 5 45 0 0 24 58 56 43 17 27 0 0 14 15 26 29 7 38 33 0 0 16 20 3 11 4 21 53 30 49 0 0 19 57 37 12 22 36 44 2 0 0 8 13 59 52 18 0 0 48 42 51 9 32 0 0 47 23 50 39 35 55 41 0 0 28 31 6 40 46 25 0]
mid_small,A-n61-k9.vrp,61,9,100,1039.0784353929382,1435.8068015617148,1.381808,300.1201920999447,Timeout, [0 33 42 46 54 25 34 1 9 39 0 0 60 11 16 18 27 21 36 29 0 0 38 10 24 0 0 23 15 30 37 45 3 0 0 40 53 8 41 6 20 57 17 0 0 31 52 13 50 12 22 55 0 0 19 49 59 2 5 51 0 0 14 58 47 56 44 28 0 0 48 35 7 32 43 26 4 0]
mid_small,A-n62-k8.vrp,62,8,100,1294.2821609711052,1643.8451991148781,1.270083,300.15648999996483,Timeout, [0 40 58 17 33 50 12 53 0 0 31 34 23 47 45 46 13 14 48 0 0 15 8 43 29 61 10 51 0 0 6 32 57 26 35 49 4 21 0 0 19 38 55 59 56 28 0 0 16 37 22 44 2 7 20 0 0 1 9 54 3 42 30 18 0 0 5 60 25 11 41 27 39 24 36 52 0]
mid_small,A-n63-k10.vrp,63,10,100,1313.7294196277296,1723.8670199572464,1.312193,300.2532048999565,Timeout, [0 43 52 19 3 42 5 18 0 0 21 44 47 33 16 37 0 0 54 8 35 2 41 10 59 0 0 50 62 31 51 58 22 55 0 0 9 12 6 27 60 0 0 46 36 0 0 25 40 39 45 1 14 53 11 34 20 0 0 23 61 7 24 32 57 28 0 0 48 13 26 4 38 0 0 15 49 29 56 17 30 0]
mid_small,A-n63-k9.vrp,63,9,100,1622.14461148721,2105.886650091998,1.298211,300.1715576000279,Timeout, [0 16 60 61 58 14 40 55 44 0 0 19 30 5 45 27 59 23 39 0 0 15 22 28 10 12 56 0 0 2 3 41 1 46 9 42 0 0 11 33 21 53 4 18 47 0 0 20 34 49 36 48 13 25 0 0 7 43 31 38 29 54 0 0 51 57 24 8 26 0 0 6 37 52 62 17 35 50 32 0]
mid_small,A-n64-k9.vrp,64,9,100,1400.8320811963101,1767.9281462533377,1.262056,300.3196692999918,Timeout, [0 19 51 9 20 33 0 0 52 61 47 46 63 2 58 5 0 0 48 62 14 27 0 0 41 13 24 54 31 59 32 42 0 0 17 30 3 8 16 60 56 0 0 23 37 50 39 44 18 38 0 0 6 29 11 57 15 45 0 0 10 34 4 43 12 22 25 0 0 1 28 35 26 21 7 36 40 49 55 53 0]
mid_small,A-n65-k9.vrp,65,9,100,1181.687448797443,1738.5437214142519,1.471238,300.2020271999063,Timeout, [0 60 16 41 42 61 32 57 48 54 7 39 0 0 24 52 8 10 30 49 0 0 47 26 31 51 44 56 0 0 53 58 2 38 50 5 0 0 43 27 3 4 28 23 0 0 15 22 9 34 6 64 0 0 62 18 25 19 1 33 46 17 0 0 20 40 59 13 12 11 63 0 0 29 21 55 45 37 35 36 14 0]
mid_small,A-n69-k9.vrp,69,9,100,1165.9945611875808,1618.0288420731963,1.387681,300.19226930011064,Timeout, [0 52 26 54 21 47 4 60 0 0 32 17 10 40 38 22 19 0 0 7 27 65 28 50 16 37 0 0 29 39 8 41 20 59 68 12 0 0 24 44 13 66 58 14 25 11 63 0 0 53 2 33 49 9 30 15 3 51 6 18 31 0 0 46 5 45 35 23 0 0 62 56 48 36 1 43 0 0 42 57 34 55 67 61 64 0]
mid_small,A-n80-k10.vrp,80,10,100,1766.4999433704204,2283.69022094808,1.292777,300.2510285000317,Timeout, [0 78 8 68 61 57 55 15 33 64 36 0 0 3 39 60 74 13 0 0 73 32 4 54 47 19 43 16 30 6 21 0 0 62 23 11 79 28 52 0 0 10 71 63 5 26 35 65 59 27 29 0 0 50 45 22 72 76 42 0 0 70 66 67 2 37 48 18 14 0 0 40 1 51 53 58 38 49 0 0 77 25 41 46 75 20 24 34 7 0 0 9 56 69 17 31 44 12 0]
mid_small,B-n51-k7.vrp,51,7,100,1035.7099814133153,1091.7132186356105,1.054072,300.08151389996056,Timeout, [0 20 1 9 49 44 40 36 5 0 0 11 42 26 28 7 6 0 0 15 21 35 3 19 33 48 0 0 17 10 34 38 2 16 39 43 0 0 8 12 37 32 31 27 41 0 0 4 14 13 29 18 0 0 23 50 45 47 25 30 24 22 46 0]
mid_small,B-n52-k7.vrp,52,7,100,750.0765897402907,766.3822711213153,1.021739,300.10740440001246,Timeout, [0 40 42 20 30 18 1 36 0 0 4 45 23 12 50 22 0 0 51 5 8 27 29 10 44 0 0 16 9 38 48 2 43 7 33 35 0 0 46 13 32 34 19 15 49 17 26 0 0 3 31 24 39 14 21 11 28 0 0 41 25 6 47 37 0]
mid_small,B-n56-k7.vrp,56,7,100,712.9160674221106,856.3182903869952,1.201149,300.0950032999972,Timeout, [0 23 50 22 38 9 12 40 42 52 1 0 0 13 48 0 0 3 11 55 20 31 2 33 49 32 36 0 0 19 28 5 14 44 51 17 10 43 54 34 30 0 0 46 8 18 41 45 0 0 25 53 6 24 15 7 37 29 0 0 47 39 4 26 21 35 16 27 0]
mid_small,B-n57-k7.vrp,57,7,100,1160.98588257624,1411.749194323453,1.215992,300.1252637000289,Timeout, [0 7 15 11 31 6 1 0 0 45 44 21 10 3 17 25 40 0 0 16 27 19 36 34 41 23 46 0 0 55 49 48 24 33 13 5 56 26 18 0 0 53 12 38 51 9 8 28 35 54 0 0 4 29 50 37 39 14 0 0 52 43 47 20 32 22 42 30 2 0]
mid_small,B-n57-k9.vrp,57,9,100,1603.630575253598,1701.0877653226216,1.060773,300.1131680000108,Timeout, [0 1 54 43 18 28 9 55 50 0 0 5 47 36 21 41 51 25 15 8 0 0 32 40 3 46 10 30 0 0 37 11 20 42 33 38 0 0 53 2 16 13 44 34 0 0 17 31 27 24 52 45 0 0 6 22 56 0 0 4 35 48 12 0 0 29 7 23 26 39 19 14 49 0]
mid_small,B-n63-k10.vrp,63,10,100,1501.2706799308946,1665.815034128283,1.109603,300.21372330002487,Timeout, [0 1 18 50 27 36 7 0 0 28 13 55 5 29 0 0 10 20 45 0 0 40 49 46 59 8 30 31 0 0 52 25 33 51 21 2 62 0 0 57 24 17 43 42 22 0 0 61 26 6 35 19 39 34 0 0 38 53 23 11 12 54 41 14 58 37 0 0 44 16 3 56 4 0 0 15 47 9 60 32 48 0]
mid_small,B-n64-k9.vrp,64,9,100,869.3156645744783,1148.9905667198288,1.321718,300.1827836999437,Timeout, [0 32 37 9 12 47 33 1 0 0 3 44 45 6 53 58 25 0 0 43 27 38 16 13 29 35 0 0 57 20 2 63 42 39 23 7 0 0 31 10 19 59 14 15 0 0 30 8 54 41 49 52 0 0 61 11 28 56 17 46 26 62 0 0 48 60 36 22 55 51 4 5 24 0 0 18 50 40 34 21 0]
mid_small,B-n66-k9.vrp,66,9,100,1325.355013237209,1595.6469573012473,1.203939,300.2637924000155,Timeout, [0 14 6 36 2 28 50 1 0 0 32 58 5 27 42 17 53 0 0 48 10 26 46 63 24 49 0 0 23 51 34 43 55 0 0 7 37 64 44 59 25 16 0 0 33 65 8 40 4 15 60 21 3 29 39 0 0 52 20 54 12 9 0 0 47 61 30 35 19 38 57 11 0 0 41 18 31 45 13 56 22 62 0]
