Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1596.599616935486,2.026634731651247,0.43528622400000927,10000,5
small,A-n33-k5.vrp,33,5,100,662.7628798187153,1267.1318395275139,1.9118931945526443,0.46611310299999786,10000,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,1269.517996510171,1.709028737969133,0.41487190399999463,10000,6
small,A-n34-k5.vrp,34,5,100,781.3034826995502,1440.4077473901887,1.843595708050999,0.4099078289999909,10000,5
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1575.6411806630504,1.9643170533087202,0.42502822400001605,10000,5
small,A-n37-k5.vrp,37,5,100,672.593526946931,1484.4702962599924,2.2070838281753495,0.421552480999992,10000,5
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1661.1719913648449,1.7445299451503526,0.4556203200000084,10000,6
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1563.01894977396,2.1289180417503957,0.45419382699998323,10000,5
small,A-n39-k5.vrp,39,5,100,828.989115424054,1667.1643415587703,2.0110810993048602,0.4614326960000028,10000,5
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1785.0146086254595,2.142348466581626,0.4807828710000024,10000,6
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1941.8351500232925,2.067245208111269,0.5419274410000128,10000,6
small,A-n45-k6.vrp,45,6,100,944.8763669421223,2054.928124793848,2.174811643817652,0.5562131309999927,10000,6
small,A-n45-k7.vrp,45,7,100,1147.22098351604,2079.362897008495,1.8125216735799206,0.5656443500000137,10000,7
small,A-n46-k7.vrp,46,7,100,918.461372792691,1982.4502342118606,2.158447042997557,0.5673251919999984,10000,7
small,A-n48-k7.vrp,48,7,100,1074.337824689917,2239.565706054118,2.084601002203862,0.5958764330000008,10000,7
small,B-n31-k5.vrp,31,5,100,676.7582609500149,961.8185627605523,1.4212143659840626,0.36700888100000384,10000,5
small,B-n34-k5.vrp,34,5,100,791.2402758558225,1360.4104099610604,1.7193391836501388,0.42158726299999216,10000,5
