Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_Truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1656.674223102526,2.1028900946470612,0.03921030699999051,1000,5
small,A-n33-k5.vrp,33,5,100,662.7628798187153,1435.516782715931,2.1659583335575254,0.04008949199999279,1000,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,1389.9498802293772,1.8711544823931356,0.045774055999999064,1000,6
small,A-n34-k5.vrp,34,5,100,781.3034826995502,1530.7629040039435,1.9592423915926631,0.04411857900001337,1000,5
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1658.5261220882878,2.0676478788178474,0.04771292300000596,1000,5
small,A-n37-k5.vrp,37,5,100,672.593526946931,1516.8584918502618,2.255238016838579,0.053942806000009114,1000,5
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1824.4651129206507,1.9160171492881533,0.05190681799999197,1000,6
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1605.5261250192118,2.1868151595662413,0.05066955299997744,1000,5
small,A-n39-k5.vrp,39,5,100,828.989115424054,1721.6361230738298,2.0767897805186,0.04956869400001551,1000,5
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1795.2928742361307,2.1546842908733366,0.050833060000002206,1000,6
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1950.4550602577256,2.076421820310439,0.05727944800000273,1000,6
small,A-n45-k6.vrp,45,6,100,944.8763669421223,2332.2099257748373,2.4682699317821917,0.05906752300001017,1000,6
small,A-n45-k7.vrp,45,7,100,1147.22098351604,2007.5233540542038,1.7499011811146283,0.059232511000004706,1000,7
small,A-n46-k7.vrp,46,7,100,918.461372792691,2081.099135207915,2.2658537384975546,0.05921555000000467,1000,7
small,A-n48-k7.vrp,48,7,100,1074.337824689917,2411.214061354541,2.244372306309222,0.06150522300001171,1000,7
small,B-n31-k5.vrp,31,5,100,676.7582609500149,1105.165151820865,1.6330279445269928,0.03849933900002611,1000,5
small,B-n34-k5.vrp,34,5,100,791.2402758558225,1387.8434441524187,1.754010111089577,0.041036163000001125,1000,5
small,B-n35-k5.vrp,35,5,100,956.29409898826,1873.756369739338,1.9593934248070073,0.04251412599998616,1000,5
small,B-n38-k6.vrp,38,6,100,809.452489572368,1584.1053029348295,1.9570083770719007,0.047396208999998635,1000,6
small,B-n39-k5.vrp,39,5,100,553.2673599367333,1612.647105199041,2.9147700044756824,0.047151471000006495,1000,5
small,B-n41-k6.vrp,41,6,100,834.9577391350781,1908.6645635850632,2.2859415203004456,0.05158582500001785,1000,6
small,B-n43-k6.vrp,43,6,100,747.5357650288681,1640.6283616664982,2.194715541942185,0.054098607000014454,1000,6
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1934.7163380272164,2.1125045481960165,0.058233380999979545,1000,7
small,B-n45-k5.vrp,45,5,100,755.4335679475657,2024.1745012971871,2.679487101422642,0.05587794499999177,1000,5
small,B-n45-k6.vrp,45,6,100,680.4379297045854,1446.2381246715845,2.12545195018666,0.05803414799999018,1000,6
small,B-n50-k7.vrp,50,7,100,744.7824415526958,2128.987900462104,2.8585366432963513,0.06580951199998708,1000,7
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,2276.2439113664664,1.7210869225048109,0.06832044000000792,1000,8
small,E-n13-k4.vrp,13,4,6000,290.0,316.0,1.089655172413793,0.01879933600000072,1000,4
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,632.2043303664842,1.6846213199250704,0.030168694000025198,1000,4
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,1027.5816291240783,1.807332750910039,0.029285901999998032,1000,3
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,1246.6625597320296,2.3267452499641568,0.038271951000012905,1000,3
small,E-n31-k7.vrp,31,7,140,1252.0,1542.0,1.23162939,0.043765246999981855,1000,7
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,1382.5798569467008,1.6484383274875476,0.04314523699997608,1000,4
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,1969.6615489917815,2.7183899975064243,0.05425340600001505,1000,4
small,P-n16-k8.vrp,16,8,35,451.3350802086181,456.9528158996759,1.0124469289833646,0.02596438899999498,1000,8
small,P-n19-k2.vrp,19,2,160,212.6569041858923,342.44287396551243,1.610306870950067,0.021660507999996526,1000,2
small,P-n20-k2.vrp,20,2,160,217.41558334616656,331.24969149028425,1.5235784224485527,0.02237681799999791,1000,2
small,P-n21-k2.vrp,21,2,160,212.71153970290385,382.9715112284804,1.8004265859923734,0.023517471999980444,1000,2
small,P-n22-k2.vrp,22,2,160,217.8521507402297,398.83204255376467,1.830746408509587,0.024202352999992627,1000,2
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,724.5572855691119,1.2047368238742948,0.035369732000020804,1000,8
small,P-n23-k8.vrp,23,8,40,531.1738035458812,645.8558457786248,1.2159030461727913,0.035090189000015926,1000,8
small,P-n40-k5.vrp,40,5,140,461.7261717631887,1020.1022617602687,2.2093230233512977,0.04787278099999526,1000,5
small,P-n45-k5.vrp,45,5,150,512.7913045095214,1288.462492943074,2.5126449719647113,0.05380407499998796,1000,5
small,P-n50-k10.vrp,50,10,100,699.5615304783074,1417.1016622711752,2.025699814142536,0.07106798999998887,1000,10
small,P-n50-k7.vrp,50,7,150,559.8625135512013,1396.9515889393313,2.495169001543761,0.064066041999979,1000,7
small,P-n50-k8.vrp,50,8,120,634.8499103018386,1532.7794785257593,2.4143966213951282,0.07350726199999258,1000,8
mid_small,A-n53-k7.vrp,53,7,100,1013.3082739074634,2532.103602791968,2.498848245882578,0.06955122300001904,1000,7
mid_small,A-n54-k7.vrp,54,7,100,1171.784337211776,2648.727952700344,2.2604227318850403,0.07179962800000794,1000,7
mid_small,A-n55-k9.vrp,55,9,100,1074.4636399998485,2645.2914796010837,2.46196463158256,0.07793272099999626,1000,9
mid_small,A-n60-k9.vrp,60,9,100,1355.799248189919,3131.4655810932954,2.309682340710845,0.08319265000000087,1000,9
mid_small,A-n61-k9.vrp,61,9,100,1039.0784353929382,2489.5350516747208,2.39590676399061,0.08865039900001648,1000,9
mid_small,A-n62-k8.vrp,62,8,100,1294.2821609711052,3312.4208732101188,2.5592726015205183,0.082459928999981,1000,8
mid_small,A-n63-k10.vrp,63,10,100,1313.7294196277296,2958.9020914127786,2.252291870156368,0.08800116500000854,1000,10
mid_small,A-n63-k9.vrp,63,9,100,1622.14461148721,3465.5008931553234,2.136369882570514,0.0831007980000038,1000,9
mid_small,A-n64-k9.vrp,64,9,100,1400.8320811963101,3168.3492051946178,2.261762310932263,0.08529047400000422,1000,9
mid_small,A-n65-k9.vrp,65,9,100,1181.687448797443,3237.4873170681594,2.739715413210848,0.08683949200002417,1000,9
mid_small,A-n69-k9.vrp,69,9,100,1165.9945611875808,3297.6213009975663,2.8281618206168093,0.0910411790000012,1000,9
mid_small,A-n80-k10.vrp,80,10,100,1766.4999433704204,4389.60939141311,2.4849190671571084,0.1142533019999803,1000,10
mid_small,B-n51-k7.vrp,51,7,100,1035.7099814133153,2966.3087906269125,2.864034183178508,0.06822068300002115,1000,7
mid_small,B-n52-k7.vrp,52,7,100,750.0765897402907,2390.6067491369117,3.1871501948416285,0.06840761299997666,1000,7
mid_small,B-n56-k7.vrp,56,7,100,712.9160674221106,2308.452278922547,3.238042154485116,0.0722341809999989,1000,7
mid_small,B-n57-k7.vrp,57,7,100,1160.98588257624,3061.0495856858315,2.6365950108655323,0.07622092799999791,1000,7
mid_small,B-n57-k9.vrp,57,9,100,1603.630575253598,3039.0071007036768,1.8950792954437705,0.07817134699999428,1000,9
mid_small,B-n63-k10.vrp,63,10,100,1501.2706799308946,3563.3465595898715,2.373553688368774,0.08873943599999734,1000,10
mid_small,B-n64-k9.vrp,64,9,100,869.3156645744783,2630.075370256076,3.0254549382168014,0.08580513700002257,1000,9
mid_small,B-n66-k9.vrp,66,9,100,1325.355013237209,3193.408560765357,2.4094740872224008,0.08876845000000344,1000,9
mid_small,B-n67-k10.vrp,67,10,100,1039.3588576261575,2906.629330401549,2.7965599264147722,0.0913556890000109,1000,10
mid_small,B-n68-k9.vrp,68,9,100,1278.2107324742128,3397.675137552608,2.6581494359508158,0.09017579299998602,1000,9
mid_small,B-n78-k10.vrp,78,10,100,1229.2734318106839,3538.835025921242,2.878802172360173,0.10643625899999165,1000,10
mid_small,CMT1.vrp,51,None,160,524.6111466425073,1374.1921975529906,2.619449103107648,0.06430710199998657,1000,5
