Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,Used_truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1347.0524681853456,1.709873463843671,300,5
small,B-n38-k6.vrp,38,6,100,809.452489572368,1321.2681518253728,1.6322985831118957,300,6
small,B-n39-k5.vrp,39,5,100,553.2673599367333,1311.432207466422,2.3703408197013203,300,5
small,B-n41-k6.vrp,41,6,100,834.9577391350781,1514.0734049574357,1.8133533399257364,300,6
small,B-n43-k6.vrp,43,6,100,747.5357650288681,1358.6605182733895,1.8175190831450334,300,6
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1598.1991859096418,1.7450635955242526,300,7
small,B-n45-k5.vrp,45,5,100,755.4335679475657,1686.2682840082543,2.2321860657975123,300,5
small,B-n45-k6.vrp,45,6,100,680.4379297045854,1251.1359346425115,1.8387216232723782,300,6
small,B-n50-k7.vrp,50,7,100,744.7824415526958,1805.5432519308301,2.424255931929193,300,7
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,2008.3099087244705,1.5184997982784445,300,8
small,E-n13-k4.vrp,13,4,6000,290.0,290.0,1.0,300,4
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,488.28247938157403,1.3011158503695075,300,4
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,869.4452731888387,1.5291991145244324,300,3
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,903.8061056314826,1.6868450461997346,300,3
small,E-n31-k7.vrp,31,7,140,1254.0,1382.0,1.10207337,300,7
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,1186.3486120878565,1.4144734657469191,300,4
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,1739.439636525001,2.400653712114224,300,4
small,P-n16-k8.vrp,16,8,35,451.3350802086181,451.33508020861797,1.0,300,8
small,P-n19-k2.vrp,19,2,160,212.6569041858923,272.212546920498,1.2800550631666567,300,2
small,P-n20-k2.vrp,20,2,160,217.41558334616656,287.19312291525415,1.3209408382562375,300,2
small,P-n21-k2.vrp,21,2,160,212.71153970290385,306.7433343703116,1.4420624983427923,300,2
small,P-n22-k2.vrp,22,2,160,217.8521507402297,311.12517911801376,1.4281483017764847,300,2
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,630.1434780694036,1.0477529761613618,300,8
small,P-n23-k8.vrp,23,8,40,531.1738035458812,548.1428036852259,1.0319462293246902,300,8
small,P-n40-k5.vrp,40,5,140,461.7261717631887,927.6342191627656,2.0090570469948,300,5
small,P-n45-k5.vrp,45,5,150,512.7913045095214,1089.4063867889913,2.124463455617671,300,5
small,P-n50-k10.vrp,50,10,100,699.5615304783074,1264.4674407394082,1.8075142580737118,300,10
small,P-n50-k7.vrp,50,7,150,559.8625135512013,1174.635058340346,2.098077706416973,300,7
small,P-n50-k8.vrp,50,8,120,634.8499103018386,1233.2033346303117,1.9425116308892392,300,8
mid_small,A-n53-k7.vrp,53,7,100,1013.3082739074634,2230.289294622811,2.200997812859548,300,7
mid_small,A-n54-k7.vrp,54,7,100,1171.784337211776,2351.989557270687,2.0071863760076982,300,7
mid_small,A-n55-k9.vrp,55,9,100,1074.4636399998485,2274.4307551980587,2.116805697769707,300,9
mid_small,A-n60-k9.vrp,60,9,100,1355.799248189919,2726.2261494428426,2.0107889520388316,300,9
mid_small,A-n61-k9.vrp,61,9,100,1039.0784353929382,2303.588260259773,2.2169531979447226,300,9
mid_small,A-n62-k8.vrp,62,8,100,1294.2821609711052,2865.5180799677787,2.2139825197140697,300,8
mid_small,A-n63-k10.vrp,63,10,100,1313.7294196277296,2737.1731508830053,2.083513629205804,300,10
mid_small,A-n63-k9.vrp,63,9,100,1622.14461148721,3110.8326059073247,1.9177282862933285,300,9
mid_small,A-n64-k9.vrp,64,9,100,1400.8320811963101,2703.440115476421,1.9298816408942348,300,9
mid_small,A-n65-k9.vrp,65,9,100,1181.687448797443,2832.2638523882065,2.3967960861990116,300,9
mid_small,A-n69-k9.vrp,69,9,100,1165.9945611875808,2959.4020188744585,2.538092472627204,300,9
mid_small,A-n80-k10.vrp,80,10,100,1766.4999433704204,3970.834571783129,2.247854344227668,300,10
mid_small,B-n51-k7.vrp,51,7,100,1035.7099814133153,2217.5580911052884,2.1410994688679543,300,7
mid_small,B-n52-k7.vrp,52,7,100,750.0765897402907,1982.3462592890473,2.6428584579281726,300,7
mid_small,B-n56-k7.vrp,56,7,100,712.9160674221106,1987.3867645021671,2.7876868755231112,300,7
mid_small,B-n57-k7.vrp,57,7,100,1160.98588257624,2657.385050674589,2.288903845047472,300,7
mid_small,B-n57-k9.vrp,57,9,100,1603.630575253598,2689.0423340947787,1.6768465104062598,300,9
mid_small,B-n63-k10.vrp,63,10,100,1501.2706799308946,3052.9617106403703,2.0335851165633247,300,10
mid_small,B-n64-k9.vrp,64,9,100,869.3156645744783,2289.5332057488868,2.633719026413255,300,9
mid_small,B-n66-k9.vrp,66,9,100,1325.355013237209,2760.4979632675277,2.0828366254298536,300,9
mid_small,B-n67-k10.vrp,67,10,100,1039.3588576261575,2613.971475735614,2.5149845566388795,300,10
mid_small,B-n68-k9.vrp,68,9,100,1278.2107324742128,2892.0822683456213,2.2626020849844237,300,9
mid_small,B-n78-k10.vrp,78,10,100,1229.2734318106839,3367.8865936366205,2.7397375608092513,300,10
mid_small,CMT1.vrp,51,None,160,524.6111466425073,1266.793067056105,2.41472769910349,300,5
mid_small,CMT2.vrp,76,None,140,835.2621066076043,2127.445321669961,2.547039192655974,300,10
mid_small,CMT6.vrp,51,None,160,555.4302364990572,1214.3636066501238,2.186347675820463,300,5
mid_small,CMT7.vrp,76,None,140,909.675053283213,2107.4997595168375,2.3167610806852594,300,10
mid_small,E-n51-k5.vrp,51,5,160,524.9442369496244,1212.1026550489246,2.309012214501638,300,5
mid_small,E-n76-k10.vrp,76,10,140,837.3556148786039,2131.2559945115763,2.545222073683182,300,10
mid_small,E-n76-k14.vrp,76,14,100,1026.7063423619143,2100.3472937385477,2.045713761645562,300,14
mid_small,E-n76-k7.vrp,76,7,220,687.6027698154307,2023.0572693132895,2.9421889470519833,300,7
mid_small,E-n76-k8.vrp,76,8,180,740.6554097159442,2067.6488304422096,2.7916475101899185,300,8
mid_small,F-n72-k4.vrp,72,4,30000,248.8087975379043,968.437237946991,3.892294997324025,300,4
mid_small,P-n51-k10.vrp,51,10,80,742.4815823234725,1325.7680338044647,1.785590464959002,300,10
mid_small,P-n55-k10.vrp,55,10,115,697.8097119224453,1383.2915299539568,1.9823334446621976,300,10
mid_small,P-n55-k15.vrp,55,15,70,991.4834084933393,1724.253733037226,1.7390646361469693,300,15
mid_small,P-n55-k7.vrp,55,7,170,570.2697069066196,1345.6872171954365,2.3597382096534716,300,7
mid_small,P-n60-k10.vrp,60,10,120,748.9404104021116,1557.9730672361356,2.0802363520478866,300,10
mid_small,P-n60-k15.vrp,60,15,80,971.581660632717,1673.934080695104,1.7228959216922626,300,15
mid_small,P-n65-k10.vrp,65,10,130,796.6684835175466,1768.455051649994,2.21981299403448,300,10
mid_small,P-n70-k10.vrp,70,10,135,830.0199899119715,1967.654966445551,2.37061153991512,300,10
mid_small,P-n76-k4.vrp,76,4,350,598.2184952221475,1982.633173368029,3.314229147381646,300,4
mid_small,P-n76-k5.vrp,76,5,280,635.035240151242,2006.4091288008221,3.159524073534832,300,5
mid_small,tai75a.vrp,76,None,1445,None,4196.685210538412,None,300,10
mid_small,tai75b.vrp,76,None,1679,None,3764.496641361005,None,300,10
mid_small,tai75c.vrp,76,None,1122,None,3483.9787176715936,None,300,9
mid_small,tai75d.vrp,76,None,1699,None,4288.833893164286,None,300,9
mid,CMT10.vrp,200,None,200,1395.853467656216,5912.7718739277825,4.235954568967719,300,16
mid,CMT11.vrp,121,None,200,1042.1150274399192,5328.085806124462,5.112761706558962,300,7
mid,CMT12.vrp,101,None,200,819.5575441874688,3324.1835711929566,4.0560709797243595,300,10
mid,CMT13.vrp,121,None,200,1541.1416027574185,5337.99346216951,3.4636619066143854,300,7
mid,CMT14.vrp,101,None,200,866.3652093737874,3296.1747682530727,3.8046019537598497,300,10
mid,CMT3.vrp,101,None,200,826.1369729550208,2852.631309438212,3.4529762047019825,300,8
mid,CMT4.vrp,151,None,200,1028.4242880993547,4406.501580023638,4.284711700233524,300,12
mid,CMT5.vrp,200,None,200,1291.2891464211025,5838.994800178375,4.521833716609138,300,16
mid,CMT8.vrp,101,None,200,865.9445056375685,2872.74212492474,3.3174667732427356,300,8
mid,CMT9.vrp,151,None,200,1162.5470444474113,4426.337520742971,3.8074480872702434,300,12
mid,E-n101-k14.vrp,101,14,112,1082.650162207119,2980.570928449565,2.753032357537633,300,14
mid,E-n101-k8.vrp,101,8,200,826.9079628529653,2778.211585948132,3.3597591397751883,300,8
mid,F-n135-k7.vrp,135,7,2210,1170.6531100619734,5020.54622090165,4.288671150957661,300,7
mid,Golden_1.vrp,241,None,550,5623.468314507381,31896.297359063625,5.671997346686883,300,9
mid,Golden_17.vrp,241,None,200,707.7560011421995,3109.7277117364956,4.393785014493578,300,22
mid,Golden_5.vrp,201,None,900,6460.97951921498,41135.819402776244,6.366808512616105,300,5
mid,M-n101-k10.vrp,101,10,200,819.8108473050876,3289.335124165774,4.012309833394615,300,10
mid,M-n121-k7.vrp,121,7,200,1045.160491205303,5190.827139564143,4.966535937057822,300,7
mid,M-n151-k12.vrp,151,12,200,1030.7562527704383,4386.610150099612,4.25572014558185,300,12
mid,M-n200-k16.vrp,200,16,200,1294.6662430341767,5985.760470618299,4.623400434532135,300,16
mid,M-n200-k17.vrp,200,17,200,1294.8940205956042,5924.380373517336,4.575185520427638,300,16
mid,ORTEC-n242-k12.vrp,242,12,125,123750.0,450321.0,3.638957575757576,300,12
mid,P-n101-k4.vrp,101,4,400,692.2768742727131,2814.2673970261585,4.06523387045501,300,4
mid,tai100a.vrp,101,None,1409,None,6523.598384844375,None,300,11
mid,tai100b.vrp,101,None,1842,None,6415.766299586659,None,300,11
mid,tai100c.vrp,101,None,2043,None,5154.387085214677,None,300,11
mid,tai100d.vrp,101,None,1297,None,5060.268684812403,None,300,11
mid,tai150a.vrp,151,None,1544,None,12700.196431848228,None,300,15
mid,tai150b.vrp,151,None,1918,None,12471.337694238135,None,300,14
mid,tai150c.vrp,151,None,2021,None,10877.632406661673,None,300,14
mid,tai150d.vrp,151,None,1874,None,11329.782018559463,None,300,14
mid,X-n101-k25.vrp,101,25,206,27598.4007834456,inf,inf,300,0
mid,X-n106-k14.vrp,106,14,600,26362.240374476234,46312.19645782183,1.7567625436971976,300,14
mid,X-n110-k13.vrp,110,13,66,14979.427094468716,48401.250271128774,3.2311816710935064,300,13
mid,X-n115-k10.vrp,115,10,169,12751.640005756142,48896.65693170903,3.8345386875442595,300,10
mid,X-n120-k6.vrp,120,6,21,13329.4178091839,53929.440697108206,4.045896187600264,300,6
mid,X-n125-k30.vrp,125,30,188,55546.20080627722,81961.84745896321,1.4755617174397422,300,30
mid,X-n129-k18.vrp,129,18,39,28946.534546376366,65076.120039312744,2.2481489082933837,300,18
mid,X-n134-k13.vrp,134,13,643,10919.846711469087,33628.886465785734,3.0796115874470473,300,13
mid,X-n139-k10.vrp,139,10,106,13595.955750386658,60248.151757041545,4.431328908622561,300,10
mid,X-n143-k7.vrp,143,7,1190,15697.056595993054,68495.5667676109,4.363593030880425,300,7
mid,X-n148-k46.vrp,148,46,18,43452.94926360666,77840.92823656986,1.791384234113755,300,46
mid,X-n153-k22.vrp,153,22,144,21226.867128671347,60474.0648804007,2.848939719357727,300,22
mid,X-n157-k13.vrp,157,13,12,16886.34634255687,56642.13739034887,3.3543157436964144,300,13
mid,X-n162-k11.vrp,162,11,1174,14138.581489418759,69745.24167731525,4.9329730658986,300,11
mid,X-n167-k10.vrp,167,10,133,20558.33328675831,80941.07588291405,3.937141924586293,300,10
mid,X-n172-k51.vrp,172,51,161,45612.13671476604,91921.04348534788,2.0152759792897452,300,51
mid,X-n176-k26.vrp,176,26,142,47815.81734293499,102803.49377023637,2.149989260518749,300,26
mid,X-n181-k23.vrp,181,23,8,25575.6800061908,66517.29597468776,2.6008026358863856,300,23
mid,X-n186-k15.vrp,186,15,974,24154.291268175097,94040.41483795307,3.8933212237056045,300,15
mid,X-n190-k8.vrp,190,8,138,16985.85965815717,53169.49519237264,3.13022103457913,300,8
mid,X-n195-k51.vrp,195,51,181,44229.3103670945,inf,inf,300,0
mid,X-n200-k36.vrp,200,36,402,58581.48464689695,114249.22964976063,1.950261765102131,300,36
mid,X-n204-k19.vrp,204,19,836,19568.426556886145,83598.37940622632,4.272105330656132,300,19
mid,X-n209-k16.vrp,209,16,101,30660.39401012465,110378.22895055322,3.6000264352148967,300,16
mid,X-n214-k11.vrp,214,11,944,10868.369072249128,46905.48584304063,4.315779629052834,300,11
mid,X-n219-k73.vrp,219,73,3,117601.29001838483,175142.24327136073,1.4892884529071102,300,73
mid,X-n223-k34.vrp,223,34,37,40437.947509756355,124182.10896265533,3.0709300696504007,300,34
mid,X-n228-k23.vrp,228,23,154,25746.626508506168,104645.28691875495,4.064427115691536,300,23
mid,X-n233-k16.vrp,233,16,631,19239.224070740955,106593.41211197615,5.540421574177911,300,16
mid,X-n237-k14.vrp,237,14,18,27050.769538670516,119222.70958579492,4.407368500750402,300,14
mid,X-n242-k48.vrp,242,48,28,82757.21927576141,162806.25675466197,1.9672755824741197,300,48
