Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1037.985653267749,1.3175612430033108,0.03544564000000605,1000
small,A-n33-k5.vrp,33,5,100,662.7628798187153,1062.3628633837104,1.6029305438383894,0.03644543499999031,1000
small,A-n33-k6.vrp,33,6,100,742.830104787331,1023.9310317040008,1.3784188673898021,0.03789887800002134,1000
small,A-n34-k5.vrp,34,5,100,781.3034826995502,1120.4901664061022,1.4341292355879414,0.03769482600000629,1000
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1179.8569109056862,1.470901547255134,0.03939887600000702,1000
small,A-n37-k5.vrp,37,5,100,672.593526946931,1225.1049559506896,1.8214640891828757,0.048104086999984474,1000
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1187.7263040448574,1.2473266554094733,0.042054881000012756,1000
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1186.1713703108674,1.6156308477435877,0.04239709899999866,1000
small,A-n39-k5.vrp,39,5,100,828.989115424054,1318.2483320992042,1.5901877450162643,0.056877315000008366,1000
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1388.8875735591714,1.6669225837653052,0.04412785799999597,1000
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1472.155183567234,1.5672317749470264,0.05421128100002193,1000
small,A-n45-k6.vrp,45,6,100,944.8763669421223,1720.918379193846,1.8213159302133963,0.05150597299999049,1000
small,A-n45-k7.vrp,45,7,100,1147.22098351604,1425.2641197465045,1.2423623174833405,0.05194270800001277,1000
small,A-n46-k7.vrp,46,7,100,918.461372792691,1583.9450030991302,1.724563547275763,0.05268978200001584,1000
small,A-n48-k7.vrp,48,7,100,1074.337824689917,1672.3841962269646,1.5566650989968263,0.055197111000012455,1000
small,B-n31-k5.vrp,31,5,100,676.7582609500149,510.6204804194804,0.7545094162614066,0.04465375899999913,1000
small,B-n34-k5.vrp,34,5,100,791.2402758558225,849.3419592400669,1.0734311500023181,0.07266155399997842,1000
small,B-n35-k5.vrp,35,5,100,956.29409898826,1068.9304602922869,1.1177842270732339,0.03824546300000975,1000
small,B-n38-k6.vrp,38,6,100,809.452489572368,1036.2470658504444,1.2801826903984093,0.043060184000012214,1000
small,B-n39-k5.vrp,39,5,100,553.2673599367333,1215.6303996998377,2.197184377258124,0.04268733099999622,1000
small,B-n41-k6.vrp,41,6,100,834.9577391350781,1367.7143159185944,1.6380641220660963,0.047419137999980876,1000
small,B-n43-k6.vrp,43,6,100,747.5357650288681,1142.272132601806,1.5280501429355613,0.04833354499999132,1000
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1229.7260883590357,1.3427301478947946,0.05070074099998578,1000
small,B-n45-k5.vrp,45,5,100,755.4335679475657,1601.9510977095008,2.1205717692183508,0.04956681600000934,1000
small,B-n45-k6.vrp,45,6,100,680.4379297045854,994.4654695724157,1.4615079879573536,0.05117432499997676,1000
small,B-n50-k7.vrp,50,7,100,744.7824415526958,1767.557281986617,2.3732531587367673,0.056454194999986385,1000
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,1343.696014689625,1.0159797142810778,0.05866408800000045,1000
small,E-n13-k4.vrp,13,4,6000,290.0,111.0,0.38275862068965516,0.015943886000002294,1000
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,416.1648092656519,1.108945441555354,0.026094934000013836,1000
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,810.0376057661176,1.4247116266741697,0.031517511000004106,1000
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,1014.0025134360405,1.8925133454686893,0.03371313799999598,1000
small,E-n31-k7.vrp,31,7,140,1263.0,563.0,0.44576405384006335,0.036007027000010794,1000
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,792.3193999353366,0.9446757522923278,0.03831470299999751,1000
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,1650.5119125007836,2.2779218470320304,0.05010440899999935,1000
small,P-n16-k8.vrp,16,8,35,451.94709212981854,98.49551820841626,0.21793594852940026,0.020390160999994578,1000
small,P-n19-k2.vrp,19,2,160,212.6569041858923,242.04140247723882,1.1381779651304447,0.020425937999988264,1000
small,P-n20-k2.vrp,20,2,160,217.41558334616656,283.8786808660742,1.3056961074132662,0.021118189999981496,1000
small,P-n21-k2.vrp,21,2,160,212.71153970290385,270.76565772126696,1.2729241586960813,0.022160785000011174,1000
small,P-n22-k2.vrp,22,2,160,217.8521507402297,305.523327048601,1.4024342932143543,0.023123591000000943,1000
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,359.6280431105733,0.5979612034303861,0.02912562900002058,1000
small,P-n23-k8.vrp,23,8,40,531.1738035458812,216.0503725178625,0.4067413925076987,0.02857986100002563,1000
small,P-n40-k5.vrp,40,5,140,461.7261717631887,853.346911131638,1.848166647935445,0.0508945830000016,1000
small,P-n45-k5.vrp,45,5,150,512.7913045095214,987.2844458121642,1.925314327934031,0.049443204999988666,1000
small,P-n50-k10.vrp,50,10,100,699.5615304783074,1008.0049858109869,1.440909686845972,0.06192143600000577,1000
small,P-n50-k7.vrp,50,7,150,559.8625135512013,1082.055473534411,1.932716421163735,0.05714740899998105,1000
small,P-n50-k8.vrp,50,8,120,634.8499103018386,1051.8347420252903,1.6568242744575594,0.059512411000014254,1000
mid_small,A-n53-k7.vrp,53,7,100,1013.3082739074634,1976.880961881963,1.9509176158789503,0.060876449999994975,1000
mid_small,A-n54-k7.vrp,54,7,100,1171.784337211776,1985.5535582303623,1.6944701300197653,0.062415157000003774,1000
mid_small,A-n55-k9.vrp,55,9,100,1074.4636399998485,1994.4089946013514,1.8561903077535808,0.06536124900000573,1000
mid_small,A-n60-k9.vrp,60,9,100,1355.799248189919,2219.5124010461836,1.6370509159150062,0.07000847200001203,1000
mid_small,A-n61-k9.vrp,61,9,100,1039.0784353929382,2056.6601843368653,1.9793117769392625,0.07249566799998775,1000
mid_small,A-n62-k8.vrp,62,8,100,1294.2821609711052,2358.0747425491522,1.8219170546087717,0.07212605000000849,1000
mid_small,A-n63-k10.vrp,63,10,100,1313.7294196277296,2323.6687810311228,1.7687575130117577,0.07594302500001504,1000
mid_small,A-n63-k9.vrp,63,9,100,1622.14461148721,2387.7866376170673,1.4719936932305335,0.07451757799998404,1000
mid_small,A-n64-k9.vrp,64,9,100,1400.8320811963101,2053.161017175385,1.4656724704805348,0.07553124699998648,1000
mid_small,A-n65-k9.vrp,65,9,100,1181.687448797443,2482.4391729235685,2.1007578403662066,0.07704473900000153,1000
mid_small,A-n69-k9.vrp,69,9,100,1165.9945611875808,2635.043306034451,2.2599104607748983,0.08121570299999803,1000
mid_small,A-n80-k10.vrp,80,10,100,1766.4999433704204,2924.442411311364,1.6555009935248737,0.09647829400000774,1000
mid_small,B-n51-k7.vrp,51,7,100,1035.7099814133153,2060.8911493935575,1.989834206851318,0.05897274000000152,1000
mid_small,B-n52-k7.vrp,52,7,100,750.0765897402907,1866.8936046203287,2.4889373034115474,0.058713716999989174,1000
mid_small,B-n56-k7.vrp,56,7,100,712.9160674221106,1775.7494000264617,2.490825331581506,0.06431504899998686,1000
mid_small,B-n57-k7.vrp,57,7,100,1160.98588257624,2247.5123826119057,1.9358653850507221,0.06494677700001716,1000
mid_small,B-n57-k9.vrp,57,9,100,1603.630575253598,1716.8282923226352,1.0705884003559463,0.06718947799998887,1000
mid_small,B-n63-k10.vrp,63,10,100,1501.2706799308946,2348.591240481872,1.564402257286461,0.075898852999984,1000
mid_small,B-n64-k9.vrp,64,9,100,869.3156645744783,2004.472150432153,2.305804706065343,0.07609130100001948,1000
mid_small,B-n66-k9.vrp,66,9,100,1325.355013237209,2181.4009131578364,1.6458993185755688,0.07994669800001475,1000
mid_small,B-n67-k10.vrp,67,10,100,1039.3588576261575,2182.5519529721523,2.0999022012060293,0.08010297999999239,1000
mid_small,B-n68-k9.vrp,68,9,100,1278.2107324742128,2240.90138572559,1.75315488189331,0.08242674100000613,1000
mid_small,B-n78-k10.vrp,78,10,100,1229.2734318106839,2800.1246112076437,2.277869625054161,0.09456255300000294,1000
mid_small,CMT1.vrp,51,None,160,524.6111466425073,1237.8368711323135,2.3595321583508575,0.05563909600002148,1000
mid_small,CMT2.vrp,76,None,140,835.2621066076043,1871.1326477450682,2.24017423146924,0.09386081599998874,1000
mid_small,CMT6.vrp,51,None,160,555.4302364990572,1218.9702835217868,2.194641565077734,0.055631833000006736,1000
mid_small,CMT7.vrp,76,None,140,909.675053283213,1834.0045373954817,2.0161095225994874,0.09274342300000171,1000
mid_small,E-n51-k5.vrp,51,5,160,524.9442369496244,1194.2248771643997,2.274955686919946,0.05734548699999209,1000
mid_small,E-n76-k10.vrp,76,10,140,837.3556148786039,1730.4921778333962,2.0666156016452764,0.09439467100000343,1000
mid_small,E-n76-k14.vrp,76,14,100,1026.7063423619143,1673.5152764739491,1.629984356212377,0.10114955299999906,1000
mid_small,E-n76-k7.vrp,76,7,220,687.6027698154307,1953.927350204468,2.841651366135348,0.08577532399999654,1000
mid_small,E-n76-k8.vrp,76,8,180,740.6554097159442,1901.3848252274684,2.5671652434924987,0.08920425499999851,1000
mid_small,F-n72-k4.vrp,72,4,30000,248.8087975379043,978.8956592541567,3.934328966422615,0.08017028599999776,1000
mid_small,P-n51-k10.vrp,51,10,80,742.4815823234725,1067.3457801276763,1.437538392248863,0.06349537200000555,1000
mid_small,P-n55-k10.vrp,55,10,115,697.8097119224453,1156.716929823415,1.657639482598621,0.06778739200001382,1000
mid_small,P-n55-k15.vrp,55,15,70,991.4834084933393,1054.3413346700643,1.0633978598514766,0.07551910399999429,1000
mid_small,P-n55-k7.vrp,55,7,170,570.2697069066196,1237.1141203653574,2.1693491787876646,0.06371537199999011,1000
mid_small,P-n60-k10.vrp,60,10,120,748.9404104021116,1275.4148540955703,1.7029590557288672,0.07428191899998637,1000
mid_small,P-n60-k15.vrp,60,15,80,971.581660632717,1254.560723357436,1.2912560767567764,0.08197753400000352,1000
mid_small,P-n65-k10.vrp,65,10,130,796.6684835175466,1519.5824441206732,1.9074213120760468,0.08017210899998872,1000
mid_small,P-n70-k10.vrp,70,10,135,830.0199899119715,1646.3537357595817,1.9835109464462262,0.08739139600001522,1000
mid_small,P-n76-k4.vrp,76,4,350,598.2184952221475,2008.5077982217383,3.3574819472538744,0.0833348239999907,1000
mid_small,P-n76-k5.vrp,76,5,280,635.035240151242,1989.0822058067474,3.1322390948461716,0.08679617600000711,1000
mid_small,tai75a.vrp,76,None,1445,1618.3567427323092,3743.774048721365,2.31331816395,0.09629622500000323,1000
mid_small,tai75b.vrp,76,None,1679,1344.6186241386285,3515.3921699237458,2.61441579554,0.09578428099999314,1000
mid_small,tai75c.vrp,76,None,1122,1291.0074758851872,3299.8174016707094,2.55600177637,0.09440178299999502,1000
mid_small,tai75d.vrp,76,None,1699,1365.4192743892231,4169.617877224556,3.05372712648,0.09938586399999849,1000
mid,CMT10.vrp,200,None,200,1395.853467656216,5439.6268077724035,3.896989858760824,0.2719197030000089,1000
mid,CMT11.vrp,121,None,200,1042.1150274399192,5175.39912090175,4.96624555315716,0.14289174299997853,1000
