Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
large,Li_21.vrp,561,None,1200,16212.74,168690.42292155186,10.404806523854194,1.0023270000237972,750
large,Li_22.vrp,601,None,900,14597.18,129957.69715994198,8.902931741606391,1.0394589999923483,750
large,Li_23.vrp,641,None,1400,18801.12,221253.89174938452,11.768122949557501,1.1912018000148237,750
large,Li_24.vrp,721,None,1500,21389.33,277165.37325806014,12.958113847327622,1.7474105999572203,750
large,Li_25.vrp,761,None,900,16902.16,166031.36704073608,9.823085750030533,1.5419012000202201,750
large,Li_26.vrp,801,None,1700,23971.74,341021.35985656246,14.225974412227165,1.3570795999839902,750
large,Li_27.vrp,841,None,900,17488.74,186009.78411650253,10.635974010506333,1.9315427000401542,750
large,Li_28.vrp,881,None,1800,26565.92,412452.53376702586,15.525625830651673,1.9068455999949947,750
large,Li_29.vrp,961,None,2000,29154.34,486808.6074292769,16.697637724924554,1.878088099998422,750
large,Loggi-n501-k24.vrp,501,None,120,177078.0,1142407.0,6.451433831418923,1.480660600005649,750
large,Loggi-n601-k19.vrp,601,None,180,113155.0,1032716.0,9.126560912023331,1.4096973999985494,750
large,Loggi-n601-k42.vrp,601,None,80,347059.0,1590772.0,4.583578008350165,2.0191381000331603,750
large,Loggi-n901-k42.vrp,901,None,120,246301.0,1953042.0,7.929492775100385,2.700113099999726,750
large,ORTEC-n510-k23.vrp,510,None,145,184529.0,681922.0,3.6954733402337845,1.2536142999888398,750
large,ORTEC-n701-k64.vrp,701,None,80,445543.0,1601010.0,3.593390536940318,3.2608355000265874,750
large,X-n502-k39.vrp,502,None,13,69226.0,197604.12914384127,2.8544785072637633,1.7178561000037007,750
large,X-n513-k21.vrp,513,None,142,24201.0,198150.50686057514,8.187699138902325,1.3087475000065751,750
large,X-n524-k153.vrp,524,None,125,154593.0,210334.67907975995,1.3605705244077024,3.028428099991288,750
large,X-n536-k96.vrp,536,None,371,94846.0,206506.511450519,2.1772822412175423,2.918973800027743,750
large,X-n548-k50.vrp,548,None,11,86700.0,247416.00669435298,2.8537024993581657,2.1890344999847002,750
large,X-n561-k42.vrp,561,None,74,42717.0,252030.2392965988,5.8999985789404406,1.6800439999788068,750
large,X-n573-k30.vrp,573,None,210,50673.0,108302.83330102204,2.137288759319994,1.3702149000018835,750
large,X-n586-k159.vrp,586,None,28,190316.0,235533.05521750243,1.2375893525373718,4.553761600051075,750
large,X-n599-k92.vrp,599,None,487,108451.0,258778.99107047156,2.386137435989263,3.342592599976342,750
large,X-n613-k62.vrp,613,None,523,59535.0,279159.97623089136,4.689006067538278,2.6568970000371337,750
large,X-n627-k43.vrp,627,None,110,62164.0,255028.6016984597,4.102512735642168,2.236179200001061,750
large,X-n641-k35.vrp,641,None,1381,63682.0,287215.54511188547,4.510152713669255,2.320457900001202,750
large,X-n655-k131.vrp,655,None,5,106780.0,145338.97831188407,1.3611067457565469,4.376525199972093,750
large,X-n670-k130.vrp,670,None,129,146332.0,285915.78886622004,1.9538842417668045,3.8164636000292376,750
large,X-n685-k75.vrp,685,None,408,68205.0,289623.3606073245,4.246365524629052,3.2382243999745697,750
large,X-n701-k44.vrp,701,None,87,81923.0,295582.8298135985,3.608056709515014,2.199740100011695,750
large,X-n716-k35.vrp,716,None,1007,43373.0,239373.79814009808,5.518958756371431,2.222716299991589,750
large,X-n733-k159.vrp,733,None,25,136187.0,307244.1809993182,2.2560463260026156,6.412872500019148,750
large,X-n749-k98.vrp,749,None,396,77269.0,239345.5557380245,3.0975624860943523,4.571801400044933,750
large,X-n766-k71.vrp,766,None,166,114417.0,320750.1657832214,2.8033436096316233,3.361846699961461,750
large,X-n783-k48.vrp,783,None,832,72386.0,365564.3480027066,5.050207885540113,2.687946199963335,750
large,X-n801-k40.vrp,801,None,20,73305.0,384728.96661103197,5.248331854730672,2.690068900003098,750
large,X-n819-k171.vrp,819,None,358,158121.0,337321.5561402343,2.133312818286213,8.018735699995887,750
large,X-n837-k142.vrp,837,None,44,193737.0,339071.35612570035,1.7501631393368347,6.845957400044426,750
large,X-n856-k95.vrp,856,None,9,88965.0,390282.9771071901,4.386927186052831,4.807100499980152,750
large,X-n876-k59.vrp,876,None,764,99299.0,338942.4115378811,3.413351710872024,3.7390702999546193,750
large,X-n895-k37.vrp,895,None,1816,53860.0,426525.91452118446,7.919159200170525,3.089543199981563,750
large,X-n916-k207.vrp,916,None,33,329179.0,373818.1297384856,1.135607465052405,9.00258579995716,750
large,X-n936-k151.vrp,936,None,138,132715.0,412586.53770588967,3.108816167772216,5.546333200007211,750
large,X-n957-k87.vrp,957,None,11,85465.0,375401.7316272953,4.39246161150524,5.247568199993111,750
large,X-n979-k58.vrp,979,None,998,118976.0,427406.7566208405,3.5923779301778556,4.32320579997031,750
