Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
large,Li_21.vrp,561,None,1200,16212.825563177095,166800.71481646874,10.288195241877515,0.857165139999978,1000,10
large,Li_22.vrp,601,None,900,14499.044646698783,131359.7299116568,9.059888641805475,0.9880997850000028,1000,14
large,Li_23.vrp,641,None,1400,18801.128566260857,220025.49920584823,11.702781480931419,0.9438838549999957,1000,9
large,Li_24.vrp,721,None,1500,21389.430579026408,278572.8229992897,13.02385409326636,1.0792085550000081,1000,10
large,Li_25.vrp,761,None,900,16665.74877986879,166955.13209989722,10.017859641660317,1.3793220029999986,1000,17
large,Li_26.vrp,801,None,1700,23977.732637558882,342337.17728209216,14.277295624935483,1.2003250619999903,1000,10
large,Li_27.vrp,841,None,900,17319.981961476158,184290.33085947685,10.6403304154348,1.5730496609999989,1000,19
large,Li_28.vrp,881,None,1800,26566.03412258745,412557.5157096301,15.52951087113368,1.3333575050000093,1000,10
large,Li_29.vrp,961,None,2000,29154.336084928324,489836.93417266756,16.801512226028517,1.4644799320000175,1000,10
large,Li_30.vrp,1041,None,2100,31742.638701073323,578419.5478386262,18.222163358431445,1.5892716430000178,1000,10
large,Li_31.vrp,1121,None,2300,34330.940210281784,670010.426433641,19.516227121358575,1.7196453239999983,1000,10
large,Li_32.vrp,1201,None,2500,37159.41317307494,771020.1581225961,20.74898638822595,1.8345987369999932,1000,10
large,Loggi-n1001-k31.vrp,1001,31,180,284356.0,2781423.0,9.781481663829847,2.0268650269999853,1000,29
large,Loggi-n501-k24.vrp,501,24,120,177078.0,1144993.0,6.466037565366674,0.8575984720000065,1000,22
large,Loggi-n601-k19.vrp,601,19,180,113155.0,1017509.0,8.99217003225664,0.9603841320000015,1000,18
large,Loggi-n601-k42.vrp,601,42,80,347059.0,1617977.0,4.661965256627836,1.3099271099999896,1000,38
large,Loggi-n901-k42.vrp,901,42,120,246301.0,1939012.0,7.87252995318736,2.0763746709999964,1000,40
