Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
large,Li_21.vrp,561,None,1200,16212.825563177095,169218.07585701405,10.437297015107942,300,10000,10
large,Li_22.vrp,601,None,900,14499.044646698783,132631.34369291886,9.14759192241794,300,10000,14
large,Li_23.vrp,641,None,1400,18801.128566260857,218053.02288536594,11.59786882563359,300,10000,10
large,Li_24.vrp,721,None,1500,21389.430579026408,277282.50999965967,12.96352929897776,300,10000,10
large,Li_25.vrp,761,None,900,16665.74877986879,168146.22051539907,10.089328882630792,300,10000,17
large,Li_26.vrp,801,None,1700,23977.732637558882,336793.86439838976,14.04610975897002,300,10000,10
large,Li_27.vrp,841,None,900,17319.981961476158,187429.6776476672,10.82158619244271,300,10000,19
large,Li_28.vrp,881,None,1800,26566.03412258745,411687.41372626927,15.496758448271246,300,10000,10
large,Li_29.vrp,961,None,2000,29154.336084928324,490320.0729735463,16.81808399084152,300,10000,10
large,Li_30.vrp,1041,None,2100,31742.638701073323,574838.6451684216,18.109352867031323,300,10000,10
large,Li_31.vrp,1121,None,2300,34330.940210281784,668440.6897228078,19.470503447575734,300,10000,10
large,Li_32.vrp,1201,None,2500,37159.41317307494,763903.2769584856,20.557463418501897,300,10000,10
large,Loggi-n1001-k31.vrp,1001,31,180,284356.0,2898206.0,10.192174598039077,300,10000,31
large,Loggi-n501-k24.vrp,501,24,120,177078.0,1216823.0,6.871678017596765,300,10000,24
large,Loggi-n601-k19.vrp,601,19,180,113155.0,1037468.0,9.168556404931289,300,10000,19
large,Loggi-n601-k42.vrp,601,42,80,347059.0,1812176.0,5.221521412785722,300,10000,42
large,Loggi-n901-k42.vrp,901,42,120,246301.0,2065966.0,8.387972440225578,300,10000,42
large,ORTEC-n510-k23.vrp,510,23,145,184529.0,778938.0,4.221222680445892,300,10000,23
large,ORTEC-n701-k64.vrp,701,64,80,445543.0,1846548.0,4.1444888596611325,300,10000,64
large,X-n1001-k43.vrp,1001,43,131,72404.78563198904,525562.364203333,7.258668879631834,300,10000,43
large,X-n502-k39.vrp,502,39,13,69254.03636320303,241956.21174288413,3.4937488765845206,300,10000,39
large,X-n513-k21.vrp,513,21,142,24224.86420176902,209544.3919106908,8.649971787886795,300,10000,21
large,X-n524-k153.vrp,524,153,125,154639.25890297085,inf,inf,300,10000,0
large,X-n536-k96.vrp,536,96,371,94872.74640638653,inf,inf,300,10000,0
large,X-n548-k50.vrp,548,50,11,86722.27757710981,311092.2441813233,3.5872241005745393,300,10000,50
large,X-n561-k42.vrp,561,42,74,42739.652695945704,273958.06121337233,6.409927173773222,300,10000,42
large,X-n573-k30.vrp,573,30,210,50717.884979878174,150148.51024092085,2.9604647413923275,300,10000,30
large,X-n586-k159.vrp,586,159,28,190355.10222372148,inf,inf,300,10000,0
large,X-n599-k92.vrp,599,92,487,108482.05871611243,inf,inf,300,10000,0
large,X-n613-k62.vrp,613,62,523,59548.304940199545,313982.61242960044,5.272738035867059,300,10000,62
large,X-n627-k43.vrp,627,43,110,62199.04938685801,inf,inf,300,10000,0
large,X-n641-k35.vrp,641,35,1381,63697.83808523143,330765.2097208996,5.192722699290303,300,10000,35
large,X-n655-k131.vrp,655,131,5,106810.59956566418,236788.52795076766,2.2169010277411343,300,10000,131
large,X-n670-k130.vrp,670,130,129,146378.31843753328,inf,inf,300,10000,0
large,X-n685-k75.vrp,685,75,408,68237.21553731913,335807.3683078558,4.921176306266509,300,10000,75
large,X-n701-k44.vrp,701,44,87,81956.01995940873,354620.29046773026,4.326958417982803,300,10000,44
large,X-n716-k35.vrp,716,35,1007,43420.6564451652,265222.1681522591,6.1082026359320745,300,10000,35
large,X-n733-k159.vrp,733,159,25,136218.39404680504,407980.5609701584,2.99504750312924,300,10000,159
large,X-n749-k98.vrp,749,98,396,77303.49914276505,296889.73355123546,3.840573025070131,300,10000,98
large,X-n766-k71.vrp,766,71,166,114461.16180212778,406121.0805578408,3.548112514006399,300,10000,71
large,X-n783-k48.vrp,783,48,832,72408.31876571494,419847.95033040177,5.798338609253805,300,10000,48
large,X-n801-k40.vrp,801,40,20,73333.97393618312,434099.9265484823,5.919492743244024,300,10000,40
large,X-n819-k171.vrp,819,171,358,158148.89835677537,inf,inf,300,10000,0
large,X-n837-k142.vrp,837,142,44,193784.91639895606,inf,inf,300,10000,0
large,X-n856-k95.vrp,856,95,9,89013.59855624012,451966.1831622728,5.0774959162752396,300,10000,95
large,X-n876-k59.vrp,876,59,764,99356.19354150473,415617.7843798384,4.183108969509984,300,10000,59
large,X-n895-k37.vrp,895,37,1816,53898.675359403234,inf,inf,300,10000,0
large,X-n916-k207.vrp,916,207,33,329222.3593754837,inf,inf,300,10000,0
large,X-n936-k151.vrp,936,151,138,132768.74131236685,509917.13294826506,3.8406414635548587,300,10000,151
large,X-n957-k87.vrp,957,87,11,85517.72782106075,436783.7926568317,5.107523361363951,300,10000,87
large,X-n979-k58.vrp,979,58,998,119032.52000804225,525487.7521563253,4.414657037596293,300,10000,58
