Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
mid,CMT10.vrp,200,None,200,1395.85,5354.706973863535,3.83616217635386,0.4608227999997325,750
mid,CMT11.vrp,121,None,200,1042.11,5137.41166215124,4.929817065522105,0.1480161999934353,750
mid,CMT12.vrp,101,None,200,819.56,3092.1727070410316,3.77296684445438,0.21398089994909242,750
mid,CMT13.vrp,121,None,200,1541.14,5183.15737971355,3.363196970887492,0.13603130000410601,750
mid,CMT14.vrp,101,None,200,866.37,3173.673409113926,3.663184793002904,0.16907539998646826,750
mid,CMT3.vrp,101,None,200,826.14,2749.816552307093,3.3285115746811593,0.14538130001164973,750
mid,CMT4.vrp,151,None,200,1028.42,4194.456246396061,4.07854402519988,0.3286769000114873,750
mid,CMT5.vrp,200,None,200,1291.29,5441.159644341588,4.213739473194703,0.38522230001399294,750
mid,CMT8.vrp,101,None,200,865.94,2850.3979300852166,3.2916806361701925,0.17529079999076203,750
mid,CMT9.vrp,151,None,200,1162.55,4212.230092216379,3.6232678957605082,0.2991893999860622,750
mid,E-n101-k14.vrp,101,14,112,1071.0,2634.0095235034364,2.459392645661472,0.13856459996895865,750
mid,E-n101-k8.vrp,101,8,200,817.0,2730.095314223039,3.341609931729546,0.15721969999140128,750
mid,F-n135-k7.vrp,135,7,2210,1162.0,5249.077659648411,4.517278536702591,0.21552309999242425,750
mid,Golden_1.vrp,241,None,550,5627.54,31563.07161239618,5.608680100433969,0.46299550001276657,750
mid,Golden_17.vrp,241,None,200,707.79,2864.1126127130174,4.0465570475889985,0.5768292999709956,750
mid,Golden_5.vrp,201,None,900,6460.98,40552.200207845264,6.276478213497839,0.324839000008069,750
mid,M-n101-k10.vrp,101,10,200,820.0,3128.3798240894034,3.815097346450492,0.17480819998309016,750
mid,M-n121-k7.vrp,121,7,200,1034.0,4903.580428221478,4.742340839672609,0.20789479999803007,750
mid,M-n151-k12.vrp,151,12,200,1053.0,4207.838459233316,3.996047919499825,0.23460299998987466,750
mid,M-n200-k16.vrp,200,None,200,1274.0,5511.06577888862,4.325797314669247,0.5333643000340089,750
mid,M-n200-k17.vrp,200,17,200,1275.0,5465.183152695219,4.286418158976643,0.5557221000199206,750
mid,ORTEC-n242-k12.vrp,242,None,125,123750.0,417353.0,3.372549494949495,0.5771332000149414,750
mid,P-n101-k4.vrp,101,4,400,681.0,2789.2817115594503,4.095861544140162,0.20988489995943382,750
mid,tai100a.vrp,101,None,1409,2041.34,6064.1976291491355,2.9706945580594786,0.22711909998906776,750
mid,tai100b.vrp,101,None,1842,1939.9,6011.2264136488275,3.098730044666646,0.17339129996253178,750
mid,tai100c.vrp,101,None,2043,1406.2,4851.898857345493,3.4503618669787315,0.2281271999818273,750
mid,tai100d.vrp,101,None,1297,1580.46,4810.066928442862,3.0434600865841985,0.26319470000453293,750
mid,tai150a.vrp,151,None,1544,3055.23,11612.855631702969,3.8009759107180043,0.3501055999659002,750
mid,tai150b.vrp,151,None,1918,2646.47,11578.862265855163,4.375210097169121,0.39242520002881065,750
mid,tai150c.vrp,151,None,2021,2358.66,10419.426425695703,4.417519449897697,0.2596553000039421,750
mid,tai150d.vrp,151,None,1874,2645.39,10487.407459559317,3.964408824241158,0.35074740002164617,750
mid,X-n101-k25.vrp,101,None,206,27591.0,33680.15320210077,1.2206934580878104,0.28441449999809265,750
mid,X-n106-k14.vrp,106,None,600,26362.0,25776.846119287824,0.9778031302362424,0.1860189000144601,750
mid,X-n110-k13.vrp,110,None,66,14971.0,43767.34859026353,2.9234752915812923,0.18880899995565414,750
mid,X-n115-k10.vrp,115,None,169,12747.0,46016.30071050319,3.609971029301262,0.12924709997605532,750
mid,X-n120-k6.vrp,120,None,21,13332.0,51256.30327854605,3.8446072066116153,0.1866625999682583,750
mid,X-n125-k30.vrp,125,None,188,55539.0,36875.823394088584,0.6639626819728224,0.26381259999470785,750
mid,X-n129-k18.vrp,129,None,39,28940.0,45665.148299431195,1.5779249585152453,0.2117701999959536,750
mid,X-n134-k13.vrp,134,None,643,10916.0,26480.800584492936,2.425870335699243,0.25406659999862313,750
mid,X-n139-k10.vrp,139,None,106,13590.0,57466.767132643625,4.228606853027492,0.18307349999668077,750
mid,X-n143-k7.vrp,143,None,1190,15700.0,65757.39477900932,4.188369094204416,0.22113019996322691,750
mid,X-n148-k46.vrp,148,None,18,43448.0,51006.58041636558,1.1739684316048051,0.38279349997173995,750
mid,X-n153-k22.vrp,153,None,144,21220.0,48985.50717460902,2.308459339048493,0.2554958999971859,750
mid,X-n157-k13.vrp,157,None,12,16876.0,48986.1850190992,2.9027130255451055,0.2793854000046849,750
mid,X-n162-k11.vrp,162,None,1174,14138.0,66496.62584364762,4.7033969333461325,0.264095599995926,750
mid,X-n167-k10.vrp,167,None,133,20557.0,72150.02994347908,3.5097548252896376,0.21219099999871105,750
mid,X-n172-k51.vrp,172,None,161,45607.0,60074.410852052926,1.317219085930952,0.46086120000109076,750
mid,X-n176-k26.vrp,176,None,142,47812.0,72713.79336074306,1.5208272684837083,0.4526077000191435,750
mid,X-n181-k23.vrp,181,None,8,25569.0,47891.281423862674,1.8730212923408296,0.4013408999890089,750
mid,X-n186-k15.vrp,186,None,974,24145.0,82619.14536720426,3.4217910692567512,0.3085451000370085,750
mid,X-n190-k8.vrp,190,None,138,16980.0,43544.62637043266,2.5644656284118175,0.24110929999733344,750
mid,X-n195-k51.vrp,195,None,181,44225.0,69014.03056402516,1.5605207589378216,0.6029044999741018,750
mid,X-n200-k36.vrp,200,None,402,58578.0,65735.17881875251,1.1221820277024226,0.6041488999617286,750
mid,X-n204-k19.vrp,204,None,836,19565.0,73845.5566538769,3.7743703886469158,0.4457830999745056,750
mid,X-n209-k16.vrp,209,None,101,30656.0,93155.10903529088,3.038723546297328,0.41150750004453585,750
mid,X-n214-k11.vrp,214,None,944,10856.0,43437.8645370734,4.001277131270578,0.39516730001196265,750
mid,X-n219-k73.vrp,219,None,3,117595.0,79041.96509580225,0.6721541315175157,0.9183784000342712,750
mid,X-n223-k34.vrp,223,None,37,40437.0,100279.30753064943,2.479889891204823,0.5655520000145771,750
mid,X-n228-k23.vrp,228,None,154,25742.0,92714.76734890607,3.601692461693189,0.38894599996274337,750
mid,X-n233-k16.vrp,233,None,631,19230.0,96959.11305951043,5.042075562117027,0.41480010002851486,750
mid,X-n237-k14.vrp,237,None,18,27042.0,104979.56100036718,3.882093077448679,0.38713889999780804,750
mid,X-n242-k48.vrp,242,None,28,82751.0,99460.17781954342,1.2019211588928644,0.7969198999926448,750
mid,X-n247-k50.vrp,247,None,134,37274.0,49586.6573787009,1.3303283087058244,0.6841648999834433,750
