Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
mid,CMT10.vrp,200,None,200,1395.853467656216,5471.517041281092,3.9198362636647968,0.2709760449999976,1000,15
mid,CMT11.vrp,121,None,200,1042.1150274399192,5164.1429713237085,4.955444298706685,0.13861612200000195,1000,7
mid,CMT12.vrp,101,None,200,819.5575441874688,3084.126208454916,3.7631600493807924,0.12328965899999389,1000,9
mid,CMT13.vrp,121,None,200,1541.1416027574185,5105.269516149024,3.312654403083175,0.13705269100000805,1000,7
mid,CMT14.vrp,101,None,200,866.3652093737874,3129.742097430795,3.612497435917339,0.12255860300001586,1000,9
mid,CMT3.vrp,101,None,200,826.1369729550208,2745.326900651191,3.323089258227232,0.11534932300000378,1000,7
mid,CMT4.vrp,151,None,200,1028.4242880993547,4138.207674430019,4.023833083598111,0.18978597700001387,1000,11
mid,CMT5.vrp,200,None,200,1291.2891464211025,5525.509787211071,4.2790646870419415,0.2753905179999947,1000,15
mid,CMT8.vrp,101,None,200,865.9445056375685,2665.0670889635394,3.0776418946169444,0.11686748099998567,1000,7
mid,CMT9.vrp,151,None,200,1162.5470444474113,4157.14479256858,3.575893820748199,0.19021907199999077,1000,11
mid,E-n101-k14.vrp,101,14,112,1082.650162207119,2581.706646610045,2.384617614010153,0.13078257499998358,1000,12
mid,E-n101-k8.vrp,101,8,200,826.9079628529653,2692.411080500065,3.255998492517613,0.11551024100000973,1000,7
mid,F-n135-k7.vrp,135,7,2210,1170.6531100619734,5265.114696691375,4.497587416320659,0.160989174000008,1000,6
mid,Golden_1.vrp,241,None,550,5623.468314507381,31686.322377738514,5.634658293707173,0.3085878249999894,1000,9
mid,Golden_17.vrp,241,None,200,707.7560011421995,2849.4941465693964,4.0260967649455335,0.37749688299999207,1000,20
mid,Golden_5.vrp,201,None,900,6460.97951921498,41868.30390997366,6.480179017044884,0.22791347700001552,1000,5
mid,M-n101-k10.vrp,101,10,200,819.8108473050876,3089.4716163177204,3.768517611682677,0.12308423799998991,1000,9
mid,M-n121-k7.vrp,121,7,200,1045.160491205303,5135.09446562643,4.913211424309123,0.139049741000008,1000,7
mid,M-n151-k12.vrp,151,12,200,1030.7562527704383,4208.317915410233,4.082747889328084,0.1907602759999918,1000,11
mid,M-n200-k16.vrp,200,16,200,1294.6662430341767,5496.25621398771,4.245307424643047,0.28234340199998087,1000,15
mid,M-n200-k17.vrp,200,17,200,1294.8940205956042,5366.152240674193,4.14408604513129,0.2806647069999997,1000,15
mid,ORTEC-n242-k12.vrp,242,12,125,123750.0,417085.0,3.3703838383838383,0.311279294000002,1000,12
mid,P-n101-k4.vrp,101,4,400,692.2768742727131,2868.158926586041,4.143080656275351,0.11131229299999745,1000,4
mid,tai100a.vrp,101,None,1409,None,5750.6039514688055,None,0.1346037689999946,1000,9
mid,tai100b.vrp,101,None,1842,None,5643.079056357552,None,0.13397318900001665,1000,9
mid,tai100c.vrp,101,None,2043,None,4624.563579079688,None,0.13237743700000237,1000,9
mid,tai100d.vrp,101,None,1297,None,4678.629400862375,None,0.13178015900001583,1000,9
mid,tai150a.vrp,151,None,1544,None,11593.09190034445,None,0.21648581199997352,1000,11
mid,tai150b.vrp,151,None,1918,None,11656.08972097143,None,0.21097141800001395,1000,12
mid,tai150c.vrp,151,None,2021,None,10427.25691260525,None,0.21442904500000282,1000,11
mid,tai150d.vrp,151,None,1874,None,10320.9426704356,None,0.21147814899998707,1000,11
mid,X-n101-k25.vrp,101,25,206,27598.4007834456,34097.810249348535,1.2354994956737309,0.16647168200000806,1000,20
mid,X-n106-k14.vrp,106,14,600,26362.240374476234,24303.685165724386,0.9219127365690464,0.15764535100001353,1000,13
mid,X-n110-k13.vrp,110,13,66,14979.427094468716,41741.72800950145,2.7866037697072503,0.1436495670000113,1000,12
mid,X-n115-k10.vrp,115,10,169,12751.640005756142,45409.72362789757,3.561088895812573,0.13257425300000136,1000,8
mid,X-n120-k6.vrp,120,6,21,13329.4178091839,50651.82534684276,3.800002826225757,0.13344359600000644,1000,6
mid,X-n125-k30.vrp,125,30,188,55546.20080627722,37168.74994682232,0.6691501742207707,0.20979821000000243,1000,23
mid,X-n129-k18.vrp,129,18,39,28946.534546376366,47043.52235841287,1.6251866793602743,0.18171043399999576,1000,15
mid,X-n134-k13.vrp,134,13,643,10919.846711469087,26326.075705612446,2.410846635599952,0.19604176000001416,1000,12
mid,X-n139-k10.vrp,139,10,106,13595.955750386658,56127.08508048154,4.128219163914632,0.17270500999998717,1000,10
mid,X-n143-k7.vrp,143,7,1190,15697.056595993054,64006.91082268565,4.077637768027448,0.17463763599999993,1000,7
mid,X-n148-k46.vrp,148,46,18,43452.94926360666,50320.02267178514,1.1580346909600885,0.2968255529999908,1000,32
mid,X-n153-k22.vrp,153,22,144,21226.867128671347,47701.25916099991,2.2472114642188212,0.2054835429999855,1000,15
mid,X-n157-k13.vrp,157,13,12,16886.34634255687,47192.93976619411,2.7947395374249044,0.20784381299998245,1000,12
mid,X-n162-k11.vrp,162,11,1174,14138.581489418759,66473.2586793162,4.701550769365685,0.2249657799999909,1000,10
mid,X-n167-k10.vrp,167,10,133,20558.33328675831,71312.97369232775,3.468811050857935,0.241917170000022,1000,9
mid,X-n172-k51.vrp,172,51,161,45612.13671476604,61908.30163183244,1.3572769462429246,0.3570617249999941,1000,37
mid,X-n176-k26.vrp,176,26,142,47815.81734293499,70910.5295710597,1.4829931497874325,0.25673100299999874,1000,18
mid,X-n181-k23.vrp,181,23,8,25575.6800061908,49901.978757408564,1.951149636894479,0.29228571799998804,1000,20
mid,X-n186-k15.vrp,186,15,974,24154.291268175097,78519.66833247115,3.2507543881416257,0.2932478630000048,1000,14
mid,X-n190-k8.vrp,190,8,138,16985.85965815717,44381.539271912974,2.6128521114090035,0.2252297000000283,1000,8
mid,X-n195-k51.vrp,195,51,181,44229.3103670945,69538.85769511835,1.5722347266543302,0.43512717400000156,1000,37
mid,X-n200-k36.vrp,200,36,402,58581.48464689695,63750.73996395084,1.0882404286646514,0.4510420009999905,1000,31
mid,X-n204-k19.vrp,204,19,836,19568.426556886145,75446.05085871961,3.855499093879374,0.35477274600000896,1000,18
mid,X-n209-k16.vrp,209,16,101,30660.39401012465,90358.31412318605,2.9470695677735907,0.2957009360000029,1000,15
