Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
mid,CMT10.vrp,200,None,200,1395.853467656216,6010.4709369217835,4.305946917919682,2.883617075000018,10000,16
mid,CMT11.vrp,121,None,200,1042.1150274399192,5600.9832855348,5.374630571535168,1.4051761080000347,10000,7
mid,CMT12.vrp,101,None,200,819.5575441874688,3562.7526120443827,4.347165903495636,1.2937756470000181,10000,10
mid,CMT13.vrp,121,None,200,1541.1416027574185,5557.694362683102,3.6062191512702313,1.408753794000006,10000,7
mid,CMT14.vrp,101,None,200,866.3652093737874,3486.172576973624,4.023906476454018,1.2953941020000457,10000,10
mid,CMT3.vrp,101,None,200,826.1369729550208,3026.5958154085542,3.663552067622251,1.2046273870000164,10000,8
mid,CMT4.vrp,151,None,200,1028.4242880993547,4619.879925286607,4.492192550046316,1.9803837160000057,10000,12
mid,CMT5.vrp,200,None,200,1291.2891464211025,6001.57154373052,4.6477363806272916,2.9051456729999927,10000,16
mid,CMT8.vrp,101,None,200,865.9445056375685,3052.490705122144,3.5250419458169415,1.20963020399995,10000,8
mid,CMT9.vrp,151,None,200,1162.5470444474113,4684.773554045015,4.029749657375636,1.969313016000001,10000,12
mid,E-n101-k14.vrp,101,14,112,1082.650162207119,3092.312554298475,2.8562435607033074,1.4252458500000103,10000,14
mid,E-n101-k8.vrp,101,8,200,826.9079628529653,3000.5882429726257,3.6286846635508434,1.2095059889999789,10000,8
mid,F-n135-k7.vrp,135,7,2210,1170.6531100619734,5604.399515051117,4.787412656132118,1.6780693860000042,10000,7
mid,Golden_1.vrp,241,None,550,5623.468314507381,32851.394391972426,5.841838622478346,3.1638967380000054,10000,9
mid,Golden_17.vrp,241,None,200,707.7560011421995,3173.6674627955877,4.48412653184688,3.962304087000007,10000,22
mid,Golden_5.vrp,201,None,900,6460.97951921498,43213.61632482821,6.688400140615015,2.293011868000008,10000,5
mid,M-n101-k10.vrp,101,10,200,819.8108473050876,3511.298262605041,4.283059042396804,1.2929614019999462,10000,10
mid,M-n121-k7.vrp,121,7,200,1045.160491205303,5781.6841453462675,5.531862516807057,1.4289267950000522,10000,7
mid,M-n151-k12.vrp,151,12,200,1030.7562527704383,4535.472115937043,4.400140288983671,1.9956560140000192,10000,12
mid,M-n200-k16.vrp,200,16,200,1294.6662430341767,6210.626411492908,4.797086851463509,2.9627129479999894,10000,16
mid,M-n200-k17.vrp,200,17,200,1294.8940205956042,6068.227289809736,4.686273311400861,2.9291279699999677,10000,17
mid,ORTEC-n242-k12.vrp,242,12,125,123750.0,461910.0,3.7326060606060607,3.1819025839999995,10000,12
mid,P-n101-k4.vrp,101,4,400,692.2768742727131,2901.2834335823422,4.190929296360434,1.1293299120000029,10000,4
mid,tai100a.vrp,101,None,1409,None,6984.38598560055,None,1.4385472870000058,10000,11
mid,tai100b.vrp,101,None,1842,None,6760.947574244726,None,1.4377131230000373,10000,11
mid,tai100c.vrp,101,None,2043,None,5353.586483636545,None,1.4079842809999832,10000,11
mid,tai100d.vrp,101,None,1297,None,5466.447707088517,None,1.4234076660000028,10000,11
mid,tai150a.vrp,151,None,1544,None,12964.111749929698,None,2.336599733000014,10000,15
mid,tai150b.vrp,151,None,1918,None,12858.664624518171,None,2.2958626500000037,10000,14
mid,tai150c.vrp,151,None,2021,None,11338.041290957457,None,2.312744035000037,10000,14
