Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
mid,CMT10.vrp,200,None,200,1395.853467656216,5912.7718739277825,4.235954568967719,300,10000,16
mid,CMT11.vrp,121,None,200,1042.1150274399192,5328.085806124462,5.112761706558962,300,10000,7
mid,CMT12.vrp,101,None,200,819.5575441874688,3324.1835711929566,4.0560709797243595,300,10000,10
mid,CMT13.vrp,121,None,200,1541.1416027574185,5337.99346216951,3.4636619066143854,300,10000,7
mid,CMT14.vrp,101,None,200,866.3652093737874,3296.1747682530727,3.8046019537598497,300,10000,10
mid,CMT3.vrp,101,None,200,826.1369729550208,2852.631309438212,3.4529762047019825,300,10000,8
mid,CMT4.vrp,151,None,200,1028.4242880993547,4406.501580023638,4.284711700233524,300,10000,12
mid,CMT5.vrp,200,None,200,1291.2891464211025,5838.994800178375,4.521833716609138,300,10000,16
mid,CMT8.vrp,101,None,200,865.9445056375685,2872.74212492474,3.3174667732427356,300,10000,8
mid,CMT9.vrp,151,None,200,1162.5470444474113,4426.337520742971,3.8074480872702434,300,10000,12
mid,E-n101-k14.vrp,101,14,112,1082.650162207119,2980.570928449565,2.753032357537633,300,10000,14
mid,E-n101-k8.vrp,101,8,200,826.9079628529653,2778.211585948132,3.3597591397751883,300,10000,8
mid,F-n135-k7.vrp,135,7,2210,1170.6531100619734,5020.54622090165,4.288671150957661,300,10000,7
mid,Golden_1.vrp,241,None,550,5623.468314507381,31896.297359063625,5.671997346686883,300,10000,9
mid,Golden_17.vrp,241,None,200,707.7560011421995,3109.7277117364956,4.393785014493578,300,10000,22
mid,Golden_5.vrp,201,None,900,6460.97951921498,41135.819402776244,6.366808512616105,300,10000,5
mid,M-n101-k10.vrp,101,10,200,819.8108473050876,3289.335124165774,4.012309833394615,300,10000,10
mid,M-n121-k7.vrp,121,7,200,1045.160491205303,5190.827139564143,4.966535937057822,300,10000,7
mid,M-n151-k12.vrp,151,12,200,1030.7562527704383,4386.610150099612,4.25572014558185,300,10000,12
mid,M-n200-k16.vrp,200,16,200,1294.6662430341767,5985.760470618299,4.623400434532135,300,10000,16
mid,M-n200-k17.vrp,200,17,200,1294.8940205956042,5924.380373517336,4.575185520427638,300,10000,16
mid,ORTEC-n242-k12.vrp,242,12,125,123750.0,450321.0,3.638957575757576,300,10000,12
mid,P-n101-k4.vrp,101,4,400,692.2768742727131,2814.2673970261585,4.06523387045501,300,10000,4
mid,tai100a.vrp,101,None,1409,None,6523.598384844375,None,300,10000,11
mid,tai100b.vrp,101,None,1842,None,6415.766299586659,None,300,10000,11
mid,tai100c.vrp,101,None,2043,None,5154.387085214677,None,300,10000,11
mid,tai100d.vrp,101,None,1297,None,5060.268684812403,None,300,10000,11
mid,tai150a.vrp,151,None,1544,None,12700.196431848228,None,300,10000,15
mid,tai150b.vrp,151,None,1918,None,12471.337694238135,None,300,10000,14
mid,tai150c.vrp,151,None,2021,None,10877.632406661673,None,300,10000,14
mid,tai150d.vrp,151,None,1874,None,11329.782018559463,None,300,10000,14
mid,X-n101-k25.vrp,101,25,206,27598.4007834456,inf,inf,300,10000,0
mid,X-n106-k14.vrp,106,14,600,26362.240374476234,46312.19645782183,1.7567625436971976,300,10000,14
