Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
mid_large,Golden_10.vrp,324,None,1000,735.4274460162404,4113.731808995462,5.593660980806826,300,10000,16
mid_large,Golden_11.vrp,400,None,1000,911.9802546729934,5631.273538765754,6.174775725582948,300,10000,18
mid_large,Golden_12.vrp,484,None,1000,1100.6653917149429,7586.2226059883105,6.892396783883832,300,10000,19
mid_large,Golden_13.vrp,253,None,1000,857.1887449794051,3934.4287438774645,4.589921142714016,300,10000,26
mid_large,Golden_14.vrp,321,None,1000,1080.5525732535093,5653.586374008005,5.2321252236577775,300,10000,30
mid_large,Golden_15.vrp,397,None,1000,1337.2677786614804,7822.984946419867,5.849976400575638,300,10000,33
mid_large,Golden_16.vrp,481,None,1000,1611.2770526552179,10502.462910088314,6.5180987296885675,300,10000,37
mid_large,Golden_18.vrp,301,None,200,995.1332487054715,4576.417856213247,4.598799067528418,300,10000,27
mid_large,Golden_19.vrp,361,None,200,1365.6035342978782,6430.226780184242,4.708706896757064,300,10000,33
mid_large,Golden_2.vrp,321,None,700,8404.611623286655,55619.44017508985,6.617728774163113,300,10000,10
mid_large,Golden_20.vrp,421,None,200,1817.59,8807.721103201151,4.84582392244739,300,10000,38
mid_large,Golden_3.vrp,401,None,900,10997.760007936988,86141.7259551861,7.832661004879028,300,10000,9
mid_large,Golden_4.vrp,481,None,1000,13588.647622235947,124137.05737508876,9.135350391451434,300,10000,10
mid_large,Golden_6.vrp,281,None,900,8400.332070493927,59770.96311034247,7.115309562616853,300,10000,7
mid_large,Golden_7.vrp,361,None,900,10102.681504546768,77511.99025128588,7.672417488010602,300,10000,8
mid_large,Golden_8.vrp,441,None,900,11635.343785727806,95554.98431898013,8.212476234367067,300,10000,10
mid_large,Golden_9.vrp,256,None,1000,579.702137615176,2825.072481591266,4.873317343995436,300,10000,14
mid_large,Loggi-n401-k23.vrp,401,23,100,336903.0,944732.0,2.8041661843319887,300,10000,23
mid_large,ORTEC-n323-k21.vrp,323,21,100,214071.0,880726.0,4.114177072092904,300,10000,21
mid_large,ORTEC-n405-k18.vrp,405,18,160,200986.0,1070498.0,5.326231677828306,300,10000,18
mid_large,ORTEC-n455-k41.vrp,455,41,70,292485.0,1099590.0,3.7594748448638393,300,10000,41
mid_large,tai385.vrp,386,None,65,None,108230.0367048493,None,300,10000,47
mid_large,X-n251-k28.vrp,251,28,69,38690.425121260014,119699.86204706783,3.0937851334513744,300,10000,28
mid_large,X-n256-k16.vrp,256,16,1225,18847.64536111926,119009.67583743816,6.314299402244845,300,10000,16
mid_large,X-n261-k13.vrp,261,13,1081,26564.880001915062,131983.6634644014,4.968351577529682,300,10000,13
mid_large,X-n266-k58.vrp,266,58,35,75489.08620023358,inf,inf,300,10000,0
mid_large,X-n270-k35.vrp,270,35,585,35290.73392868522,inf,inf,300,10000,0
mid_large,X-n275-k28.vrp,275,28,10,21250.145366637433,90283.31103538483,4.248597337932988,300,10000,28
mid_large,X-n280-k17.vrp,280,17,192,33503.46202277754,144846.98004083158,4.32334365751087,300,10000,17
mid_large,X-n284-k15.vrp,284,15,109,20236.988928206607,89437.79011720027,4.4195206329604,300,10000,15
mid_large,X-n289-k60.vrp,289,60,267,95160.55111655206,inf,inf,300,10000,0
mid_large,X-n294-k50.vrp,294,50,285,47172.6649088552,151807.61970185617,3.218126853659247,300,10000,50
mid_large,X-n298-k31.vrp,298,31,55,34246.82220867055,146537.0076586669,4.278849779573619,300,10000,31
mid_large,X-n303-k21.vrp,303,21,794,21752.126168499934,122958.67854266976,5.652719995746017,300,10000,21
mid_large,X-n308-k13.vrp,308,13,246,25876.44143591163,144597.5421725897,5.58799951418032,300,10000,13
mid_large,X-n313-k71.vrp,313,71,248,94050.10805997287,inf,inf,300,10000,0
mid_large,X-n317-k53.vrp,317,53,6,78377.10731781296,182676.49779472026,2.330737941807185,300,10000,53
mid_large,X-n322-k28.vrp,322,28,868,29845.918271150993,158110.84145199388,5.297570006576863,300,10000,28
mid_large,X-n327-k20.vrp,327,20,128,27542.437966140435,149977.9527548697,5.445340493795305,300,10000,20
mid_large,X-n331-k15.vrp,331,15,23,31121.750855683116,166635.34691662824,5.354305022533754,300,10000,15
mid_large,X-n336-k84.vrp,336,84,203,139117.0985790461,256235.51891786404,1.841869342698169,300,10000,84
mid_large,X-n344-k43.vrp,344,43,61,42065.38035936931,inf,inf,300,10000,0
mid_large,X-n351-k40.vrp,351,40,436,25905.70297881667,104835.65190055763,4.046817489812289,300,10000,40
mid_large,X-n359-k29.vrp,359,29,68,51511.60553388114,183635.13865554257,3.5649274906556494,300,10000,29
mid_large,X-n367-k17.vrp,367,17,218,22836.07733743848,135549.6665410553,5.935768413204187,300,10000,17
mid_large,X-n376-k94.vrp,376,94,4,147733.07228503397,268232.827563618,1.8156586295456825,300,10000,94
mid_large,X-n384-k52.vrp,384,52,564,65946.66629170375,inf,inf,300,10000,0
mid_large,X-n393-k38.vrp,393,38,78,38271.134773791055,177131.96023105795,4.628343561747794,300,10000,38
mid_large,X-n401-k29.vrp,401,29,745,66172.17496367855,195082.77145580543,2.9481088019682744,300,10000,29
mid_large,X-n411-k19.vrp,411,19,216,19730.689427603767,160081.54483399194,8.113327485152826,300,10000,19
mid_large,X-n420-k130.vrp,420,130,18,107812.51082907204,222872.49488008922,2.0672229332775247,300,10000,130
mid_large,X-n429-k61.vrp,429,61,536,65463.639441893916,inf,inf,300,10000,0
mid_large,X-n439-k37.vrp,439,37,12,36410.2802975995,205732.22895688773,5.650388496746934,300,10000,37
