Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
mid_small,A-n53-k7.vrp,53,7,100,1010.0,1917.0108361252328,1.8980305308170622,0.08129100000951439,750
mid_small,A-n54-k7.vrp,54,7,100,1167.0,1942.428804064477,1.6644634139369983,0.06149430002551526,750
mid_small,A-n55-k9.vrp,55,9,100,1073.0,1864.2673517167796,1.737434624153569,0.076586099981796,750
mid_small,A-n60-k9.vrp,60,9,100,1354.0,2199.0500138366183,1.6241137472944005,0.07377149997046217,750
mid_small,A-n61-k9.vrp,61,9,100,1034.0,2007.2918324449304,1.9412880391150198,0.07702259998768568,750
mid_small,A-n62-k8.vrp,62,8,100,1288.0,2394.5065083542318,1.8590889040017327,0.08565019996603951,750
mid_small,A-n63-k10.vrp,63,10,100,1314.0,2227.948940062386,1.6955471385558494,0.11031919997185469,750
mid_small,A-n63-k9.vrp,63,9,100,1616.0,2375.3694814709643,1.4699068573458938,0.0801791999838315,750
mid_small,A-n64-k9.vrp,64,9,100,1401.0,2169.567546176796,1.5485849722889335,0.1517422999604605,750
mid_small,A-n65-k9.vrp,65,9,100,1174.0,2570.170329839915,2.1892421889607454,0.08821950003039092,750
mid_small,A-n69-k9.vrp,69,9,100,1159.0,2543.9383839041243,2.194942522781816,0.10301940003409982,750
mid_small,A-n80-k10.vrp,80,10,100,1763.0,3010.5750572328006,1.7076432542443565,0.18999839999014512,750
mid_small,B-n51-k7.vrp,51,7,100,1032.0,2133.3411244652007,2.0671910120786827,0.06954499997664243,750
mid_small,B-n52-k7.vrp,52,7,100,747.0,1852.9525076586604,2.4805254453261854,0.08612560003530234,750
mid_small,B-n56-k7.vrp,56,7,100,707.0,1951.8596449553563,2.760763288479995,0.14153929997701198,750
mid_small,B-n57-k7.vrp,57,7,100,1153.0,2263.470035605023,1.9631136475325437,0.0944321999559179,750
mid_small,B-n57-k9.vrp,57,9,100,1598.0,1664.5613393200845,1.0416529032040578,0.06748810003045946,750
mid_small,B-n63-k10.vrp,63,10,100,1496.0,2424.6593812747706,1.6207616184991782,0.11143079999601468,750
mid_small,B-n64-k9.vrp,64,9,100,861.0,1954.4773783967607,2.270008569566505,0.11622570001054555,750
mid_small,B-n66-k9.vrp,66,9,100,1316.0,2286.1009985718383,1.7371588135044365,0.11858960002427921,750
mid_small,B-n67-k10.vrp,67,10,100,1032.0,2233.065812308209,2.163823461538962,0.11594139999942854,750
mid_small,B-n68-k9.vrp,68,9,100,1272.0,2375.6849940281545,1.8676768820976057,0.07866509997984394,750
mid_small,B-n78-k10.vrp,78,10,100,1221.0,2799.389170053542,2.292702022975874,0.17969820002326742,750
mid_small,CMT1.vrp,51,None,160,524.61,1232.2443615315935,2.348876997258141,0.10388950002379715,750
mid_small,CMT2.vrp,76,None,140,835.26,1851.394699660134,2.2165489783542056,0.1940180000383407,750
mid_small,CMT6.vrp,51,None,160,555.43,1243.343562829877,2.2385243195900064,0.08539690001634881,750
mid_small,CMT7.vrp,76,None,140,909.68,1855.512504014351,2.03974200159875,0.10587400000076741,750
mid_small,E-n51-k5.vrp,51,5,160,521.0,1210.5391097788538,2.3234915734718884,0.10216509999008849,750
mid_small,E-n76-k10.vrp,76,10,140,830.0,1908.4206118295847,2.299301941963355,0.12426969996886328,750
mid_small,E-n76-k14.vrp,76,14,100,1021.0,1753.1472783682448,1.7170884215164004,0.1556851000059396,750
mid_small,E-n76-k7.vrp,76,7,220,682.0,1988.9894173963162,2.91640677037583,0.10028259997488931,750
mid_small,E-n76-k8.vrp,76,8,180,735.0,1881.9084850678069,2.5604197075752473,0.08835410000756383,750
mid_small,F-n72-k4.vrp,72,4,30000,237.0,961.199314914789,4.055693311876747,0.1279598000110127,750
mid_small,P-n51-k10.vrp,51,10,80,741.0,1097.1742121775037,1.4806669530060779,0.0947314000222832,750
mid_small,P-n55-k10.vrp,55,10,115,694.0,1151.406499652331,1.659087175291543,0.0723355999798514,750
mid_small,P-n55-k15.vrp,55,15,70,989.0,1053.4809289631792,1.0651981081528605,0.1566912000416778,750
mid_small,P-n55-k7.vrp,55,7,170,568.0,1238.6498021206662,2.1807214826068066,0.07371610001428053,750
mid_small,P-n60-k10.vrp,60,10,120,744.0,1318.09488579742,1.7716329110180375,0.08056480000959709,750
mid_small,P-n60-k15.vrp,60,15,80,968.0,1218.4811715659998,1.2587615408739667,0.11746189999394119,750
mid_small,P-n65-k10.vrp,65,10,130,792.0,1522.4290982955865,1.9222589624944275,0.10872519999975339,750
mid_small,P-n70-k10.vrp,70,10,135,827.0,1660.3841457093795,2.007719644146771,0.08888659998774529,750
mid_small,P-n76-k4.vrp,76,4,350,593.0,2016.6382044339475,3.4007389619459487,0.14697969995904714,750
mid_small,P-n76-k5.vrp,76,5,280,627.0,1958.0868753853413,3.1229455747772588,0.13137959997402504,750
mid_small,tai75a.vrp,76,None,1445,1618.36,3792.0352334126032,2.343134551899827,0.10810569999739528,750
mid_small,tai75b.vrp,76,None,1679,1344.62,3663.5810671374493,2.7246218761712973,0.15255949995480478,750
mid_small,tai75c.vrp,76,None,1122,1291.01,3299.1498924581274,2.55547973482632,0.12157349998597056,750
mid_small,tai75d.vrp,76,None,1699,1365.42,3957.747586145017,2.8985569173917307,0.08934539998881519,750
