Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
small,A-n32-k5.vrp,32,5,100,784.0,1027.4730121062253,1.3105523113599813,8.130838299985044,100000
small,A-n33-k5.vrp,33,5,100,661.0,804.8661816994509,1.217649291527157,6.269797599990852,100000
small,A-n33-k6.vrp,33,6,100,742.0,883.0505382748261,1.1900950650604125,5.36050869995961,100000
small,A-n34-k5.vrp,34,5,100,778.0,968.2174704568581,1.244495463312157,4.321990100026596,100000
small,A-n36-k5.vrp,36,5,100,799.0,1074.7094513208247,1.345068149337703,3.9563737000571564,100000
small,A-n37-k5.vrp,37,5,100,669.0,1093.9898399516712,1.6352613452192395,4.020352299965452,100000
small,A-n37-k6.vrp,37,6,100,949.0,1100.8582907018413,1.1600192736584207,4.217662000039127,100000
small,A-n38-k5.vrp,38,5,100,730.0,1131.4521947218245,1.549934513317568,4.2553746000048704,100000
small,A-n39-k5.vrp,39,5,100,822.0,1169.350017948427,1.4225669318107383,7.679478199977893,100000
small,A-n39-k6.vrp,39,6,100,831.0,1268.9544105665586,1.5270209513436326,7.545898700016551,100000
small,A-n44-k6.vrp,44,6,100,937.0,1321.8088136981642,1.4106817648859808,7.437359499977902,100000
small,A-n45-k6.vrp,45,6,100,944.0,1522.8876046842204,1.6132283947926063,6.02316369995242,100000
small,A-n45-k7.vrp,45,7,100,1146.0,1319.4671543926447,1.1513674994700216,5.292570799996611,100000
small,A-n46-k7.vrp,46,7,100,914.0,1432.3749513517328,1.5671498373651342,5.34938470000634,100000
small,A-n48-k7.vrp,48,7,100,1073.0,1579.9443517459392,1.4724551274426274,5.620839200040791,100000
small,B-n31-k5.vrp,31,5,100,672.0,390.970185236559,0.5818008708877367,3.4025720999925397,100000
small,B-n34-k5.vrp,34,5,100,788.0,650.7760583215854,0.8258579420324688,3.662222800019663,100000
small,B-n35-k5.vrp,35,5,100,955.0,1045.0938935094564,1.0943391555072841,3.8993048000265844,100000
small,B-n38-k6.vrp,38,6,100,805.0,855.4310602178473,1.0626472797737234,4.3909614000003785,100000
small,B-n39-k5.vrp,39,5,100,549.0,930.2233080558742,1.6943958252383866,4.296203500009142,100000
small,B-n41-k6.vrp,41,6,100,829.0,1181.7835759375994,1.4255531675966218,4.742716900014784,100000
small,B-n43-k6.vrp,43,6,100,742.0,987.1086686472547,1.3303351329477826,4.925955799990334,100000
small,B-n44-k7.vrp,44,7,100,909.0,998.3120284059296,1.0982530565521778,5.158077400003094,100000
small,B-n45-k5.vrp,45,5,100,751.0,1397.1855906837022,1.8604335428544636,5.04236999998102,100000
small,B-n45-k6.vrp,45,6,100,678.0,855.117169833345,1.2612347637659955,5.287383800023235,100000
small,B-n50-k7.vrp,50,7,100,741.0,1376.2432490548003,1.8572783388053986,5.828273800027091,100000
small,B-n50-k8.vrp,50,8,100,1312.0,1269.7478665097747,0.9677956299617185,6.045860000012908,100000
small,E-n13-k4.vrp,13,4,6000,247.0,92.0,0.3724696356275304,1.4412168999551795,100000
small,E-n22-k4.vrp,22,4,6000,375.0,342.8178869574985,0.9141810318866627,2.462920700025279,100000
small,E-n23-k3.vrp,23,3,4500,569.0,703.0681580132319,1.235620664346629,2.4049766000243835,100000
small,E-n30-k3.vrp,30,3,4500,534.0,804.3455198061317,1.5062650183635427,3.2609626000048593,100000
small,E-n31-k7.vrp,31,7,140,379.0,451.0,1.1899736147757256,3.5472422000020742,100000
small,E-n33-k4.vrp,33,4,8000,835.0,693.7904137473639,0.8308867230507352,3.662965500028804,100000
small,F-n45-k4.vrp,45,4,2010,724.0,1591.3378743426852,2.1979804894235984,4.874224900035188,100000
small,P-n16-k8.vrp,16,8,35,450.0,93.91086937679526,0.2086908208373228,1.8999745000037365,100000
small,P-n19-k2.vrp,19,2,160,212.0,216.01998471640476,1.018962192058513,1.9608575999736786,100000
small,P-n20-k2.vrp,20,2,160,216.0,217.555433142825,1.0072010793649306,2.058399899979122,100000
small,P-n21-k2.vrp,21,2,160,211.0,254.2279510645999,1.2048718059933645,2.1981327999965288,100000
small,P-n22-k2.vrp,22,2,160,216.0,260.079308091303,1.2040708707930694,2.3223813000367954,100000
small,P-n22-k8.vrp,22,8,3000,603.0,308.43306326238553,0.5114976173505564,2.7104226000374183,100000
small,P-n23-k8.vrp,23,8,40,529.0,187.35984461885786,0.3541774000356481,2.7781154999975115,100000
small,P-n40-k5.vrp,40,5,140,458.0,805.8588761596101,1.7595171968550438,4.467244400002528,100000
small,P-n45-k5.vrp,45,5,150,510.0,970.8318477741386,1.903591858380664,5.073768200003542,100000
small,P-n50-k10.vrp,50,10,100,696.0,904.9468344881352,1.3002109690921484,6.5018687000265345,100000
small,P-n50-k7.vrp,50,7,150,554.0,977.25978897321,1.7640068393018231,5.953425799962133,100000
small,P-n50-k8.vrp,50,8,120,631.0,938.5669259108172,1.4874277748190448,6.296540000010282,100000
