Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
small,A-n32-k5.vrp,32,5,100,784.0,1010.9674804331859,1.2894993372872268,0.36651609995169565,10000
small,A-n33-k5.vrp,33,5,100,661.0,926.9433763017241,1.4023349111977672,0.38013779994798824,10000
small,A-n33-k6.vrp,33,6,100,742.0,900.8535038497188,1.2140882801209147,0.38318460003938526,10000
small,A-n34-k5.vrp,34,5,100,778.0,1010.1142585529794,1.2983473760321071,0.39241989998845384,10000
small,A-n36-k5.vrp,36,5,100,799.0,1101.7453684656823,1.3789053422599278,0.4034040999831632,10000
small,A-n37-k5.vrp,37,5,100,669.0,1142.573577021688,1.7078827758171717,0.41041780001251027,10000
small,A-n37-k6.vrp,37,6,100,949.0,1151.455856750647,1.2133359923610612,0.4315839000046253,10000
small,A-n38-k5.vrp,38,5,100,730.0,1156.6412550038042,1.584440075347677,0.4412348000332713,10000
small,A-n39-k5.vrp,39,5,100,822.0,1201.1169850694805,1.46121287721348,0.44935839995741844,10000
small,A-n39-k6.vrp,39,6,100,831.0,1388.2556761599687,1.670584447845931,0.4574879999854602,10000
small,A-n44-k6.vrp,44,6,100,937.0,1354.816192274194,1.44590842291803,0.5381355999852531,10000
small,A-n45-k6.vrp,45,6,100,944.0,1587.1264049684128,1.681277971364844,0.5336806999985129,10000
small,A-n45-k7.vrp,45,7,100,1146.0,1337.3696200483153,1.1669891972498387,0.5476218999829143,10000
small,A-n46-k7.vrp,46,7,100,914.0,1434.6015518767285,1.5695859429723507,0.5464000999927521,10000
small,A-n48-k7.vrp,48,7,100,1073.0,1670.9475968988463,1.5572670986941717,0.5733877000166103,10000
small,B-n31-k5.vrp,31,5,100,672.0,436.4112193221732,0.6494214573246625,0.34821730002295226,10000
small,B-n34-k5.vrp,34,5,100,788.0,731.0017679973797,0.9276672182707865,0.37493930000346154,10000
small,B-n35-k5.vrp,35,5,100,955.0,1087.8745055231145,1.139135607877607,0.397484400018584,10000
small,B-n38-k6.vrp,38,6,100,805.0,982.1270101769513,1.2200335530148463,0.4365966999903321,10000
small,B-n39-k5.vrp,39,5,100,549.0,994.4307750621256,1.8113493170530521,0.4433972999686375,10000
small,B-n41-k6.vrp,41,6,100,829.0,1151.8081682371644,1.3893946540858437,0.48532759997760877,10000
small,B-n43-k6.vrp,43,6,100,742.0,1069.9795222354785,1.4420209194548228,0.500977799994871,10000
small,B-n44-k7.vrp,44,7,100,909.0,1154.8448277742948,1.270456356187343,0.5215826000203378,10000
small,B-n45-k5.vrp,45,5,100,751.0,1426.4583333124247,1.8994118952229355,0.5161997999530286,10000
small,B-n45-k6.vrp,45,6,100,678.0,855.8736073909674,1.262350453379008,0.5357809999841265,10000
small,B-n50-k7.vrp,50,7,100,741.0,1572.4143927863245,2.1220167244079953,0.587863799999468,10000
small,B-n50-k8.vrp,50,8,100,1312.0,1304.7935004949318,0.9945072412308931,0.6099358999636024,10000
small,E-n13-k4.vrp,13,4,6000,247.0,101.0,0.4089068825910931,0.14465209998888895,10000
small,E-n22-k4.vrp,22,4,6000,375.0,367.3706486918405,0.9796550631782412,0.25942309998208657,10000
small,E-n23-k3.vrp,23,3,4500,569.0,757.5558437853124,1.3313810962835015,0.24484970001503825,10000
small,E-n30-k3.vrp,30,3,4500,534.0,844.7083168192255,1.5818507805603474,0.32907420000992715,10000
small,E-n31-k7.vrp,31,7,140,379.0,499.0,1.316622691292876,0.3615705000120215,10000
small,E-n33-k4.vrp,33,4,8000,835.0,713.6606746484202,0.8546834426927189,0.3701248000143096,10000
small,F-n45-k4.vrp,45,4,2010,724.0,1656.4307678700704,2.2878878009255117,0.4888941000099294,10000
small,P-n16-k8.vrp,16,8,35,450.0,107.89754952737431,0.23977233228305403,0.19062040001153946,10000
small,P-n19-k2.vrp,19,2,160,212.0,232.53766159200094,1.0968757622264196,0.20917729998473078,10000
small,P-n20-k2.vrp,20,2,160,216.0,209.04522113997132,0.9678019497220894,0.20232889999169856,10000
small,P-n21-k2.vrp,21,2,160,211.0,263.49440102736276,1.2487886304614348,0.23029740003403276,10000
small,P-n22-k2.vrp,22,2,160,216.0,283.90232517934874,1.314362616571059,0.22472439997363836,10000
small,P-n22-k8.vrp,22,8,3000,603.0,347.72569336927614,0.5766595246588327,0.28031830000691116,10000
small,P-n23-k8.vrp,23,8,40,529.0,228.24289729294392,0.43146105348382596,0.2804337000125088,10000
small,P-n40-k5.vrp,40,5,140,458.0,778.3291462074317,1.6994086161734316,0.45881009998265654,10000
small,P-n45-k5.vrp,45,5,150,510.0,956.7303949011517,1.875941950786572,0.5070559000014327,10000
small,P-n50-k10.vrp,50,10,100,696.0,967.4706108286531,1.390043981075651,0.6667747999890707,10000
small,P-n50-k7.vrp,50,7,150,554.0,1043.4017892823133,1.883396731556522,0.600909499975387,10000
small,P-n50-k8.vrp,50,8,120,631.0,989.3978376590021,1.5679838948637117,0.625298400002066,10000
