Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
small,A-n32-k5.vrp,32,5,100,784.0,1061.6406304945726,1.3541334572634856,0.05636009998852387,750
small,A-n33-k5.vrp,33,5,100,661.0,1044.7194330207008,1.5805135144034808,0.0504676999989897,750
small,A-n33-k6.vrp,33,6,100,742.0,995.3415093410639,1.3414306055809486,0.05416920001152903,750
small,A-n34-k5.vrp,34,5,100,778.0,1102.819916141592,1.417506318948062,0.04133669997099787,750
small,A-n36-k5.vrp,36,5,100,799.0,1238.386945328381,1.549921083014244,0.044206699996721,750
small,A-n37-k5.vrp,37,5,100,669.0,1228.0577321450246,1.8356617819806047,0.039609899977222085,750
small,A-n37-k6.vrp,37,6,100,949.0,1224.5474593348354,1.2903555946626295,0.043133299972396344,750
small,A-n38-k5.vrp,38,5,100,730.0,1317.39552427957,1.8046514031226988,0.04053479997674003,750
small,A-n39-k5.vrp,39,5,100,822.0,1245.4244397729171,1.5151148902346925,0.049409399973228574,750
small,A-n39-k6.vrp,39,6,100,831.0,1435.0657939517769,1.7269143128180227,0.11470199999166653,750
small,A-n44-k6.vrp,44,6,100,937.0,1470.6513652806582,1.5695318732984613,0.07638639997458085,750
small,A-n45-k6.vrp,45,6,100,944.0,1802.7143713491241,1.9096550543952586,0.09255950001534075,750
small,A-n45-k7.vrp,45,7,100,1146.0,1441.9772360942798,1.2582698395238043,0.09705769998254254,750
small,A-n46-k7.vrp,46,7,100,914.0,1378.390280042412,1.508085645560626,0.08929679996799678,750
small,A-n48-k7.vrp,48,7,100,1073.0,1754.1422176924902,1.6348016940284158,0.11936319997766986,750
small,B-n31-k5.vrp,31,5,100,672.0,483.90071885149615,0.7200903554337741,0.0765003000269644,750
small,B-n34-k5.vrp,34,5,100,788.0,846.2424955288269,1.0739117963563793,0.08319909998681396,750
small,B-n35-k5.vrp,35,5,100,955.0,1216.1783897609678,1.2734852248805946,0.08662249997723848,750
small,B-n38-k6.vrp,38,6,100,805.0,1064.8778370358796,1.3228296112246951,0.09562839998397976,750
small,B-n39-k5.vrp,39,5,100,549.0,1277.8864958636507,2.3276621053982707,0.09585560002597049,750
small,B-n41-k6.vrp,41,6,100,829.0,1322.750224180544,1.5955973753685693,0.09990289999404922,750
small,B-n43-k6.vrp,43,6,100,742.0,1075.772100068919,1.4498276281252276,0.10617479996290058,750
small,B-n44-k7.vrp,44,7,100,909.0,1301.8770886895547,1.4322080183603463,0.10709700000006706,750
small,B-n45-k5.vrp,45,5,100,751.0,1604.179316055995,2.1360576778375435,0.11869539995677769,750
small,B-n45-k6.vrp,45,6,100,678.0,1060.4518992720787,1.5640883470089655,0.22795440000481904,750
small,B-n50-k7.vrp,50,7,100,741.0,1663.696309306382,2.2452041960949827,0.15287619997980073,750
small,B-n50-k8.vrp,50,8,100,1312.0,1422.161608917009,1.0839646409428423,0.11924059997545555,750
small,E-n13-k4.vrp,13,4,6000,247.0,111.0,0.4493927125506073,0.025389900023583323,750
small,E-n22-k4.vrp,22,4,6000,375.0,457.78359727756686,1.2207562594068448,0.05217219999758527,750
small,E-n23-k3.vrp,23,3,4500,569.0,811.5384552362017,1.4262538756348009,0.043874000024516135,750
small,E-n30-k3.vrp,30,3,4500,534.0,940.7690695895297,1.7617398306920034,0.0410534999682568,750
small,E-n31-k7.vrp,31,7,140,379.0,529.0,1.395778364116095,0.049065800034441054,750
small,E-n33-k4.vrp,33,4,8000,835.0,769.9420395069649,0.9220862748586406,0.06849189999047667,750
small,F-n45-k4.vrp,45,4,2010,724.0,1730.320775648624,2.389945822719094,0.06476089998614043,750
small,P-n16-k8.vrp,16,8,35,450.0,120.79469945253427,0.26843266545007616,0.023225200013257563,750
small,P-n19-k2.vrp,19,2,160,212.0,268.771761587309,1.2677913282420237,0.024534699972718954,750
small,P-n20-k2.vrp,20,2,160,216.0,254.5320793948424,1.1783892564576037,0.026441599999088794,750
small,P-n21-k2.vrp,21,2,160,211.0,302.1673160341584,1.4320725878396132,0.046435599972028285,750
small,P-n22-k2.vrp,22,2,160,216.0,299.8706774790588,1.3882901735141613,0.052642400027252734,750
small,P-n22-k8.vrp,22,8,3000,603.0,345.0912628527351,0.5722906514970731,0.050693699973635375,750
small,P-n23-k8.vrp,23,8,40,529.0,224.62688808425688,0.424625497323737,0.031033300037961453,750
small,P-n40-k5.vrp,40,5,140,458.0,848.774759953682,1.853219999898869,0.08304550003958866,750
small,P-n45-k5.vrp,45,5,150,510.0,1006.6253655844689,1.9737752266362136,0.1128636000212282,750
small,P-n50-k10.vrp,50,10,100,696.0,994.9522601541069,1.42952910941682,0.10834860004251823,750
small,P-n50-k7.vrp,50,7,150,554.0,1027.3388916074005,1.8544023314213005,0.10143629997037351,750
small,P-n50-k8.vrp,50,8,120,631.0,1043.9191277825983,1.654388475091281,0.09417550003854558,750
