Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1124.2853770193406,1.4271053113042809,0.036920229000003246,1000,4
small,A-n33-k5.vrp,33,5,100,662.7628798187153,939.1686162866421,1.4170507203775982,0.03734773299999006,1000,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,1033.4286370448456,1.3912045707150111,0.0381513439999992,1000,5
small,A-n34-k5.vrp,34,5,100,781.3034826995502,1032.4483173728067,1.321443383057124,0.03870284799998558,1000,5
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1166.9820881429662,1.4548507901274892,0.04020938399997931,1000,4
small,A-n37-k5.vrp,37,5,100,672.593526946931,1168.7565330257032,1.737686263992131,0.04077325000000087,1000,4
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1219.558610209292,1.2807563132749566,0.04341915099999483,1000,5
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1204.974221958956,1.6412413690464553,0.04299658700000464,1000,5
small,A-n39-k5.vrp,39,5,100,828.989115424054,1310.2533875119339,1.580543535655107,0.04468661300001031,1000,4
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1424.6289593553965,1.7098188730640287,0.044603628999993816,1000,5
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1445.607287592078,1.5389693291161228,0.05062699800001269,1000,6
small,A-n45-k6.vrp,45,6,100,944.8763669421223,1677.8100643550881,1.77569269700854,0.05346094699999071,1000,6
small,A-n45-k7.vrp,45,7,100,1147.22098351604,1420.157227053015,1.2379107839367367,0.053120986999999786,1000,6
small,A-n46-k7.vrp,46,7,100,918.461372792691,1474.4704352910019,1.6053701102395839,0.05393368500000406,1000,6
small,A-n48-k7.vrp,48,7,100,1074.337824689917,1701.8790593741642,1.5841190920233799,0.056074937999994745,1000,6
small,B-n31-k5.vrp,31,5,100,676.7582609500149,499.020664698413,0.7373691515754847,0.040894855999994206,1000,4
small,B-n34-k5.vrp,34,5,100,791.2402758558225,768.7453443182708,0.9715700372895949,0.03792280999999775,1000,5
small,B-n35-k5.vrp,35,5,100,956.29409898826,1042.1726822478495,1.0898035273358346,0.04657132099998762,1000,5
small,B-n38-k6.vrp,38,6,100,809.452489572368,1039.9185382640321,1.28471843827847,0.04346906400002126,1000,5
small,B-n39-k5.vrp,39,5,100,553.2673599367333,1291.3938259877825,2.334122559001953,0.04329455000001303,1000,4
small,B-n41-k6.vrp,41,6,100,834.9577391350781,1338.5791690931478,1.603169964601759,0.047633532000020296,1000,5
small,B-n43-k6.vrp,43,6,100,747.5357650288681,1094.6718140754676,1.4643738337164294,0.049039241000002676,1000,5
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1210.240913154371,1.3214544081735788,0.05923925099997973,1000,6
small,B-n45-k5.vrp,45,5,100,755.4335679475657,1493.0732551318076,1.9764454724832152,0.059447567999995954,1000,5
small,B-n45-k6.vrp,45,6,100,680.4379297045854,956.4105304014805,1.4055808599863173,0.054663519999991195,1000,6
small,B-n50-k7.vrp,50,7,100,744.7824415526958,1663.804563081096,2.2339470834092916,0.05795691100001932,1000,6
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,1377.7790042981571,1.041750145737124,0.059732455999977674,1000,7
small,E-n13-k4.vrp,13,4,6000,290.0,116.0,0.4,0.016282048000022087,1000,3
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,414.95251305072634,1.105715061832165,0.02715834299999642,1000,4
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,772.8996980402868,1.3593926728988057,0.03129014999998958,1000,3
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,950.046354686304,1.773146891880086,0.04946249700000749,1000,3
small,E-n31-k7.vrp,31,7,140,1263.0,480.0,0.38004750593824227,0.03623851399999012,1000,5
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,825.8057588507054,0.9846012562021004,0.03806749899999318,1000,4
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,1698.0281975378398,2.343500521718306,0.04938744699998665,1000,3
small,P-n16-k8.vrp,16,8,35,451.94709212981854,129.17039082506685,0.28580865564671804,0.020633072999999058,1000,6
small,P-n19-k2.vrp,19,2,160,212.6569041858923,254.54453668026719,1.1969728312124734,0.02047249500000703,1000,2
small,P-n20-k2.vrp,20,2,160,217.41558334616656,280.70881435188085,1.2911163497647709,0.021433869999981425,1000,2
small,P-n21-k2.vrp,21,2,160,212.71153970290385,294.11899744979087,1.3827129353705472,0.022345559999990883,1000,2
small,P-n22-k2.vrp,22,2,160,217.8521507402297,294.4151301079825,1.3514446798326436,0.023417520000009517,1000,2
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,373.6484816910863,0.6212732851404535,0.029103572999986227,1000,6
small,P-n23-k8.vrp,23,8,40,531.1738035458812,236.23478127806342,0.4447410239380492,0.03334485400000631,1000,6
small,P-n40-k5.vrp,40,5,140,461.7261717631887,887.7317918271577,1.9226369353012545,0.045301894999994374,1000,4
small,P-n45-k5.vrp,45,5,150,512.7913045095214,1074.8550114921472,2.0960866575540567,0.04991444499998465,1000,5
small,P-n50-k10.vrp,50,10,100,699.5615304783074,981.1694699619532,1.4025492072028367,0.06251941899998315,1000,9
small,P-n50-k7.vrp,50,7,150,559.8625135512013,1112.8217103393679,1.9876696213874954,0.07840089300000841,1000,6
small,P-n50-k8.vrp,50,8,120,634.8499103018386,1033.9332769091384,1.6286263258941884,0.06038436600002228,1000,7
