Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1028.1104268654396,1.3050261799871656,3.558813780999998,100000,4
small,A-n33-k5.vrp,33,5,100,662.7628798187153,888.7384811469683,1.3409599544712942,3.6642911750000167,100000,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,839.7745356664389,1.1305068686020239,3.7658858650000013,100000,5
small,A-n34-k5.vrp,34,5,100,781.3034826995502,960.2238025302606,1.2290023323747479,3.8015879499999983,100000,4
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1055.2743769312244,1.3155872542335039,3.993141051000009,100000,4
small,A-n37-k5.vrp,37,5,100,672.593526946931,1096.0082414247531,1.6295254080124837,4.049241093999996,100000,4
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1002.410807872026,1.0527119893457375,4.211840013,100000,6
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1164.5067896608944,1.5861224936578269,4.280880722000006,100000,5
small,A-n39-k5.vrp,39,5,100,828.989115424054,1175.9830387397064,1.418574763961954,4.350699590000005,100000,5
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1209.694625220091,1.451857823935645,4.410223386999974,100000,5
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1337.90805167906,1.424314524687559,5.023448170000023,100000,6
small,A-n45-k6.vrp,45,6,100,944.8763669421223,1557.700707381506,1.6485762178840924,5.2138428389999945,100000,6
small,A-n45-k7.vrp,45,7,100,1147.22098351604,1241.1270451486268,1.0818552510648651,5.184497325999985,100000,6
small,A-n46-k7.vrp,46,7,100,918.461372792691,1412.9861029957146,1.5384273578096839,5.313671521000003,100000,6
small,A-n48-k7.vrp,48,7,100,1074.337824689917,1556.6373675608797,1.4489272664398347,5.532593217999988,100000,6
small,B-n31-k5.vrp,31,5,100,676.7582609500149,391.15485211925915,0.5779831214327056,3.454346616999999,100000,4
small,B-n34-k5.vrp,34,5,100,791.2402758558225,703.9482478141347,0.8896769657645766,3.749103765000001,100000,4
small,B-n35-k5.vrp,35,5,100,956.29409898826,951.0627811661624,0.9945295931161426,3.8781951349999986,100000,4
small,B-n38-k6.vrp,38,6,100,809.452489572368,874.7220179393835,1.0806341684136362,4.315691694999998,100000,5
small,B-n39-k5.vrp,39,5,100,553.2673599367333,993.9632427640311,1.7965333123531664,4.27981010000002,100000,5
small,B-n41-k6.vrp,41,6,100,834.9577391350781,1112.3071600313128,1.3321718069031103,4.710858502999997,100000,6
small,B-n43-k6.vrp,43,6,100,747.5357650288681,946.0857730538577,1.2656060315954543,4.849289321000015,100000,5
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1155.9357908843333,1.2621589882037594,5.10050987599999,100000,6
small,B-n45-k5.vrp,45,5,100,755.4335679475657,1445.6778335372132,1.9137061084867717,5.027789469000027,100000,5
small,B-n45-k6.vrp,45,6,100,680.4379297045854,888.9890767803844,1.306495475886158,5.172309249000023,100000,6
small,B-n50-k7.vrp,50,7,100,744.7824415526958,1425.858697032952,1.9144633620260607,5.695661099000006,100000,6
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,1183.0814032815229,0.8945376729087497,5.847627673000034,100000,7
small,E-n13-k4.vrp,13,4,6000,290.0,79.0,0.27241379310344827,1.5779671020000023,100000,3
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,295.44623838137613,0.787269254831597,2.6273578379999663,100000,4
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,711.1449719553605,1.2507771276093238,2.552919193999969,100000,3
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,777.7303799132242,1.4515399159856721,3.4181632539999782,100000,3
small,E-n31-k7.vrp,31,7,140,1263.0,474.0,0.3752969121140142,3.604491682999992,100000,5
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,703.0472954733332,0.8382373734665096,3.769499392,100000,4
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,1512.5546028358233,2.087522754930096,5.011470615999997,100000,3
small,P-n16-k8.vrp,16,8,35,451.94709212981854,94.54955884484559,0.20920492794693524,2.0352254960000096,100000,6
small,P-n19-k2.vrp,19,2,160,212.6569041858923,213.53444400360524,1.004126552208932,2.036761167999998,100000,2
small,P-n20-k2.vrp,20,2,160,217.41558334616656,238.57996988858264,1.097345306241082,2.1213129820000063,100000,2
small,P-n21-k2.vrp,21,2,160,212.71153970290385,245.3024342654946,1.1532163915888662,2.2249006479999593,100000,2
small,P-n22-k2.vrp,22,2,160,217.8521507402297,259.6365354549646,1.1918015708027563,2.340080365999995,100000,2
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,303.5751525924087,0.5047608690513234,2.905394883999975,100000,6
small,P-n23-k8.vrp,23,8,40,531.1738035458812,192.67019654111596,0.3627253363304722,2.86772756900001,100000,6
small,P-n40-k5.vrp,40,5,140,461.7261717631887,775.1145854801304,1.6787321856160087,4.39395009499998,100000,5
small,P-n45-k5.vrp,45,5,150,512.7913045095214,966.0736815860646,1.8839509817938551,4.981491092999988,100000,5
small,P-n50-k10.vrp,50,10,100,699.5615304783074,862.961979107645,1.2335755205372951,6.203125550000038,100000,9
small,P-n50-k7.vrp,50,7,150,559.8625135512013,978.5999971834021,1.7479291317008419,5.766059046000009,100000,6
small,P-n50-k8.vrp,50,8,120,634.8499103018386,949.458401416874,1.4955635749644436,5.998658102000036,100000,7
