Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1401.7937395322933,1.7793589883231327,37.754373414999975,1000000,5
small,A-n33-k5.vrp,33,5,100,662.7628798187153,1211.9222010867509,1.8285909455554397,39.50837050400003,1000000,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,1233.1058200683294,1.6600105624708925,41.15240712799999,1000000,6
small,A-n34-k5.vrp,34,5,100,781.3034826995502,1336.9954934449056,1.7112370839885869,40.777499817000034,1000000,5
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1416.6038970309205,1.7660487850098259,42.609002766,1000000,5
small,A-n37-k5.vrp,37,5,100,672.593526946931,1368.3681843687561,2.0344652892812083,42.561228798,1000000,5
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1615.462129922733,1.6965263534157486,45.427288858,1000000,6
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1430.5096354292555,1.9484330450398868,45.48066594000005,1000000,5
small,A-n39-k5.vrp,39,5,100,828.989115424054,1542.1628333068263,1.8602932229308722,46.10797546899994,1000000,5
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1599.5841587750115,1.9197975485246843,47.71510826400004,1000000,6
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1786.5097626073778,1.901888399718072,53.53107524799998,1000000,6
small,A-n45-k6.vrp,45,6,100,944.8763669421223,2038.5435066280759,2.1574711549039574,55.60741051299999,1000000,6
small,A-n45-k7.vrp,45,7,100,1147.22098351604,1901.0677993631907,1.6571068928121735,55.714187391999985,1000000,7
small,A-n46-k7.vrp,46,7,100,918.461372792691,1893.9288048648057,2.06206690990835,56.324405744000046,1000000,7
small,A-n48-k7.vrp,48,7,100,1074.337824689917,2132.0922118917265,1.9845640383248222,59.10127154299994,1000000,7
small,B-n31-k5.vrp,31,5,100,676.7582609500149,878.4299126485772,1.297996586573559,36.580686730000025,1000000,5
small,B-n34-k5.vrp,34,5,100,791.2402758558225,1179.309509481729,1.4904568757020902,40.34087755899998,1000000,5
small,B-n35-k5.vrp,35,5,100,956.29409898826,1552.2427841840317,1.6231855721229207,41.164435651000076,1000000,5
small,B-n38-k6.vrp,38,6,100,809.452489572368,1419.1263939570692,1.7531929449087131,46.04032970800006,1000000,6
small,B-n39-k5.vrp,39,5,100,553.2673599367333,1288.7196133173504,2.329289068244902,46.01083450700003,1000000,5
small,B-n41-k6.vrp,41,6,100,834.9577391350781,1620.7080788890642,1.9410660000204736,50.542110769000146,1000000,6
small,B-n43-k6.vrp,43,6,100,747.5357650288681,1383.2373879569652,1.8503962655265702,51.47058115599998,1000000,6
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1679.1361346352166,1.8334381385718543,55.1846633319999,1000000,7
small,B-n45-k5.vrp,45,5,100,755.4335679475657,1580.1582524460102,2.0917236398948162,52.59030415500001,1000000,5
small,B-n45-k6.vrp,45,6,100,680.4379297045854,1249.0012635246621,1.8355844214429973,55.37005404299998,1000000,6
small,B-n50-k7.vrp,50,7,100,744.7824415526958,1946.3220480426135,2.613275957452744,60.71025644699989,1000000,7
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,2060.979735006262,1.5583238912816295,63.862951564000014,1000000,8
small,E-n13-k4.vrp,13,4,6000,290.0,290.0,1.0,17.647197760000154,1000000,4
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,502.5306134898143,1.3390825477408763,27.797345198999892,1000000,4
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,891.5445682186003,1.5680678316630965,26.79825515199991,1000000,3
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,935.4694333612451,1.7459408270252366,34.891206023999985,1000000,3
small,E-n31-k7.vrp,31,7,140,1254.0,1399.0,1.11562998,39.85545798999988,1000000,7
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,1238.4450468840998,1.476587606504934,40.0096560049999,1000000,4
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,1736.9531260283293,2.397222003115129,50.89496105300009,1000000,4
small,P-n16-k8.vrp,16,8,35,451.3350802086181,451.33508020861797,1.0,25.167659091999894,1000000,8
small,P-n19-k2.vrp,19,2,160,212.6569041858923,275.32114073699427,1.294672946505064,20.375087918999952,1000000,2
small,P-n20-k2.vrp,20,2,160,217.41558334616656,302.7277682273789,1.3923922267585542,21.390016210000113,1000000,2
small,P-n21-k2.vrp,21,2,160,212.71153970290385,321.3482001061963,1.510722928126167,22.259006394999915,1000000,2
small,P-n22-k2.vrp,22,2,160,217.8521507402297,322.2533168113117,1.4792294485794248,23.208199688999912,1000000,2
small,P-n22-k8.vrp,22,8,3000,601.4237061659817,653.8791287687333,1.0872187478893205,34.021057273999986,1000000,8
small,P-n23-k8.vrp,23,8,40,531.1738035458812,580.1324871821755,1.0921707420612006,34.31425500799992,1000000,8
small,P-n40-k5.vrp,40,5,140,461.7261717631887,948.3100853894482,2.053836545085038,46.17680588999997,1000000,5
small,P-n45-k5.vrp,45,5,150,512.7913045095214,1135.4622895539017,2.2142775814811397,51.816342074999966,1000000,5
small,P-n50-k10.vrp,50,10,100,699.5615304783074,1276.6413029333894,1.8249163902144796,68.72903210000004,1000000,10
small,P-n50-k7.vrp,50,7,150,559.8625135512013,1238.567865210136,2.2122714688538703,60.84732796199978,1000000,7
small,P-n50-k8.vrp,50,8,120,634.8499103018386,1295.8032031082846,2.041117407565194,64.67933039199988,1000000,8
