data;

set V := 1 2 3 4 5 6 7 8 9 10 11 12 13;
set K := 1 2 3 4;
param C := 6000;
param d :=
 1 0
 2 1200
 3 1700
 4 1500
 5 1400
 6 1700
 7 1400
 8 1200
 9 1900
 10 1800
 11 1600
 12 1700
 13 1100
;
param c :
 1 2 3 4 5 6 7 8 9 10 11 12 13 :=
1  999999 9.0 14.0 21.0 23.0 22.0 25.0 32.0 36.0 38.0 42.0 50.0 52.0
2  9.0 999999 5.0 12.0 22.0 21.0 24.0 31.0 35.0 37.0 41.0 49.0 51.0
3  14.0 5.0 999999 7.0 17.0 16.0 23.0 26.0 30.0 36.0 36.0 44.0 46.0
4  21.0 12.0 7.0 999999 10.0 21.0 30.0 27.0 37.0 43.0 31.0 37.0 39.0
5  23.0 22.0 17.0 10.0 999999 19.0 28.0 25.0 35.0 41.0 29.0 31.0 29.0
6  22.0 21.0 16.0 21.0 19.0 999999 9.0 10.0 16.0 22.0 20.0 28.0 30.0
7  25.0 24.0 23.0 30.0 28.0 9.0 999999 7.0 11.0 13.0 17.0 25.0 27.0
8  32.0 31.0 26.0 27.0 25.0 10.0 7.0 999999 10.0 16.0 10.0 18.0 20.0
9  36.0 35.0 30.0 37.0 35.0 16.0 11.0 10.0 999999 6.0 6.0 14.0 16.0
10  38.0 37.0 36.0 43.0 41.0 22.0 13.0 16.0 6.0 999999 12.0 12.0 20.0
11  42.0 41.0 36.0 31.0 29.0 20.0 17.0 10.0 6.0 12.0 999999 8.0 10.0
12  50.0 49.0 44.0 37.0 31.0 28.0 25.0 18.0 14.0 12.0 8.0 999999 10.0
13  52.0 51.0 46.0 39.0 29.0 30.0 27.0 20.0 16.0 20.0 10.0 10.0 999999
;
end;
