Size,Instance_Name,Optimal_Cost,Sw_cost,Apx,Execution_time
mid_small,A-n53-k7.vrp,1010.0,1201.6318690081725,1.189734523770468,0.0010701999999582767
mid_small,A-n54-k7.vrp,1167.0,1373.5267062596238,1.1769723275575181,0.0012541000032797456
mid_small,A-n55-k9.vrp,1073.0,1215.7325949996361,1.13302198974803,0.0008464999991701916
mid_small,A-n60-k9.vrp,1354.0,1694.9499407898318,1.2518094097413823,0.0009974999993573874
mid_small,A-n61-k9.vrp,1034.0,1254.293685282793,1.2130499857667243,0.0009662000084063038
mid_small,A-n62-k8.vrp,1288.0,1651.4203672062822,1.2821586701912129,0.0016017000016290694
mid_small,A-n63-k10.vrp,1314.0,1557.845514119865,1.185574972693961,0.0010137999925063923
mid_small,A-n63-k9.vrp,1616.0,1841.279238453199,1.139405469339851,0.001135500002419576
mid_small,A-n64-k9.vrp,1401.0,1632.3702620953397,1.1651465111315773,0.0013100999931339175
mid_small,A-n65-k9.vrp,1174.0,1401.2072668134683,1.193532595241455,0.0011609999928623438
mid_small,A-n69-k9.vrp,1159.0,1288.91489851792,1.1120922334063157,0.0019530999998096377
mid_small,A-n80-k10.vrp,1763.0,2181.2035636146165,1.237211323661155,0.0018077999993693084
mid_small,B-n51-k7.vrp,1032.0,1292.2081118120664,1.2521396432287464,0.0007654999935766682
mid_small,B-n52-k7.vrp,747.0,937.4344225791841,1.2549322926093496,0.0010793999972520396
mid_small,B-n56-k7.vrp,707.0,840.3455840262828,1.1886076153129885,0.0012702999956673011
mid_small,B-n57-k7.vrp,1153.0,1459.7408603437182,1.2660371728913427,0.0010880000045290217
mid_small,B-n57-k9.vrp,1598.0,1870.4322512515212,1.1704832611085865,0.0008445999992545694
mid_small,B-n63-k10.vrp,1496.0,1774.8752597606951,1.1864139436903043,0.0009608999971533194
mid_small,B-n64-k9.vrp,861.0,1030.2160423507148,1.196534311673304,0.0011491000041132793
mid_small,B-n66-k9.vrp,1316.0,1514.9947193277594,1.1512117928022487,0.0015696000045863912
mid_small,B-n67-k10.vrp,1032.0,1288.2772463835342,1.2483306651003239,0.000944799990975298
mid_small,B-n68-k9.vrp,1272.0,1395.312173041506,1.096943532265335,0.0014549000043189153
mid_small,B-n78-k10.vrp,1221.0,1500.1446544690068,1.2286197006298172,0.0016388999938499182
mid_small,CMT1.vrp,524.61,631.818930068909,1.2043592956079927,0.0019328999915160239
mid_small,CMT2.vrp,835.26,962.3156982807558,1.152115147715389,0.0013946999970357865
mid_small,CMT6.vrp,555.43,631.818930068909,1.1375311561653296,0.00166529999114573
mid_small,CMT7.vrp,909.68,962.3156982807558,1.057861773679487,0.001379199995426461
mid_small,E-n51-k5.vrp,521.0,631.818930068909,1.2127042803625894,0.0018888000049628317
mid_small,E-n76-k10.vrp,830.0,962.3156982807558,1.1594165039527178,0.0014631999947596341
mid_small,E-n76-k14.vrp,1021.0,1172.0622260036432,1.1479551674864281,0.0008662999898660928
mid_small,E-n76-k7.vrp,682.0,745.1948670447867,1.0926610953735876,0.004421199992066249
mid_small,E-n76-k8.vrp,735.0,861.8700036459117,1.1726122498583833,0.0027051999932155013
mid_small,F-n72-k4.vrp,237.0,289.71201234826316,1.2224135542120809,0.011322499995003454
mid_small,P-n51-k10.vrp,741.0,828.6696254573571,1.1183125849626951,0.0007791000098222867
mid_small,P-n55-k10.vrp,694.0,782.8238085735686,1.1279881967918857,0.0007466999959433451
mid_small,P-n55-k15.vrp,989.0,1147.3349141024132,1.1600959697698818,0.00039909999759402126
mid_small,P-n55-k7.vrp,568.0,658.6407619975688,1.159578806333748,0.0012406000023474917
mid_small,P-n60-k10.vrp,744.0,838.5346250154324,1.1270626680314952,0.000814300001366064
mid_small,P-n60-k15.vrp,968.0,1103.1150519844346,1.1395816652731763,0.000528500007931143
mid_small,P-n65-k10.vrp,792.0,892.974555913124,1.1274931261529344,0.0011206999915884808
mid_small,P-n70-k10.vrp,827.0,944.4881932987857,1.1420655299864397,0.001385999988997355
mid_small,P-n76-k4.vrp,593.0,685.558340934512,1.1560848919637638,0.010941500004264526
mid_small,P-n76-k5.vrp,627.0,746.4460531110865,1.1905040719475064,0.00647529998968821
mid_small,tai75a.vrp,1618.36,2226.5217220427144,1.3757888986645213,0.0022086999961175025
mid_small,tai75b.vrp,1344.62,1969.1834983863375,1.4644907099301943,0.0029371999989962205
mid_small,tai75c.vrp,1291.01,1810.4219941854353,1.4023299542106067,0.0038823000068077818
mid_small,tai75d.vrp,1365.42,1602.5901284426327,1.1736975644436383,0.002137799994670786
