Size,Instance_Name,Optimal_Cost,CW_cost,APX,Execution_time
mid,CMT10.vrp,1395.85,1424.3087692858205,1.0203881285853211,0.2233486999757588
mid,CMT11.vrp,1042.11,1071.9485927080987,1.0286328628533443,0.04653470002813265
mid,CMT12.vrp,819.56,838.8666560066699,1.023557342972656,0.02042990003246814
mid,CMT13.vrp,1541.14,1071.9485927080987,0.695555622920759,0.04613809997681528
mid,CMT14.vrp,866.37,838.8666560066699,0.9682545055884552,0.020817000011447817
mid,CMT3.vrp,826.14,877.9347810906722,1.0626949198570124,0.01986850000685081
mid,CMT4.vrp,1028.42,1096.2630384357528,1.065968221578492,0.08478609996382147
mid,CMT5.vrp,1291.29,1424.3087692858205,1.1030123127150528,0.1466126999584958
mid,CMT8.vrp,865.94,877.9347810906722,1.0138517461841146,0.019765199976973236
mid,CMT9.vrp,1162.55,1096.2630384357528,0.9429814102066603,0.06955619994550943
mid,E-n101-k14.vrp,1071.0,1143.4485955492578,1.0676457474782985,0.035144399967975914
mid,E-n101-k8.vrp,817.0,877.9347810906722,1.0745835753863797,0.02303759998176247
mid,F-n135-k7.vrp,1162.0,1232.3117698722963,1.0605092683926818,0.04633019998436794
mid,Golden_1.vrp,5627.54,5694.031562174052,1.0118153868606978,0.21562739997170866
mid,Golden_17.vrp,707.79,762.1508664685515,1.0768036655908555,0.19571239996002987
mid,Golden_5.vrp,6460.98,7538.536872289564,1.1667791685300937,0.1226790000218898
mid,M-n101-k10.vrp,820.0,838.8666560066699,1.0230081170813048,0.020633600011933595
mid,M-n121-k7.vrp,1034.0,1071.9485927080987,1.0367007666422619,0.045853600022383034
mid,M-n151-k12.vrp,1053.0,1111.620139570005,1.0556696482146297,0.0817304999800399
mid,M-n200-k16.vrp,1274.0,1422.0073758013257,1.1161753342239604,0.13907040003687143
mid,M-n200-k17.vrp,1275.0,1422.0073758013257,1.1152999025892751,0.15194690000498667
mid,ORTEC-n242-k12.vrp,123750.0,132576.0,1.0713212121212121,0.28940099995816126
mid,P-n101-k4.vrp,681.0,771.9477769412274,1.13355033324703,0.01811429997906089
mid,tai100a.vrp,2041.34,2156.165982212228,1.056250297457664,0.026140700036194175
mid,tai100b.vrp,1939.9,2043.700152385777,1.053507991332428,0.02484219998586923
mid,tai100c.vrp,1406.2,1466.8345855531882,1.0431194606408676,0.02745549997780472
mid,tai100d.vrp,1580.46,1688.7665060958968,1.068528470252899,0.027016399952117354
mid,tai150a.vrp,3055.23,3381.5836551276684,1.106818031744801,0.07441539998399094
mid,tai150b.vrp,2646.47,2905.558120943422,1.0978995117811359,0.10195069998735562
mid,tai150c.vrp,2358.66,2440.5760804379233,1.0347299231080034,0.07954619999509305
mid,tai150d.vrp,2645.39,2814.110489154123,1.0637790606126594,0.09852240001782775
mid,X-n101-k25.vrp,27591.0,29023.837292527147,1.0519313287857326,0.03966499998932704
mid,X-n106-k14.vrp,26362.0,27872.210338645276,1.0572873962007918,0.03848119999747723
mid,X-n110-k13.vrp,14971.0,15928.897363451528,1.0639835257131474,0.028231400006916374
mid,X-n115-k10.vrp,12747.0,13651.018710964046,1.0709201153968813,0.02942889998666942
mid,X-n120-k6.vrp,13332.0,14880.38637223983,1.116140591977185,0.0508848000317812
mid,X-n125-k30.vrp,55539.0,58275.30312314764,1.0492681381218179,0.09368389996234328
mid,X-n129-k18.vrp,28940.0,29962.411530916914,1.035328663818829,0.06646440003532916
mid,X-n134-k13.vrp,10916.0,11651.369740598373,1.0673662276106974,0.09603610000340268
mid,X-n139-k10.vrp,13590.0,14672.487089460737,1.079653207465838,0.05117160000372678
mid,X-n143-k7.vrp,15700.0,17717.097956519006,1.1284775768483444,0.08612089999951422
mid,X-n148-k46.vrp,43448.0,45150.09734338396,1.0391755050493454,0.1488211000105366
mid,X-n153-k22.vrp,21220.0,22642.309386489105,1.0670268325395431,0.10350299999117851
mid,X-n157-k13.vrp,16876.0,18022.5804729308,1.0679414833450345,0.10341039998456836
mid,X-n162-k11.vrp,14138.0,15025.222435311565,1.0627544515003229,0.08816270000534132
mid,X-n167-k10.vrp,20557.0,22015.01374515269,1.0709254144647902,0.11875350004993379
mid,X-n172-k51.vrp,45607.0,48289.51525321484,1.0588180597981636,0.1852095000213012
mid,X-n176-k26.vrp,47812.0,52552.42304922071,1.0991471398230719,0.1897270000190474
mid,X-n181-k23.vrp,25569.0,26417.157358287117,1.0331713151975876,0.13630349998129532
mid,X-n186-k15.vrp,24145.0,25611.433394485015,1.0607344541099613,0.17649009998422116
